dataset,species-common,species-latin,taxon,ppe,error,reference_taxon,region,state/province,continent,pub,model,weighting,use,notes
1,White pine,Pinus strobus,Pine,11.9,0.8,Sugar maple,Sylvania,Michigan,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
1,"Yellow birch, paper birch","Betula alleghniensis, Betula papyrifera",Birch,9.4,0.7,Sugar maple,Sylvania,Michigan,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
1,Red oak,Quercus borealis,Oak,14.6,8.1,Sugar maple,Sylvania,Michigan,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
1,Eastern hemlock,Tsuga candensis,Hemlock,3.4,0,Sugar maple,Sylvania,Michigan,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
1,Red maple,Acer rubrum,Maple,1.6,0.1,Sugar maple,Sylvania,Michigan,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
1,Sugar maple,Acer saccharum,Maple,1,0.1,Sugar maple,Sylvania,Michigan,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
1,Basswood,Tilia americana,Basswood,1.1,0.1,Sugar maple,Sylvania,Michigan,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
2,White pine,Pinus strobus,Pine,12.8,0.9,Sugar maple,north-western Wisconsin,Wisconsin,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
2,"Yellow birch, paper birch","Betula alleghniensis, Betula papyrifera",Birch,7.5,0.7,Sugar maple,north-western Wisconsin,Wisconsin,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
2,Red oak,Quercus borealis,Oak,3.7,0,Sugar maple,north-western Wisconsin,Wisconsin,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
2,Eastern hemlock,Tsuga candensis,Hemlock,5.4,0.5,Sugar maple,north-western Wisconsin,Wisconsin,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
2,Red maple,Acer rubrum,Maple,1.2,0.2,Sugar maple,north-western Wisconsin,Wisconsin,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
2,Sugar maple,Acer saccharum,Maple,1,0.1,Sugar maple,north-western Wisconsin,Wisconsin,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
2,Basswood,Tilia americana,Basswood,0.8,0.1,Sugar maple,north-western Wisconsin,Wisconsin,North America,Calcote 1995,ERV submodel 3,Prentice-Sugita,y,
3,,Ambrosia,Ambrosia,3.52,0.81,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,"After a quick pass it was unclear what the distance weighting was, but I am sure they did. Revisit paper to dig for this!"
3,,Artemisia,Artemisia,1.25,0.43,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,,Asteraceae,Asters,0.87,0.2,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,,Chenopodiaceae,Chenopods,35.04,11.86,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,Grass,Fabaceae,Pea,0.02,0.02,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,,Poaceae,Grass,1,0,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,,Cornus,Dogwood,0.89,0.18,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,,Juniperus virginiana,Cedar,17.01,1.72,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,,Maclura,Mulberry,0.17,0.34,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,,Populus deltoides,Poplar,0.87,0.23,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,,Quercus macrocarpa,Oak,0.91,0.23,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
3,,Salix,Willow,2.52,0.51,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 1,Prentice-Sugita,n,
4,,Ambrosia,Ambrosia,1.36,0.36,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,,Artemisia,Artemisia,1.35,0.24,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,,Asteraceae,Asters,0.37,0.16,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,,Chenopodiaceae,Chenopods,0.52,1.17,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,,Fabaceae,Pea,0.02,0.02,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,Grass,Poaceae,Grass,1,0,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,,Cornus,Dogwood,1.72,0.14,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,,Juniperus virginiana,Cedar,20.67,1.54,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,,Maclura,Mulberry,1.1,0.55,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,,Populus deltoides,Poplar,1.23,0.17,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
4,,Quercus macrocarpa,Oak,2.08,0.43,Grass,Flint Hills,Kansas,North America,Commerford 2013,ERV submodel 3,Prentice-Sugita,y,
