"","dataset","species.common","species.latin","taxon","ppe","error","reference_taxon","region","state.province","continent","pub","model","weighting","use","notes","errors.estimated","ppe.stand","error.stand"
"1",1,"White pine","Pinus strobus","Pine",11.9,0.8,"Sugar maple","Sylvania","Michigan","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.8,0.815068493150685,0.455503282463697
"2",1,"Yellow birch, paper birch","Betula alleghniensis, Betula papyrifera","Birch",9.4,0.7,"Sugar maple","Sylvania","Michigan","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.7,0.643835616438356,0.360399864640877
"3",1,"Red oak","Quercus borealis","Oak",14.6,8.1,"Sugar maple","Sylvania","Michigan","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",8.1,1,0.784597935289183
"4",1,"Eastern hemlock","Tsuga candensis","Hemlock",3.4,0,"Sugar maple","Sylvania","Michigan","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0,0.232876712328767,0.12919872396322
"5",1,"Red maple","Acer rubrum","Maple",1.6,0.1,"Sugar maple","Sylvania","Michigan","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.1,0.10958904109589,0.0611839856330059
"6",1,"Sugar maple","Acer saccharum","Maple",1,0.1,"Sugar maple","Sylvania","Michigan","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.1,0.0684931506849315,0.0386119747471333
"7",1,"Basswood","Tilia americana","Basswood",1.1,0.1,"Sugar maple","Sylvania","Michigan","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.1,0.0753424657534247,0.0423570372433681
"8",2,"White pine","Pinus strobus","Pine",12.8,0.9,"Sugar maple","north-western Wisconsin","Wisconsin","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.9,3.45945945945946,0.243243243243243
"9",2,"Yellow birch, paper birch","Betula alleghniensis, Betula papyrifera","Birch",7.5,0.7,"Sugar maple","north-western Wisconsin","Wisconsin","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.7,2.02702702702703,0.189189189189189
"10",2,"Red oak","Quercus borealis","Oak",3.7,0,"Sugar maple","north-western Wisconsin","Wisconsin","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0,1,0
"11",2,"Eastern hemlock","Tsuga candensis","Hemlock",5.4,0.5,"Sugar maple","north-western Wisconsin","Wisconsin","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.5,1.45945945945946,0.135135135135135
"12",2,"Red maple","Acer rubrum","Maple",1.2,0.2,"Sugar maple","north-western Wisconsin","Wisconsin","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.2,0.324324324324324,0.0540540540540541
"13",2,"Sugar maple","Acer saccharum","Maple",1,0.1,"Sugar maple","north-western Wisconsin","Wisconsin","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.1,0.27027027027027,0.027027027027027
"14",2,"Basswood","Tilia americana","Basswood",0.8,0.1,"Sugar maple","north-western Wisconsin","Wisconsin","North America","Calcote 1995","ERV submodel 3","Prentice-Sugita","y","",0.1,0.216216216216216,0.027027027027027
"27",4,"","Ambrosia","Ambrosia",1.36,0.36,"Grass","Flint Hills","Kansas","North America","Commerford 2013","ERV submodel 3","Prentice-Sugita","y","",0.36,0.653846153846154,0.219605514945979
"28",4,"","Artemisia","Artemisia",1.35,0.24,"Grass","Flint Hills","Kansas","North America","Commerford 2013","ERV submodel 3","Prentice-Sugita","y","",0.24,0.649038461538462,0.176965724342585
"29",4,"","Asteraceae","Asters",0.37,0.16,"Grass","Flint Hills","Kansas","North America","Commerford 2013","ERV submodel 3","Prentice-Sugita","y","",0.16,0.177884615384615,0.0852613820436005
