"species","fallspeed","PPEs","PPE.errors"
"Ash",0.0437636363636364,0.0681540438622763,0.0413961436258285
"Beech",0.0437636363636364,0.215354373765511,0.249219706675238
"Birch",0.0437636363636364,0.559810910037504,0.441520549339454
"Hemlock",0.0437636363636364,0.936489530874559,0.915607309877508
"Hickory",0.0437636363636364,0.285657383844935,0.124122636530686
"Maple",0.0437636363636364,0.0400269686326778,0.0782289646501507
"Oak",0.0437636363636364,1,0.463215753808426
"Other_conifer",0.0437636363636364,0.0274077034280867,0.0113139048447481
"Other_hardwood",0.0437636363636364,0.196875760386076,0.108068965971205
"Pine",0.0437636363636364,1.56101804342049,1.02224631594269
"Spruce",0.0437636363636364,0.139418743652369,0.056726565766321
