taxon,sv,species,author,year,code,type,use
Alder,0.0146,Alnus sp.,,,,,y
Ambrosia,0.0186,Ambrosia bidentata,,,,,y
Ambrosia,0.0116,Ambrosia eliator,,,,,y
Ambrosia,0.0088,Ambrosia psilostchya,,,,,y
Ambrosia,0.014,Ambrosia trifida,,,,,y
Artemisia,0.0101,Artemisia annua,,,,,y
Artemisia,0.0098,Artemisia caudata,,,,,y
Artemisia,0.0158,Artemisia tridentata,,,,,y
Ash,0.0152,Fraxinus americana,Durham,1946,umw,BL,y
Ash,0.022,,Eisenhut,,other,BL,y
Ash,0.0521,,Dyakowska,,other,BL,y
Ash,0.0075,,Bodmer,,other,BL,y
Beech,0.0354,Fagus americana,Durham,1946,umw,BL,y
Beech,0.055,Fagus sylvatica,Gregory,,other,BL,y
Beech,0.0603,,Dyakowska,,other,BL,y
Birch,0.038,Betula alleghaniensis,Gregory,,other,BL,y
Birch,0.015,Betula spp.,Bodmer,1922,umw,BL,y
Birch,0.023,,Eisenhut,,other,BL,y
Birch,0.0168,,Bodmer,,other,BL,y
Birch,0.022,,Eisenhut,,other,BL,y
Birch,0.026,,Eisenhut,,other,BL,y
Birch,0.0294,,Dyakowska,,other,BL,y
Chenopods,NA,NA,,,,,y
Elm,0.0204,Ulmus americana,Durham,1946,umw,BL,y
Elm,0.0324,Ulmus foliacea,Dyakowska,1959,other,BL,y
Elm,0.019,Ulmus sp.,Bodmer,1922,other,BL,y
Fir,0.1,Abies balsamea,Niklas,1983,umw,ND,y
Fir,0.097,Abies balsamea,Eisenhut,1961,umw,ND,y
Fir,0.097,Abies balsamea,Eisenhut,1961,umw,ND,y
Fir,0.387,Abies pectinata,Gregory,,other,ND,n
Fir,0.085,Abies veitchii,Eisenhut,,other,ND,n
Fir,0.089,Abies procera,Eisenhut,,other,ND,n
Fir,0.08,Abies pinsapo,Eisenhut,,other,ND,n
Fir,0.104,Abies numidica,Eisenhut,,other,ND,n
Fir,0.113,Abies normanniana,Eisenhut,,other,ND,n
Fir,0.09,Abies homolepis,Eisenhut,,other,ND,n
Fir,0.104,Abies grandis,Eisenhut,,other,ND,n
Fir,0.093,Abies fraseri,Niklas,,other,ND,n
Fir,0.109,Abies concolor,Eisenhut,,other,ND,n
Fir,0.119,Abies cephalonica,Eisenhut,,other,ND,n
Fir,0.117,Abies amabilis,Eisenhut,,other,ND,n
Fir,0.12,Abies alba,Eisenhut,,other,ND,n
