"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"1";9,663;5,052;13,434;6,671;8,682;20,328;11,92;0;20,614;3,636;0
"2";5,769;5,661;4,281;2,784;6,076;23,192;25,767;0;24,189;2,28;0
"3";3,295;62,356;2,877;2,281;2,685;2,724;13,224;0;9,206;1,352;0
"4";3,753;10,544;11,814;13,28;6,3;13,603;13,639;0;24,418;2,65;0
"5";0;5,586;34,977;0,923;4,836;5,21;18,535;0;29,114;0,819;0
"6";2,97;28,1;17,761;4,587;4,905;11,017;8,338;0;18,824;3,498;0
"7";4,551;8,582;2,54;5,093;20,163;9,734;9,646;0;37,439;2,252;0
"8";2,63;32,839;5,911;5,222;11,571;7,36;9,898;0;21,436;3,133;0
"9";2,613;70,589;2,983;1,305;5,691;4,348;5,443;0;6,208;0,819;0
"10";0,823;5,03;26,437;3,642;13,8;17,723;7,718;0;21,841;2,987;0
"11";4,044;8,473;8,593;6,482;11,151;20,093;21,748;0;16,722;2,693;0
"12";5,404;7,56;8,207;2,911;5,856;39,786;8,546;0;20,356;1,375;0
"13";0,279;0,671;0,251;0,355;0,634;0;0,41;0;97,309;0,093;0
"14";8,266;8,376;6,258;3,062;7,615;21,409;11,304;0;32,064;1,645;0
"15";5,274;3,467;3,428;1,38;1,858;0,793;7,239;0;74,508;2,052;0
"16";1,159;7,649;5,406;2,885;6,031;21,871;11,748;0;41,254;1,997;0
"17";3,454;7,283;8,082;3,198;5,233;38,091;8,514;0;24,197;1,948;0
"18";0;6,048;49,844;0,929;5,748;21,432;7,015;0;7,824;1,159;0
"19";0,27;5,262;2,275;1,85;1,326;1,97;1,829;0;85,025;0,192;0
"20";10,442;26,853;8,343;6,544;4,673;2,401;8,415;0;24,054;8,275;0
"21";0;11,315;8,398;3,977;8,658;13,848;8,6;0;38,359;6,846;0
"22";0;0,005;0,011;0,003;0,009;99,939;0,015;0;0,017;0,002;0
"23";1,033;12,358;3,967;1,807;5,508;4,315;6,878;0;59,074;5,06;0
"24";3,206;9,006;7,763;7,915;18,437;4,118;10,689;0;36,985;1,882;0
"25";0,347;73,548;2,258;0,751;3,523;3,582;1,905;0;12,169;1,917;0
"26";2,251;4,28;29,926;2,382;3,082;29,11;6,333;0;20,651;1,983;0
"27";1,544;9,678;12,306;2,528;5,22;11,088;25,442;0;31,321;0,874;0
"28";7,032;18,904;3,228;1,944;4,702;32,987;11,938;0;16,944;2,322;0
"29";0,844;11,778;3,996;0,893;3,473;1,625;66,029;0;10,503;0,858;0
