"","site.ids","Lake.Name","area"
"1",234,NA,NA
"2",249,"Belmont Bog",30
"3",268,NA,NA
"4",302,NA,NA
"5",331,"Carbuncle Pond",116
"6",333,"Caribou Bog",780
"7",482,"Clear Pond",11.6
"8",491,"Conroy Lake",10.1
"9",657,"Deer Lake Bog",39
"10",701,NA,NA
"11",753,"Duck Pond",4.3
"12",775,"Ely Lake",22.7
"13",844,"Giles Lake",47.5
"14",941,"Gould Pond",3.2
"15",942,"Gould's Bog",0.05
"16",953,"Green Pond",393
"17",998,"Helmetta Bog",166
"18",1080,"Houghton Bog",3.43
"19",1481,"Kinsman Pond",3.57
"20",1530,"Lake Lacawac",20.7
"21",1610,NA,NA
"22",1611,NA,NA
"23",1615,"Lost P.",56
"24",1643,"Mansell Pond",4
"25",1656,"Mashapaug Pond",180
"26",1716,"Moulton Pond",22
"27",1759,"North Pond",7.3
"28",1789,NA,NA
"29",1797,"Pasacaco Pond",168
"30",1896,NA,NA
"31",1914,NA,NA
"32",2194,"Rogers Lake",113
"33",2308,NA,NA
"34",2507,"Spring Lake",44.7
"35",2508,"Spruce Pond",3.53
"36",2527,"Sutherland Pond",83
"37",2531,"Swartswood Lake",162
"38",2533,"Szabo Pond",20
"39",2536,"Tannersville Bog",300
"40",2539,NA,NA
"41",2554,"Titicut Swamp",70.8
"42",2791,NA,NA
"43",2795,NA,NA
"44",2805,"Valhalla Hollow",9
"45",2862,"Winneconnet Pond",96.4
"46",728,"Heart Lake",11.2
"47",558,"Mohawk Pond",6.95
"48",3529,"Aino Pond",1.8
"49",3530,"Dead Frog Pond",0.02
"50",6510,"Hemlock Hollow",0.006
"51",9708,"Linsley Pond",9.3
"52",9866,"Big Reed Pond Hollow",0.6
"53",9889,"Blackwoods Hollow",0.32
"54",9894,"Schoodic Peninsula Hollow",0.03
"55",9944,NA,NA
"56",10020,"Round Pond",2.3
"57",10021,"Deep Pond",1.6
"58",10023,"Icehouse Pond",1.9
"59",10025,"Eagle Pond",2.8
"60",10026,"Jemima Pond",2.2
"61",10028,"Sandy Hill Pond",2.4
"62",10029,"Fresh Pond",5.4
"63",10155,"Byron-Bergen Swamp (Site 2)",800
"64",10157,"Byron-Bergen Swamp (Site 1)",800
"65",10172,"Black Gum Swamp",6.9
"66",10362,"Lily Pond",2.3
"67",10389,NA,NA
"68",10400,NA,NA
"69",2536,"Tannersville Bog",300
"70",10422,"Divers Lake",3
"71",10424,"Ballston Lake",65
"72",10435,"Little Mirror Lake",2.6
"73",10438,"Silver Lake",4.2
"74",10515,"Binnewater Pond",77
"75",11805,NA,NA
"76",13583,"Lake Grinnell",20
"77",13629,"Quag Pond",0.423
"78",13633,"Snake Pond",2.4
"79",10188,"Heart's Content Bog",310
"80",10287,"Allenberg Bog",158
"81",2212,NA,NA
"82",510,NA,NA
"83",NA,"Barnes",1
"84",NA,"Big Moose Lake",520
"85",NA,NA,NA
"86",NA,"Blood Pond",8.5
"87",NA,"Deep Lake",1
"88",NA,"Knob Hill",7.1
"89",NA,"Larkum",10
"90",NA,"Little Willey Pond",11.4
"91",NA,"Little Royalston",4
"92",NA,"North Round Pon.",4
"93",NA,"Pecker",6
"94",NA,"Pickerel",1
"95",NA,"Uncas",3
"96",NA,"Walden",10
"97",NA,"Wickett",9
"98",NA,"Benson",2.3
"99",NA,"Berry-Andover",1.6
"100",NA,"Black not neotoma",1.4
"101",NA,"blaneys",1
"102",NA,"Deep-Falmouth",1
"103",NA,"Deep-Taunton",1.5
"104",NA,"Doe",1.4
"105",NA,"Guilder",6.3
"106",NA,"Sears",6.1
"107",NA,"Umpawaug",5.3
"108",NA,"UncleSeths",4.6
"109",NA,"Ware",1.1
"110",NA,"WestSide",15.7
