"","Barnes",""
"Barnes",11,37
"Big Moose Lake",19,29
"Bloomingdale Bog Upper",18,41
"Blood Pond",25,60
"Deep Lake",25,18
"Knob Hill",24,92
"Larkum",13,48
"Little Willey Pond",8,24
"Little Royalston",15,80
"North Round Pond",21,40.5
"Pecker",27,53
"Pickerel",26,100
"Uncas",20,76
"Walden",17,32
"Wickett",20,39.5
"benson",5,20
"berry-andover",18,68
"black",19,108
"blaneys",16,36
"deep-falmouth",22,84
"deep-taunton",3,96
"doe",14,52
"guilder",4,24
"sears",5,56
"umpawaug",8,70
"uncleseths",7,30
"ware",22,173
"westside",3,48
