"","x"
"1","Abies"
"2","Abies.balsamea"
"3","Abies.half"
"4","Acacia.Mimosa.t."
"5","Acalypha"
"6","Acer"
"7","Acer.negundo"
"8","Acer.negundo.t."
"9","Acer.negundo.type"
"10","Acer.Pennsylvanicum"
"11","Acer.pensylvanicum"
"12","Acer.rubrum"
"13","Acer.Rubrum"
"14","Acer.sacc"
"15","Acer.sacc.t."
"16","Acer.saccharinum"
"17","Acer.saccharinum.type"
"18","Acer.saccharum"
"19","Acer.saccharum.nigrum"
"20","Acer.saccharum.type"
"21","Acer.sp."
"22","Acer.spicatom"
"23","Acer.spicatum"
"24","Acer.spicatum.t."
"25","Acer.undiff"
"26","Acer.undiff."
"27","Acer.undifferentiated"
"28","Acerud"
"29","Achillea.type"
"30","Acorus.calamus"
"31","Actaea.rubra"
"32","Adiantum"
"33","Adiantum.pedatum"
"34","Age..cal.BP.prelim."
"35","Agoseris.glauca.type"
"36","Agrimonia"
"37","Ailanthus"
"38","Alisma"
"39","Allium"
"40","Allium.t."
"41","Alnus"
"42","Alnus..hexaporate."
"43","Alnus..pentaporate."
"44","Alnus..tetraporate."
"45","Alnus..triporate."
"46","Alnus.crispa"
"47","Alnus.crispa.incana.t."
"48","Alnus.crispa.t."
"49","Alnus.crispa.viridis"
"50","Alnus.incana"
"51","Alnus.incana.type"
"52","Alnus.negundo"
"53","Alnus.rugosa"
"54","Alnus.rugosa.incana.t."
"55","Alnus.rugosa.t."
"56","Alnus.undiff."
"57","Alnus.viridis"
"58","Alnus.viridis.subsp..crispa"
"59","Alnus.viridis.t."
"60","Alnus.viridis.type"
"61","Alnusspicatum.t."
"62","Amaranthaceae"
"63","Amaranthaceae.undiff."
"64","Ambrosia"
"65","Ambrosia.t"
"66","Ambrosia.t."
"67","Ambrosia.type"
"68","Amelanchier"
"69","Amorpha"
"70","Anacardiaceae"
"71","Anacardiaceae.undiff."
"72","Anemone.sect..Hepatica"
"73","Angiospermae.undiff...herbs."
"74","AP"
"75","Apia"
"76","Apiaceae"
"77","Apiaceae.undiff"
"78","Apiaceae.undiff."
"79","Apocynum"
"80","Aquafoliaceae"
"81","aquatics"
"82","Aquifoliaceae"
"83","Arabis"
"84","Araliaceae"
"85","Arceothobium"
"86","Arceuth"
"87","Arceuthobium"
"88","Arenaria"
"89","Art"
"90","Artemesia"
"91","Artemisia"
"92","Asplenium"
"93","Asplenium.t"
"94","Asplenium.t."
"95","Asplenium.type"
"96","Astae.Lu"
"97","Astae.Tu"
"98","Asteraceae"
"99","Asteraceae.undiff."
"100","Asteroideae"
"101","Asteroideae.undiff."
"102","Athryrium.Filex.Femina"
