"target","latin","match"
"Abies","Conifer","Other conifer"
"Abies.balsamea","Conifer","Other conifer"
"Abies.half","Conifer","Other conifer"
"Acacia.Mimosa.t.",NA,NA
"Acalypha",NA,NA
"Acer","Acer","Maple"
"Acer.negundo","Acer","Maple"
"Acer.negundo.t.","Acer","Maple"
"Acer.negundo.type","Acer","Maple"
"Acer.Pennsylvanicum","Acer","Maple"
"Acer.pensylvanicum","Acer","Maple"
"Acer.rubrum","Acer","Maple"
"Acer.Rubrum","Acer","Maple"
"Acer.sacc","Acer","Maple"
"Acer.sacc.t.","Acer","Maple"
"Acer.saccharinum","Acer","Maple"
"Acer.saccharinum.type","Acer","Maple"
"Acer.saccharum","Acer","Maple"
"Acer.saccharum.nigrum","Acer","Maple"
"Acer.saccharum.type","Acer","Maple"
"Acer.sp.","Acer","Maple"
"Acer.spicatom","Acer","Maple"
"Acer.spicatum","Acer","Maple"
"Acer.spicatum.t.","Acer","Maple"
"Acer.undiff","Acer","Maple"
"Acer.undiff.","Acer","Maple"
"Acer.undifferentiated","Acer","Maple"
"Acerud","Acer","Maple"
"Achillea.type",NA,NA
"Acorus.calamus",NA,NA
"Actaea.rubra",NA,NA
"Adiantum",NA,NA
"Adiantum.pedatum",NA,NA
"Age..cal.BP.prelim.",NA,NA
"Agoseris.glauca.type",NA,NA
"Agrimonia",NA,NA
"Ailanthus",NA,NA
"Alisma",NA,NA
"Allium",NA,NA
"Allium.t.",NA,NA
"Alnus","Deciduae","Other hardwood"
"Alnus..hexaporate.","Deciduae","Other hardwood"
"Alnus..pentaporate.","Deciduae","Other hardwood"
"Alnus..tetraporate.","Deciduae","Other hardwood"
"Alnus..triporate.","Deciduae","Other hardwood"
"Alnus.crispa","Deciduae","Other hardwood"
"Alnus.crispa.incana.t.","Deciduae","Other hardwood"
"Alnus.crispa.t.","Deciduae","Other hardwood"
"Alnus.crispa.viridis","Deciduae","Other hardwood"
"Alnus.incana","Deciduae","Other hardwood"
"Alnus.incana.type","Deciduae","Other hardwood"
"Alnus.negundo","Deciduae","Other hardwood"
"Alnus.rugosa","Deciduae","Other hardwood"
"Alnus.rugosa.incana.t.","Deciduae","Other hardwood"
"Alnus.rugosa.t.","Deciduae","Other hardwood"
"Alnus.undiff.","Deciduae","Other hardwood"
"Alnus.viridis","Deciduae","Other hardwood"
"Alnus.viridis.subsp..crispa","Deciduae","Other hardwood"
"Alnus.viridis.t.","Deciduae","Other hardwood"
"Alnus.viridis.type","Deciduae","Other hardwood"
"Alnusspicatum.t.","Deciduae","Other hardwood"
"Amaranthaceae",NA,NA
"Amaranthaceae.undiff.",NA,NA
"Ambrosia",NA,NA
"Ambrosia.t",NA,NA
"Ambrosia.t.",NA,NA
"Ambrosia.type",NA,NA
"Amelanchier",NA,NA
"Amorpha",NA,NA
"Anacardiaceae",NA,NA
"Anacardiaceae.undiff.",NA,NA
"Anemone.sect..Hepatica",NA,NA
"Angiospermae.undiff...herbs.",NA,NA
