"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"10285",1693000,334000,0.00245,2e-07,2e-04,9e-04,0.0019,5e-05,0.00695,2e-07,4e-04,2e-07,2e-07,0.05705,1e-04,0.027,0.6439,0.00695,2e-07,2e-07,2e-04,0.00325,0.01335,2e-07,0.00745
"10286",1701000,334000,0.0027,2e-07,2e-04,0.00055,0.0018,1e-04,0.00965,2e-07,3e-04,2e-07,2e-07,0.0717,1e-04,0.0246,0.64735,0.01235,2e-07,2e-07,2e-04,0.00405,0.0105,2e-07,0.00665
"10287",1709000,334000,0.00285,2e-07,1e-04,7e-04,0.0016,1e-04,0.00905,2e-07,4e-04,2e-07,2e-07,0.06515,1e-04,0.02635,0.60075,0.0134,2e-07,2e-07,2e-04,0.00555,0.01285,2e-07,0.00535
"10288",1717000,334000,0.00305,2e-07,1e-04,9e-04,0.00165,2e-07,0.01215,2e-07,3e-04,2e-07,2e-07,0.05805,1e-04,0.02645,0.5738,0.02285,2e-07,2e-07,2e-04,0.005,0.00935,2e-07,0.0043
"10289",1725000,334000,0.0033,2e-07,1e-04,0.0011,0.00205,1e-04,0.0051,2e-07,0.00035,2e-07,2e-07,0.0564,1e-04,0.02485,0.58565,0.0217,2e-07,2e-07,0.00015,0.00465,0.0067,2e-07,0.00555
"10290",1733000,334000,0.00285,2e-07,1e-04,8e-04,0.002,1e-04,0.0046,2e-07,0.00025,2e-07,2e-07,0.0469,1e-04,0.02615,0.60575,0.0219,2e-07,2e-07,1e-04,0.0054,0.00785,2e-07,0.00485
"10291",1741000,334000,0.0028,2e-07,1e-04,6e-04,0.00185,5e-05,0.00565,2e-07,3e-04,2e-07,2e-07,0.04545,1e-04,0.0226,0.5779,0.0357,2e-07,2e-07,1e-04,0.00585,0.0086,2e-07,0.0063
"10580",1685000,342000,0.003,2e-07,0.00015,7e-04,0.00175,1e-04,0.0066,2e-07,3e-04,2e-07,2e-07,0.05815,1e-04,0.0286,0.68375,0.00435,2e-07,2e-07,2e-04,0.0035,0.01335,2e-07,0.0084
"10581",1693000,342000,0.0029,2e-07,1e-04,8e-04,0.00165,5e-05,0.00605,2e-07,3e-04,2e-07,2e-07,0.05795,0.00015,0.0264,0.6732,0.0061,2e-07,2e-07,2e-04,0.0031,0.01235,2e-07,0.0071
"10582",1701000,342000,0.0029,2e-07,1e-04,4e-04,0.00185,2e-07,0.0094,2e-07,3e-04,2e-07,2e-07,0.05085,1e-04,0.02635,0.6939,0.00855,2e-07,2e-07,2e-04,0.0045,0.01155,2e-07,0.0086
"10583",1709000,342000,0.003,2e-07,1e-04,0.00075,0.0015,2e-07,0.0063,2e-07,0.00025,2e-07,2e-07,0.0599,1e-04,0.02555,0.679,0.0114,2e-07,2e-07,2e-04,0.0037,0.0104,2e-07,0.0068
"10584",1717000,342000,0.0026,2e-07,1e-04,8e-04,0.0017,1e-04,0.0059,2e-07,4e-04,2e-07,2e-07,0.05565,1e-04,0.0294,0.6333,0.01545,2e-07,2e-07,3e-04,0.0058,0.0081,2e-07,0.00585
"10585",1725000,342000,0.00255,2e-07,1e-04,7e-04,0.0022,2e-07,0.0067,2e-07,3e-04,2e-07,2e-07,0.04435,1e-04,0.0208,0.6236,0.02695,2e-07,2e-07,2e-04,0.0054,0.00875,2e-07,0.00435
"10586",1733000,342000,0.0032,2e-07,1e-04,0.00045,0.0015,2e-07,0.0051,2e-07,2e-04,2e-07,2e-07,0.04885,1e-04,0.02335,0.6379,0.02695,2e-07,2e-07,1e-04,0.0055,0.0065,2e-07,0.00485
