Site,Longitude,Latitude,pre-settlement (sample #),certainty  (3=high),
Basin Pond,-70.05,44.47,14,2,Range: 14-17.   Depends on how much weight is placed on those initial low levels.
Boundary Pond,-70.67,45.57,6,2,Range: 5-8.
Caribou Bog,-68.77,44.94,4,3,Range: 4-5
Conroy Lake,-67.88,46.28,5,3,Range: 5-5
Gould Pond,-69.32,44.98,7,3,Range: 6-7.  Depends on whether increase is pegged to Ambrosia or Poaceae
Loon Pond,-68.2,45.03,6,1,Range: 6-11.  Am guessing that low earlier period of Ambrosia is preEuropean Native American land use
Mansell Pond,-68.73,45.04,2,2,"Range: 1-?.  A prett y flat and low-res record, not a lot of signal."
Monhegan Island Meadow,-69.3,43.77,11,3,Range: 11-11.  This is as about as clear as it gets.
Moulton Pond,-68.64,44.63,2,3,Range: 2-2.  Low res.
Poland Spring Pond,-70.35,44.03,7,3,Range: 6-7. Depends on whether is pegged to Rumex or Ambrosia
Ross Pond,-69.41,43.92,25,3,Range: 24-25.  Beautiful high-resolution record!
Sinkhole Pond,-70.35,43.97,3,1,Range: ? Low res and flattish record
Unknown Pond,-70.63,45.6,4,3,Range: 4-4. The pond may be unknown but the horizon is known!
Upper South Branch Pond,-68.9,46.08,18,1,Range: 13-19. A short core that may not go beyond settlement horizon
Big Reed Pond Hollow,-69.05,46.35,8,2,Range: 7-10.
Blackwoods Hollow,-68.22,44.31,3,1,"Range: 2-4. Low-res, low signal"
Buckley Pond Hollow,-69.05,46.33,6,3,Range: 6-6.  Super sharp and clear
Isle au Haut North Hollow,-68.64,44.07,n/a,1,Range: 9-below basal.  This is a short core that may not actually get down to the settlement horizon.
Isle au Haut South Hollow,-68.63,44.03,n/a,1,Another short core that I don't think goes below settlement horizon
Roque Island Hollow,-67.53,44.57,8,3,A pretty clear rise in Rumex…
Schoodic Peninsula Hollow,-68.07,44.37,18,3,Range: 17-18.  This short core barely gets below settlement horizon…
South Bog,-67.2,44.72,11,3,Range:  11-15.  Pretty clear based on Rumex and Ambrosia
Deer Lake Bog,-71.83,44.03,7,3,Range:  7-10.  A long tail at the bottom…
Eagle Lake Bog,-71.67,44.17,15,2,Range: 11-15.  Could be the drop at sample 11…
Kinsman Pond,-71.73,44.13,n/a,2,I don't think this core goes below the settlement horizon.
Lonesome Lake,-71.7,44.14,4,1,I honestly have no idea for this one.
Lost Pond,-71.25,44.25,6,2,Range: 4-6.  I'm not really sure.
Lost Swamp,-72.42,42.83,8,2,"Range: 5-10. I pegged to Rumex, but Rumex, Grass, Ambrosia all behaving a bit differently."
Belmont Bog,-77.92,42.25,7,3,Range: 6-7
Brandreth Bog,-74.68,43.92,26,2,Range: 20-26. Possibly below basal part of core
Burden Lake,-73.57,42.6,n/a,1,No sign of a settlement horizon here.  Low res short core.
Clear Pond,-74.02,43.75,5,3,Range: 5-5
West Sand Lake Peat Bog,-73.6,42.63,5,3,Range: 4-5
Heart Lake,-73.97,44.18,6,3,Range: 5-6
Upper Wallface Pond,-74.05,44.15,21,2,Range: 21-26
Houghton Bog,-78.67,42.54,31,3,Range: 30-33
"Lake Ontario, Rochester Basin",-76.9,43.51,4,3,Range: 4-5. Low res
"Lake Ontario, Mississauga Basin",-78.15,43.56,4,3,Range: 4-4. 
Protection Bog,-78.47,42.62,11,2,Range: 11-13.
Spruce Pond,-74.18,41.24,3,3,Range: 2-3
Sutherland Pond,-74.04,41.39,10,3,Range: 10-13.  Early bump may be Native Americans
Valhalla Hollow,-74.37,44.31,11,3,About as clear as it gets
Hiscock Site,-78,43,2,2,Range: 2-6
South Dansville Buried Peat,-77.64,42.49,36,2,Range: 36-41.  Two places to put it.  I keyed off of Rumex
Byron-Bergen Swamp (Site 2),-78,43.1,8,2,Range: 6-10
Byron-Bergen Swamp (Site 1),-78.01,43.1,11,3,Range: 6-11.  
Balsam Lake,-74.6,42.03,12,2,Range: 5-12
Devil's Bathtub,-77.57,43.02,2,2,Range: 2-5. Low-res record
Goose Bay Marsh,-75.87,44.35,8,1,Range: 3-16. Very weak signals of non-arboreal pollen. Mainly used hemlock decline.
Divers Lake,-78.4,43.04,17,1,Range: 17-?. Pegged to Rumex. Bottom of core may not reach settlement horizon.
Ballston Lake,-73.85,42.95,6,3,Range: 5-7.
Binnewater Pond,-74.55,41.41,4,3,Range: 4-5
Hyde Park,-73.9,41.79,13,2,Range: 13-19. One of those little early blips that may be Native Americans or EuroAmericans.
Otisville,-74.52,41.47,6,2,Range: 6-?.  May not extend below settlement horizon
Pawelski Farm,-74.43,41.33,7,2,Range: 7-13.  That little early low period…
Piermont Marsh,-73.91,41.03,14,3,Range: 14-16.  Pretty clear Ambrosia signal.
Berry Pond,-73.32,42.5,5,3,Range: 4-5. 
