Site,Longitude,Latitude,pre-settlement (sample #),"certainty (3=high, 1=low)",notes
Basin Pond,-70.05,44.47,22,2,
Boundary Pond,-70.67,45.57,7,2,
Caribou Bog,-68.77,44.94,4,3,
Conroy Lake,-67.88,46.28,4,2,
Gould Pond,-69.32,44.98,6,3,
Loon Pond,-68.2,45.03,11,1,
Mansell Pond,-68.73,45.04,2,1,
Monhegan Island Meadow,-69.3,43.77,11,3,
Moulton Pond,-68.64,44.63,2,3,
Poland Spring Pond,-70.35,44.03,7,3,
Ross Pond,-69.41,43.92,25,3,
Sinkhole Pond,-70.35,43.97,4,1,
Unknown Pond,-70.63,45.6,4,3,
Upper South Branch Pond,-68.9,46.08,12,2,
Big Reed Pond Hollow,-69.05,46.35,8,2,
Blackwoods Hollow,-68.22,44.31,4,3,
Buckley Pond Hollow,-69.05,46.33,6,3,
Isle au Haut North Hollow,-68.64,44.07,17,1,
Isle au Haut South Hollow,-68.63,44.03,12,1,
Roque Island Hollow,-67.53,44.57,8,3,
Schoodic Peninsula Hollow,-68.07,44.37,17,2,
South Bog,-67.2,44.72,11,3,
Deer Lake Bog,-71.83,44.03,7,2,
Eagle Lake Bog,-71.67,44.17,15,2,
Kinsman Pond,-71.73,44.13,5,2,
Lonesome Lake,-71.7,44.14,6,1,
Lost Pond,-71.25,44.25,5,2,
Lost Swamp,-72.42,42.83,8,3,
Belmont Bog,-77.92,42.25,7,3,
Brandreth Bog,-74.68,43.92,26,3,
Burden Lake,-73.57,42.6,4,1,
Clear Pond,-74.02,43.75,5,3,
West Sand Lake Peat Bog,-73.6,42.63,5,2,
Heart Lake,-73.97,44.18,6,3,
Upper Wallface Pond,-74.05,44.15,21,3,
Houghton Bog,-78.67,42.54,30,3,
"Lake Ontario, Rochester Basin",-76.9,43.51,4,2,
"Lake Ontario, Mississauga Basin",-78.15,43.56,4,3,
Protection Bog,-78.47,42.62,11,2,
Spruce Pond,-74.18,41.24,3,3,
Sutherland Pond,-74.04,41.39,10,3,
Valhalla Hollow,-74.37,44.31,21,3,
Hiscock Site,-78,43,3,2,
South Dansville Buried Peat,-77.64,42.49,36,3,
Byron-Bergen Swamp (Site 2),-78,43.1,6,2,
Byron-Bergen Swamp (Site 1),-78.01,43.1,11,3,
Balsam Lake,-74.6,42.03,5,2,
Devil's Bathtub,-77.57,43.02,2,1,
