Site,Longitude,Latitude,pre-settlement (sample #),certainty,notes
Basin Pond,-70.05,44.47,14,,
Boundary Pond,-70.67,45.57,5,,
Caribou Bog,-68.77,44.94,2,0,This one has too coarse resolution to really assign it.
Conroy Lake,-67.88,46.28,4,0,Too coarse
Gould Pond,-69.32,44.98,6,,
Loon Pond,-68.2,45.03,10,,
Mansell Pond,-68.73,45.04,5,,
Monhegan Island Meadow,-69.3,43.77,11,,
Moulton Pond,-68.64,44.63,4,0,Too coarse probably
Poland Spring Pond,-70.35,44.03,4,,
Ross Pond,-69.41,43.92,25,,
Sinkhole Pond,-70.35,43.97,4,0,Too coarse
Unknown Pond,-70.63,45.6,3,,
Upper South Branch Pond,-68.9,46.08,15,,
Big Reed Pond Hollow,-69.05,46.35,6,,
Blackwoods Hollow,-68.22,44.31,5,0,Hard
Buckley Pond Hollow,-69.05,46.33,5,,
Isle au Haut North Hollow,-68.64,44.07,9,,
Isle au Haut South Hollow,-68.63,44.03,10,,
Roque Island Hollow,-67.53,44.57,8,,
Schoodic Peninsula Hollow,-68.07,44.37,13,,
South Bog,-67.2,44.72,10,,
Deer Lake Bog,-71.83,44.03,6,,
Eagle Lake Bog,-71.67,44.17,10,,
Kinsman Pond,-71.73,44.13,,0,Too coarse
Lonesome Lake,-71.7,44.14,3,0,Too coarse
Lost Pond,-71.25,44.25,4,,
Lost Swamp,-72.42,42.83,5,,
Belmont Bog,-77.92,42.25,6,,
Brandreth Bog,-74.68,43.92,20,,
Burden Lake,-73.57,42.6,,0,None
Clear Pond,-74.02,43.75,4,,
West Sand Lake Peat Bog,-73.6,42.63,4,,
Heart Lake,-73.97,44.18,5,,
Upper Wallface Pond,-74.05,44.15,20,,
Houghton Bog,-78.67,42.54,24,,
"Lake Ontario, Rochester Basin",-76.9,43.51,2,,
"Lake Ontario, Mississauga Basin",-78.15,43.56,2,,
Protection Bog,-78.47,42.62,8,,
Spruce Pond,-74.18,41.24,1,0,None
Sutherland Pond,-74.04,41.39,9,,
Valhalla Hollow,-74.37,44.31,10,,
Hiscock Site,-78,43,3,,
South Dansville Buried Peat,-77.64,42.49,35,,
Byron-Bergen Swamp (Site 2),-78,43.1,6,,
Byron-Bergen Swamp (Site 1),-78.01,43.1,6,,
