Site,Longitude,Latitude,pre-settlement (sample #),certainty,notes
Basin Pond,-70.05,44.47,17,1,
Boundary Pond,-70.67,45.57,5,3,
Caribou Bog,-68.77,44.94,3,1,bunch of castanea even in top sample?
Conroy Lake,-67.88,46.28,4,2,
Gould Pond,-69.32,44.98,5,2,
Loon Pond,-68.2,45.03,4,1,
Mansell Pond,-68.73,45.04,1,1,
Monhegan Island Meadow,-69.3,43.77,11,2,
Moulton Pond,-68.64,44.63,2,3,
Poland Spring Pond,-70.35,44.03,5,3,
Ross Pond,-69.41,43.92,24,3,
Sinkhole Pond,-70.35,43.97,3,1,
Unknown Pond,-70.63,45.6,4,3,
Upper South Branch Pond,-68.9,46.08,12,2,
Big Reed Pond Hollow,-69.05,46.35,7,2,
Blackwoods Hollow,-68.22,44.31,4,2,
Buckley Pond Hollow,-69.05,46.33,6,3,
Isle au Haut North Hollow,-68.64,44.07,9,1,or it is really deep?
Isle au Haut South Hollow,-68.63,44.03,8,1,?
Roque Island Hollow,-67.53,44.57,8,1,
Schoodic Peninsula Hollow,-68.07,44.37,10,1,?
South Bog,-67.2,44.72,11,3,
Deer Lake Bog,-71.83,44.03,7,2,
Eagle Lake Bog,-71.67,44.17,12,2,
Kinsman Pond,-71.73,44.13,4,1,
Lonesome Lake,-71.7,44.14,4,2,
Lost Pond,-71.25,44.25,5,2,
Lost Swamp,-72.42,42.83,5,2,
Belmont Bog,-77.92,42.25,6,2,
Brandreth Bog,-74.68,43.92,15,1,
Burden Lake,-73.57,42.6,,,I'm not sure it is captured. Could be above 20cm?
Clear Pond,-74.02,43.75,5,3,
West Sand Lake Peat Bog,-73.6,42.63,4,2,Depth scale can't be correct.
Heart Lake,-73.97,44.18,6,2,
Upper Wallface Pond,-74.05,44.15,21,2,
Houghton Bog,-78.67,42.54,30,2,
"Lake Ontario, Rochester Basin",-76.9,43.51,4,3,
"Lake Ontario, Mississauga Basin",-78.15,43.56,4,2,
Protection Bog,-78.47,42.62,9,2,
Spruce Pond,-74.18,41.24,2,2,
Sutherland Pond,-74.04,41.39,10,2,
Valhalla Hollow,-74.37,44.31,11,3,
Hiscock Site,-78,43,5,1,
South Dansville Buried Peat,-77.64,42.49,36,1,presumably too deep.
Byron-Bergen Swamp (Site 2),-78,43.1,4,1,
Byron-Bergen Swamp (Site 1),-78.01,43.1,7,2,
Balsam Lake,-74.6,42.03,12,1,
Devil's Bathtub,-77.57,43.02,2,1,
Goose Bay Marsh,-75.87,44.35,4,1,
Divers Lake,-78.4,43.04,17,1,
Ballston Lake,-73.85,42.95,6,1,
Binnewater Pond,-74.55,41.41,4,2,
Hyde Park,-73.9,41.79,12,2,
Otisville,-74.52,41.47,6,1,?
Pawelski Farm,-74.43,41.33,6,2,
Piermont Marsh,-73.91,41.03,14,2,
Berry Pond,-73.32,42.5,5,1,
Tom Swamp,-72.21,42.52,6,3,
Donut Pond Bog,-70.06,41.27,8,2,
Duck Pond,-70,41.93,8,3,
Gould's Bog,-72.18,42.53,4,2,
Greenwater Pond,-73.32,42.28,9,2,
Hawley Bog Pond-1,-72.88,42.57,11,2,
No Bottom Pond,-70.21,41.28,5,1,??
North Pond,-73.05,42.65,5,3,
Stockbridge Bowl,-73.15,42.33,,,???
Taupawshas Bog,-70.06,41.27,3,1,
Titicut Swamp,-71.03,41.95,2,2,
Windsor Pond,-72.98,42.54,2,1,
Winneconnet Pond,-71.12,41.97,2,1,
Dead Frog Pond,-72.51,42.57,23,1,
Hemlock Hollow,-72.18,42.54,15,1,
Round Pond,-70.01,41.97,10,2,
Deep Pond,-69.99,41.74,28,2,
Icehouse Pond,-69.96,41.8,5,2,
