,lon.site,lat.site,Sample #,Certainty (0–3  scale
Barnes,-75.226,43.56444,NA,
Benson,-73.1,42.38,5,
Big Moose Lake,-74.85,43.81,NA,
Bloomingdale Bog lower,-74.13833,44.38361,NA,
Bloomingdale Bog Upper,-74.13833,44.38361,14,
Blood Pond,-71.962,42.08,27,
Deep Lake,-74.664,43.61,NA,
Doe,-72.702,42.175,18,
Knob Hill,-72.3737,44.3605,24,
Lake Arnold,-73.94404,44.13093,NA,
Lake Tear of the Clouds,-73.93574,44.10804,NA,
Larkum,-73.06,42.165,12,
Little Willey Pond,-71.1778,43.2918,11,
Little Royalston,-72.192,42.675,15,
North Round Pond,-72.452,42.848,18,
Pecker,-71.965,42.713,25,
Pickerel,-72.484,42.17,26,
Queer Lake,-74.8,43.81,NA,
Uncas,-71.377278,42.062667,16,
Upper Wallface Pond,,,NA,
Walden,-71.338,42.43907,17,
Wickett,-72.432,42.551,19,
Windfall Pond,-74.449035,44.364271,NA,
