Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Benson,0-1,surface,,,,,-54,-54,-54
,20-21,Euro,,,,,171,171,171
,84-85,plant macrofossil,OS-48211   ,2480,45,-25.45,2574,2379,2721
,149-150,plant macrofossil,OS-48212   ,3870,45,-22.92,4299,4155,4411
,224-226,plant macrofossil,OS-48213   ,4590,40,-22.89,5308,5075,5444
,235-236,plant macrofossil,OS-107557  ,4550,25,-25.19,5156,5070,5310
,239-240,plant macrofossil,OS-107714  ,4700,25,-21.15,5390,5329,5570
,247-248,plant macrofossil,OS-107559  ,4630,30,-23.18,5410,5308,5456
,308-309,plant macrofossil,OS-107560  ,6270,30,-12.81,7212,7121,7257
,386-387,plant macrofossil,OS-48214   ,7840,45,-15.31,8623,8536,8856
,427-428,plant macrofossil,OS-75475,9510,50,-26.79,10818,10620,11067
,430-431  ,plant macrofossil,OS-87445   ,9480,35,-25.06,10724,10606,11051
,478-479,plant macrofossil,OS-48576   ,12800,160,-32.13,15257,14502,15762
