Depth (cm),Cal age,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Other shrubs,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Impatiens,Other herbs,Dennstaeditia, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Selaginella,Monolete spore,Trilete spore,Upland sum,Eriocaulon,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Saggitaria,Pediastrum,Equisetum,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic count,Exotic spike
0,-53.922,,2,,,25.5,10,3,52,,2,2,135,,22,7,1,18,12,77,11,6,2,8,3,1,1,,13,2,,44,,1,,,2,,,3,3,6,,2,,,,,,,11,,,17,,1,1,1,,,2,3,,7,,,,,,,,,,,,,1,,1,,,,3,,,1,,525.5,,,1,,2,,,2,,,12,,16,9,5,76,6,689,42716
5,4.73,2,1.5,,,20,8,1,32,,,,126,1,17,2,,3,6,53,15,6,4,3,,,1,,10,,,35,3,,,,1,,,7,11,,,1,,,,,,,10,,1,17,,2,,,,,2,,8,8,,,,,,,,2,,,,1,,,,,,,,,,2,,422.5,,,,,6,,,,,,22,,14,20,,48,,669,42716
10,63.381,,5,,,17.5,3,,45.5,,,2,159,,34,6,1,5,12,62,7,5,,10,1,1,1,,8,,,52,1,2,,,2,,,10,1,4,,3,,,,,,,17,,,27,,6,,1,,,4,1,,3,,,,,,1,,,,,,,,,,,,,1,,,7,2,530,,,1,6,2,,,,,,22,,31,37,6,90,5,447,42716
15,122.033,,2,,,27,,1,85,,,7,182,5,25,3,7,7,17,115,16,13,,11,2,,,,12,,,61,5,,,,2,,,13,29,,,3,,,,,,,16,,2,31,,11,1,,,,1,2,,6,,,,,,,,,,,,1,1,,1,,,5,,,,9,,737,,,5,2,8,,,,,,36,,53,27,2,54,1,388,42716
20,180.684,,2,,,10.5,2,4,97,,,,129,,23,9,,6,8,63,10,10,3,8,3,,,,14,1,,75,4,2,,,1,,,6,1,4,,1,,,,,,,4,1,2,5,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,3,,515.5,,,,,,,,,,,12,,40,3,,62,5,195,42716
25,390.1325,1,1,,,13,1,,119,,,,130,1,18,7,1,2,8,110,15,7,2,2,1,,,,11,,,45,5,,,,4,,,7,26,,,3,,,,,,,,,2,2,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,1,,,,4,,552,,,,,,,,,,,15,,35,30,,40,,214,42716
30,582.3995,,4,0.5,,13.5,3,,155.5,,,,140,,21,1,,6,14,77,8,7,,9,3,,1,,17,,,109,4,1,,,2,,,8,2,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,3,,614.5,,,2,,,,,,,,30,,31,10,3,50,2,280,42716
40,932.8855,,3,,,20,,,158.5,,,,111,,17,2,1,2,8,50,5,3,1,11,1,,3,,19,,,92,3,,,,1,,,6,1,2,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,526.5,,,,,1,,,,,,7,,12,3,,43,4,255,42716
50,1264.661,1,1.5,,,24,3,,142,,,,150,,18,2,,4,7,79,7,9,,3,3,,,,17,,,67,4,,1,,,,,5,1,2,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,554.5,,,,,,1,,,,,1,,38,19,3,80,1,329,42716
60,1602.513,,1,,,12,1,,165.5,,,,83,,21,4,,5,2,67,10,10,1,9,3,,3,,14,1,,87,1,1,,,,,,6,,1,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,2,,,1,,517.5,,,,2,3,1,,,,,2,1,27,5,1,56,,218,42716
70,1942.777,,0.5,,,15.5,3,1,128.5,,,,98,,23,5,,2,5,68,8,11,,9,6,,,,9,,,109,,,,,,,,3,6,2,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.5,,,,,,1,,,,,2,,30,21,2,47,1,205,42716
80,2310.346,,3,,,14,3,,156,,,,103,8,11,3,,3,10,61,17,19,1,,3,,1,,2,,,94,3,,,,,,,1,1,,,1,,,,,,,2,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,526,,,,,,,,,,,4,,12,13,4,39,1,223,42716
