Site,Depth (cm),14C age,14C error,Bchron 50%,Bchron 2.5%,Bchron 97.5%,Notes
Berry-Andover,0-1,,,-51.0 ,-51.0 ,-51.0 ,surface
,68-69,,,306.0 ,306.0 ,306.0 ,Euro
,101-102,750.0 ,40.0 ,688.0 ,645.0 ,748.0 ,
,159-160,1310.0 ,40.0 ,1246.0 ,1156.0 ,1295.0 ,
,283-284,2560.0 ,50.0 ,2630.0 ,2471.0 ,2753.0 ,
,381-382,3460.0 ,50.0 ,3730.0 ,3600.0 ,3853.0 ,
,510-511,4620.0 ,40.0 ,5398.0 ,5130.0 ,5461.0 ,
,608-609,5490.0 ,60.0 ,6292.0 ,6143.0 ,6399.0 ,
,690-691,6670.0 ,50.0 ,7538.0 ,7455.0 ,7624.0 ,
,936-937,8640.0 ,40.0 ,9590.0 ,9540.0 ,9689.0 ,
,1192-1193,12230.0 ,70.0 ,14138.0 ,13926.0 ,14528.0 ,
