Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,Picea,Abies,Larix,Pinus undiff,Pinus haploxylon,Pinus diploxylon,P. rigida t.,Pinus banksiana t.,P. resinosa t.,Vesciculate conif,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Fraxinus undiff.,Quercus,Ulmus,Acer saccharum/nigrum,Acer rubrum,Acer spicatum t.,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Fagaceae,Betuloid,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus undiff.,Corylus,Myrica,Comptonia,Myrica-Comptonia,Rhamnus,Vitis,Rhamnus-Vitis,Ericaceae,Shepherdia canadensis,Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Amelanchier,Potentilla t.,Sambucus,Parthenocissus,Clethra,Poaceae,Cereal,Zea,Artemisia,Ambrosia,Iva,Urtica spp.,Xanthium t.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Sarcobatus,Polygonum bistoides,Polygonum persicaria t.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulis/Cannabis,Xyris,Stellaria,Caryophyllaceae,Brassicaceae,Ranunculaceae,Menyanthes,Liliaceae,Malvaceae,Lamiaceae,Apiaceae,Hypericum t.,Galium,Fabaceae,Thalictrum,Epilobium,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,L. selago t.,Lycopodium undiff.,Sellaginella sp.,Osmunda,Asplenium t.,Gymnocarpium t.,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris t.,Dryopteris thelypteris,upland sum,Equisetum,Myriophyllum,Sphagnum,Typha/Sparganiumt.,Utricularia,Nymphoides,Nuphar,Nymphaea,Sagittaria,Eriocaulon,Pontedaria,Lemna,Isoetes,Potamogeton,Brassenia,Indetermined crumpled,Indetermined broken,Indetermined coroded,Degraded,Indetermined obscured,Unknown,Exotic count,Exotic spike
0,-50.598,0,0,0,0,0,0,49,16,6,0,0,0,0,20,0,0,0,52,0,3,0,4,1,279,3,3,3,0,0,0,0,0,13,1,0,5,0,0,1,0,0,0,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,485,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1249,85432
4,-29.644,0,0,0,4,0,1,83.5,15,13,0,0,0,0,16,0,0,2,66,0,4,0,7,0,268,11,1,10,0,0,1,0,0,10,2,0,3,0,0,1,1,1,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,565.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,805,85432
8,-8.689,0,0,0,1,0,0,78.5,14,2,0,0,0,0,14,0,0,2,94,0,2,4,14,0,236,7,4,13,0,0,0,0,1,11,1,0,3,0,0,0,0,0,0,1,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,12,0,0,0,2,0,1,0,0,0,0,0,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,565.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,728,85432
12,12.266,0,0,0,4.5,0,0,92.5,4,3,0,0,0,0,13,0,0,2,70,0,4,0,2,1,243,15,3,11,0,0,0,0,1,6,2,0,5,0,0,0,1,0,0,1,9,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,25,0,0,0,2,0,1,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,566,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,598,85432
16,33.221,0,0,0,6.5,0,1,85.5,18,8,0,0,0,0,12,0,0,1,103,0,5,1,5,1,186,11,9,4,0,0,0,0,0,9,1,1,8,0,3,3,1,0,0,1,8,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,38,0,0,0,3,0,0,0,0,0,0,0,20,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,629,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,481,85432
20,54.176,2,0,0,5,0,0,103.5,30,0,0,0,0,0,17,0,0,2,138,0,3,0,0,0,210,3,3,7,0,0,0,1,0,5,1,0,24,0,0,3,1,0,0,4,22,0,0,5,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,39,0,2,0,40,0,0,0,3,0,0,0,0,0,0,0,27,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,734.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,511,85432
24,75.131,1,0,0,2,0,2,93,6,1,0,0,0,0,15,0,0,3,133,0,5,2,2,0,172,11,5,4,0,0,0,0,0,8,1,0,14,0,0,0,0,0,0,2,8,0,1,3,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,42,1,0,0,38,0,0,0,3,0,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,614,0,0,4,1,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,2,1,456,85432
28,96.086,0,0,0,2,0,2,104,35,7,0,0,0,0,24,0,0,4,111,0,6,4,7,0,185,13,2,1,0,0,2,0,2,11,1,0,17,0,0,3,1,0,0,2,20,0,0,7,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,53,0,0,0,3,0,1,0,0,0,0,0,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,722,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,652,85432
32,117.041,0,0,0,7,0,2,161.5,39,14,0,0,0,0,30,0,0,2,95,0,3,1,1,0,189,3,6,4,0,0,0,3,2,11,0,0,17,0,0,5,2,1,0,2,12,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2,0,0,54,0,0,0,2,0,0,0,0,0,0,0,39,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,814.5,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,529,85432
36,137.996,1,0,0,3.5,0,4,113.5,15,17,0,0,0,0,17,0,0,1,74,0,2,1,2,0,182,7,3,3,0,0,0,0,0,8,2,0,7,0,0,9,2,0,0,0,14,0,0,4,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,22,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,603,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,449,85432
