Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Black,0-1,surface,,,,,-60,-60,-60
,108-109,Euro,,,,,260,260,260
,200-201  ,sediment,OS-86235   ,2020,30,-30.09,1969,1900,2082
,300-301,sediment,OS-86236   ,3050,25,-29.77,3282,3181,3344
,400-401*,sediment,OS-102203  ,3430,30,-30.06,3682,3600,3816
,420-421*,sediment,OS-86252   ,3440,35,-30.73,3699,3602,3822
,500-501,sediment,OS-86237   ,4460,30,-30.11,5136,4971,5274
,510-511,sediment,OS-102250  ,4650,25,-30.14,5407,5318,5460
,550-551,sediment,OS-86238   ,5260,35,-29.71,6035,5937,6173
,601-602*,sediment,OS-86247   ,5730,35,-29.99,6525,6435,6630
,610-611,sediment,OS-102251  ,7980,35,-29.87,8863,8667,8988
,642-643  ,plant macrofossil,OS-82307   ,8350,30,-30.31,9377,9291,9458
,680-681,sediment,OS-86239   ,8860,40,-30.55,10001,9761,10154
