Depth (cm),Cal age,Pinus indeterminable,Pinus undiff,Pinus banksiana t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Thuja/Juniperus,Quercus,Carya,Castanea,Juglans cinera,J. nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Clethra,Moraceae,Tilia,Salix,Populus,Ledum/Chamydaphnea, Ericaceae undiff,VItis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Ilex,Platanus,Cephalanathus,Viburnum,Rhamnus,Rhus,Myrtaceae t.,Cornus sanquinaria t.,Combretaceae T.,Anacardiaceae,Ceanothus t.,Sambucus,Poaceae,Artemisia,Ambrosia,Rumex,Tubuliflorae,Plantago,Secale,Zea,Cheno Am,Solanaceae,Urticaceae,Iva ciliata t.,Rosaceae ,Thalictrum,Fabaceae,Brassicaceae,Ranunculaceae,Hydrocotyle t.,Apiaceae,Hypericum t.,Polygonum aviculare. t.,Lamiaceae,Liliaceae,Saxifraga oppositifolia t.,Impatiens,Lycopodium inundatum T.,Caryophyllaceae,Boraginaceae,Triticum t.,Sisyrhincium t.,Petalostemum purpereum t.,Cyperaceae,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Sagittaria,Sparganium t.,Eriocaulon,Pontederia,Utricularia,Cabomba,Cupressaceae stomata,Pinus stomata,Non conifer stomata,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
1,-57.125,24,,0,1,2,1,7,,,,,,1,,76,6,,2,,8,21,1,3,,3,,2,,7,2,1,1,3,3,7,,,,,,5,1,,18,6,1,121,,,6,,1,,,,,,,13,,8,5,4,,,,2,,,,1,,,,,,,,,,,,,,,,,,,2,,,6,,,382,,,,,,1,,,,,,,,,,,,,,10,,,1,35,1,134,42716
6,-42.415,13,,4,1,1,3,5,,,,1,,1,2,40,2,,,,7,17,1,1,1,,2,3,,3,2,,,5,,10,,,,,,11,1,2,63,2,1,52,,1,1,,,,,,,,1,17,,20,4,5,6,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,1,1,4,23,,,345,,,2,,,,,,,,1,,,,,,,,,,,10,,29,5,79,42716
12,-24.764,16,,1,6,3,,3,,,1,,,,10,44,2,,1,,3,16,1,3,,1,,3,,2,,,,7,,15,,,1,,,9,,2,51,9,2,43,1,1,1,,2,,,,,,,18,,17,6,5,3,,,1,1,,,,,2,,,,,1,,,,,,,,,,,,2,,6,17,2,,341,,,,,,4,,,,,,,,,,,,,,3,1,4,2,24,5,102,42716
18,-7.112,22,,1,1,2,1,9,,,2,,,2,3,42,4,,,,5,26,6,2,1,2,1,,,,1,,,5,,4,,1,1,,,9,,,77,3,1,16,,,1,,,,,,3,,,36,2,24,6,4,8,1,,,,,,,,,,1,,,,,,,,,,,,,,,3,,10,31,,1,381,,,,,,2,1,,,,1,,,,,,,,,2,3,3,,17,2,91,42716
24,10.539,17,,,,1,2,9,,,3,2,,1,,37,6,,1,,14,18,1,1,,,,2,,2,1,,,3,,3,1,,,,,4,,,61,1,,10,,,,,1,,,,,,,34,,36,4,9,9,3,,,,,,,,,,1,,1,1,,,,,,,,,,,,3,1,8,26,,,338,,,,,,,3,,,,,,,,,,,,,2,2,2,3,20,5,108,42716
30,28.19,13,,,1,1,3,3,,,,1,,2,,44,3,1,1,,12,11,3,3,,,,2,,3,,,,7,,5,,,,,,9,,,86,,,8,1,,,,,,,,,,,40,,17,9,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,11,26,,,342,,,3,,,,,1,,,,,,,,3,,,,1,1,,1,5,4,76,42716
36,45.842,20,,1,5,,8,15,,1,2,,,2,1,39,3,1,,,10,8,2,2,2,1,,1,,1,1,,,9,,8,,1,,,,9,,,67,3,1,4,,,,,1,,,,,,,43,,18,16,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,21,1,,343,,,2,,,,2,,,,,,,,,1,,,,8,,1,1,9,4,101,42716
42,63.493,33,,5,6,,3,8,,,3,1,,,3,45,4,2,1,,5,,1,1,1,,,,,3,3,,,6,,,,,,,,9,,1,70,,,11,,,,,,,,,,,1,41,,30,17,3,4,2,,1,,,,,,,,,,,,,,,,,,,1,1,,,3,1,12,1,,,343,,,2,,,,4,,,,,,,,,,,,,4,,1,1,12,,92,42716
48,81.145,19,,,,2,4,4,,,,,,,2,53,6,1,,,18,15,,4,1,1,,3,,,2,3,1,4,,5,,,,,,4,,,65,2,1,10,1,1,,,,,,,,,,34,,23,14,1,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,2,1,12,17,1,,342,,,,,,,2,,,,,,,,,,,,,9,,1,,18,1,105,42716
54,98.796,30,,,8,,3,2,,,,1,,1,1,60,8,1,1,,19,16,3,,1,,,5,,1,1,,,5,,3,1,,,,,5,,,61,,,8,1,,,,,,,,3,,,40,,28,19,3,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,21,29,,,394,,,,,,1,3,,,,,,,,,,,,1,5,2,,,9,1,80,42716
