Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Blaney's,0-1,surface,,,,,-54,-54,-54
,16-17,Pb-210,,,,,83,83,83
,34-35,Euro,,,,,266,266,266
,87-88,plant macrofossil,OS-47534   ,1210,35,-24.79,1135,1029,1250
,131-132,plant macrofossil,OS-47535   ,2140,45,-30.14,2129,2004,2299
,195-196*,plant macrofossil,OS-47536   ,2520,35,-25.15,2593,2467,2733
,215-216,sediment,OS-102259  ,2940,25,-34.46,3107,3002,3203
,275-276,sediment,OS-102256  ,4370,25,-32.07,4924,4866,5027
,293-294,plant macrofossil,OS-47537   ,5550,65,-29.61,6348,6222,6470
,335-336,plant macrofossil,OS-75137   ,5780,40,-26.68,6581,6481,6670
,380-381,sediment,OS-102257  ,7450,30,-29.13,8265,8193,8348
,416-417,sediment,OS-75138   ,8640,40,-28.98,9592,9540,9693
,450-451,sediment,OS-102258  ,9600,40,-30.32,10933,10765,11143
,515-516,plant macrofossil,OS-47538   ,11900,90,-27.07,13761,13516,13964
