Depth (cm),Cal age,Pinus undiff,Pinus banksiana t.,P. resinosa t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Taxus t.,Picea glauca,P. mariana,P. rubens t.,P. undiff,P. indet.,Abies,Vesciculate conif,Larix,Taxodium t.,Quercus,Carya,Castanea,Juglans cinera,J. nigra,Fagus,Betula,Ostrya/Carpinus,Ulmus,Celtis,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus rugosa t.,A. crispa,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,A.spicatum t.,Acer sp.,Nyssa,Liquidambar,Ilex,Clethra,Tilia,Salix,Populus,Ledum/Chamydaphnea,other Ericaceae,Shepherdia canadensis,Vitis,Myrica,Corylus,Corylaceae,Cephalanthus,Viburnum,Platanus,Morus,Rhamnus,Rhus,Cornus,Magnolia sp.,Parthenocissus t.,Arceuthobium,Poaceae,Artemisia,Ambrosia,Rumex,Secale,Zea,Triticum t.,Plantago,Cheno Am,Iva ciliata t.,Tubuliflorae,Liguliflorae,Rosaceae (Prunus t.),Thalictrum,Trifolium,Fabaceae,Geranium,Humulis/Cannabis,Physocarpus,Ranunculaceae,Hydrocotyle t.,Apiaceae,Caryophyllaceae,Paronychia sp,Xyris,Allium t.,cf. Verbascum,Scrophulariaceae,Polygonum bist. t.,Eriogonum,Polygola sp.,Lamiaceae,Epilobium,Hypericum t.,Urticaceae,Impatiens,Ludwigia cf. palustris,Cyperaceae,Pteridium t.,Dryopteris t.,Gymnocarpium t.,Polypodium t.,Osmunda cinamomea,Trilete unk,Asplenium t.,"Lycopodium sp.,",L. complanatum,L. obscurum t.,L. annotinum,L. lucidulum,L. inundatum t.,Upland sum,Thuja/Juniperus,Isoetes,Equisetum,Sphagnum,PreQuaternary,Myriophyllum,Nymphaea,Nuphar,Brasenia,Pontederia,Potamogeton t.,Sagittaria,Sparganium t.,Typha,Utricularia,Eriocaulon,Nymphoides cordata,Picea stomata,Pinus stomata,Cupressaceae stomata,Tsuga stomata,Unknown conifer stomata,Non conifer (ER?),Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike,Volume (cc)
1,-45.514,30,5,1,,1,6,1,,,1,,0,2,,,,,123,7,,,,84,37,3,3,,,6,,3,,2,3,,,,2,1,,7,,2,1,1,6,,,15,2,,,2,1,,,,,,,,12,2,4,3,,,,1,,,,1,2,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,391,14,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,,22,6,272,42716,2
2,-36.966,45,3,9,,,6,9,,1,,,2,2,,3,,,188,9,2,1,1,119,62,7,1,,6,,,1,,1,1,,1,,2,1,,14,,,,2,6,1,,22,4,1,,,2,,,,,,,,26,,30,2,,,4,3,1,,9,,,,,9,,,,,,3,,,,,,,,,,,,,,,,2,,2,,,2,,,,,,,,,628,30,,,,,,,,,,,,2,,,,,,,11,,,,5,,1,,29,7,437,42716,1
4,-19.871,26,,9,,1,,3,,1,,,,,1,,,,135,7,,1,,71,36,6,5,,,3,,5,,4,,,,,2,2,1,9,1,1,,4,4,1,,16,1,,,,,,,,,,,,21,,22,6,1,,1,8,,,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,430,23,,,1,,,,,,,,,,,,,,,,15,,,,1,,2,1,16,1,264,42716,1
6,-2.775,16,3,3,,1,1,,,,,,,,,,,0,94,1,1,,1,57,43,3,3,,,2,,5,1,3,,1,,,,,1,6,,1,,2,5,,,19,,1,,,1,,,1,1,,,,19,,27,2,,,3,1,1,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,338,30,,,,,,,,,,,,1,,,,,,,6,,,,1,,1,,9,3,249,42716,1
8,14.32,19,3,,,2,1,3,,,,,,,,,,,198,4,1,1,,94,73,6,9,,5,1,,9,,2,,,,,,,1,2,,1,1,1,1,,,32,,,,,1,,,,,,,,38,,42,14,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,2,2,,,,,2,1,,,,,,,578,22,,,,,,,,,,,,,1,,,,,,6,,,1,1,,,7,,6,428,42716,1
10,31.415,21,3,4,,,,4,,,2,,,2,,,,,127,9,4,2,,43,35,2,5,,,1,,4,1,2,1,,,,1,,,,1,,,,2,,2,53,2,,,,3,,,,,,,,36,1,31,9,,,,5,1,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,1,,,,1,,,1,,,,,,431,39,,,1,,,,,,,,,,,,,,,,9,,,,2,,,,16,,311,42716,1
12,48.511,40,6,8,,,3,10,,,1,,1,,,2,,3,170,8,4,,,45,58,12,8,1,1,3,2,8,1,2,5,,,,3,1,2,1,,,1,1,10,,,110,5,,1,,1,,1,1,,,,,98,2,63,41,2,,,11,1,,4,,1,,,6,,,,,,6,,,,,,,,,,,,,1,,,1,5,4,,,2,1,,,,,,,,789,132,,,4,,,,,,,,,,1,,,,,,41,,,1,2,,4,2,31,8,514,42716,1
14,65.606,33,5,3,,,,8,,,,,2,3,,,,,107,3,4,,,35,26,6,3,,2,,,5,,,1,,1,,,,2,1,,,,10,12,,1,47,3,5,,,2,,,,,,,,49,,33,18,1,,1,4,,,4,,,,,4,,,,,,1,,,,,,,,,,,,1,,,,3,,1,,,,1,,,,,,,,451,77,,,,,,,,,,,,,,,,,,,23,,1,1,1,,1,2,50,4,374,42716,1
16,82.702,47,17,4,,,2,9,,,1,,,1,1,,,,118,7,,1,,61,34,3,3,,,3,,5,,1,3,,,,1,,1,4,1,1,,,9,,,95,5,,,1,1,,,,,,,,70,,41,44,3,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,1,,,,,,,,,617,68,,1,,,,,,,,,,,,,,,,,31,,,1,,,1,2,27,3,392,42716,1
18,103.156,33,4,6,,,4,5,,1,1,,,2,,1,,,68,2,,1,,53,23,4,3,,,1,,4,,,,,,,,,,2,,,,3,7,2,,50,8,,,,2,1,,,,,,,54,,29,28,1,,2,4,,,2,,,1,,4,,,,,,4,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,425,57,,,2,,,,,,,,,,,,,,,,16,,,,1,,,,6,1,265,42716,1
