Site,Depth (cm),14C age,14C error,Bchron 50%,Bchron 2.5%,Bchron 97.5%,Notes
Deep-Falmouth,0-1,,,-49,-49,-49,surface
,38-39,,,85,85,85,Pb-210
,84-85,,,290,290,290,Euro
,110-111,700,40,660,565,704,
,130-131,1090,40,1000,936,1122,
,169-170,1780,40,1700,1586,1814,
,235-236,2310,50,2327,2166,2480,
,307-308,2900,30,3032,2951,3146,
,400-401,3820,20,4199,4150,4289,
,475-476,4420,40,5006,4878,5264,
,487-488,4830,80,5548,5340,5728,
,499-500,4700,15,5373,5329,5566,
,600-601,5910,40,6730,6657,6844,
,700-701,7360,50,8178,8041,8316,
,775-776,8810,50,9852,9659,10131,
,800-801,10080,50,11646,11388,11942,
,820-821,12840,60,15307,15133,15575,
