Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,P. indet.,P. rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus diploxylon,Pinus banksiana t.,P. resinosa t.,P. rigida t.,vesiculate conif ,Tsuga,Taxus,Taxodium t. papilate,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus undiff,Quercus,Ulmus,Acer saccharum,Acer rubrum,A. negundo,Acer spicatum t.,Acer ,Tilia,Magnolia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus rugosa,Alnus crispa,Corylaceae,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Rhus, Ericaceae,Viburnum,Hammamelis,Cornus,Ptelea trifoliata t.,Cephalanthus,Clethra,cf. Ribes,Other shrubs,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Cannabis/Humulis,Polygonum bist.,Polygonum aviculare  t,Phlox,Xyris,Epilobium,Dalea candida t.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Brassicaceae,Rubus Chamaemorus,Hypericum t.,Liliaceae,Saxifraga oppositifolia t.,Scrophulariaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Lamiaceae,Solanaceae,Other herbs,Dennstaeditia, Pteridium,Botrychium,Dryopteris t.,Polypodium t.,Gymnocarpium.,Lyc. lucidulum,L. obscurum t..,L. selago t.,Lyc. annotinum,Lyc. clavatum,L. inundatum,Lycopodium undifferentiated,Osmunda,Asplenium t.,Woodsia,Sellaginella sp.,Monolete spore,Trilete spore,Other Pterid,Upland sum,Myriophyllum,Sphagnum,Eriocaulon,Typha,Sparganium t.,Pontederia sp.,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Sagittaria,Lemna,cf.Equisetum,Other Aquatics,Degraded,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,PreQuaternary,Cupressaceae stom.,Exotic count,Exotic spike
0,-49,4,0,0,0.5,0,0.5,0,106,0,21,30,0,0,0,0,3,0,0,0,2,48,0,0,3,0,7,0,299,4,14,9,0,0,0,0,0,0,0,0,7,0,0,7,0,4,0,1,0,5,6,0,0,0,18,1,0,31,0,0,1,0,6,14,0,0,28,0,0,0,29,0,8,0,1,0,0,0,0,0,0,0,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,29,1,0,772,0,8,0,1,0,0,0,7,0,0,0,0,0,0,0,0,5,2,2,7,8,0,0,747,85432
4,-34.779,8,0,0,4,0,0,0,62.5,0,5,28,0,0,0,0,9,0,0,0,0,40,0,0,0,0,4,2,227,5,9,15,0,0,1,0,0,0,1,0,6,5,0,6,0,4,1,0,0,3,4,0,0,2,25,2,0,36,0,0,0,0,8,12,0,1,22,2,0,0,50,0,6,0,3,0,0,0,0,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,49,4,0,697.5,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,5,13,6,5,0,0,518,85432
8,-20.414,1,0,0,7,0,0,0,70.5,0,9,29,0,0,0,0,2,0,0,1,1,46,0,1,3,0,3,0,235,2,11,6,0,0,0,0,0,0,0,0,10,2,0,5,0,4,1,0,0,2,9,0,0,0,20,1,0,18,0,0,0,0,10,14,0,0,17,0,1,0,23,0,6,0,2,0,0,0,0,0,0,0,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,626.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,17,9,0,0,412,85432
12,-6.048,7,0,0,3,0,0,0,64,0,2,35,0,0,0,0,7,0,0,0,4,39,0,1,3,0,6,1,221,6,6,12,0,0,0,0,0,0,2,0,8,2,0,9,0,6,1,0,0,10,3,0,0,0,30,3,0,38,0,0,0,0,5,16,0,0,15,1,0,1,24,0,1,1,2,0,0,0,0,0,0,0,3,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,50,4,1,680,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,9,3,0,0,628,85432
16,8.317,6,0,0,7.5,0,0,0,62,0,9,49,0,0,0,0,2,0,0,0,2,47,0,2,1,1,2,0,217,3,10,9,0,0,2,0,0,1,0,0,2,0,0,7,1,4,1,0,0,1,6,0,0,1,17,3,0,29,0,0,0,0,8,17,0,0,21,0,0,0,36,0,5,0,1,0,0,0,0,0,0,0,0,11,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,45,0,0,671.5,2,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,13,6,15,18,10,0,0,662,85432
20,22.683,12,0,0,4,0,0,0,53,0,6,16,0,0,0,0,3,0,0,0,0,30,0,2,1,0,4,2,232,11,3,11,0,0,0,0,0,0,1,0,5,1,0,13,1,4,0,0,0,3,4,0,0,0,32,2,0,40,0,0,0,0,8,14,0,0,31,2,0,2,42,0,2,0,0,0,0,0,0,0,0,0,2,23,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,6,0,697,8,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,7,7,12,7,0,0,658,85432
24,37.048,10,0,0,8,0,0,0,49.5,0,4,16,0,0,0,0,8,0,0,1,0,44,0,3,5,0,7,0,241,6,6,11,0,0,0,0,0,0,0,0,11,3,0,5,2,9,2,0,0,2,3,0,0,0,20,3,0,22,0,0,0,0,16,26,0,0,33,0,0,0,30,0,7,1,1,0,0,0,0,0,0,0,0,15,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,57,2,0,715.5,1,7,0,1,0,0,0,5,0,0,0,0,0,0,0,0,11,6,18,15,8,0,0,877,85432
28,51.414,7,0,0,5,0,0,0,57,0,2,16,0,0,0,0,9,0,0,1,0,47,0,3,3,0,2,2,234,2,4,12,0,0,0,0,0,0,0,0,8,1,0,10,1,4,0,0,0,2,6,0,0,0,18,4,0,34,0,0,0,0,6,28,0,0,33,2,0,1,21,0,4,1,0,0,0,0,0,0,0,0,1,27,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,58,5,0,701,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,9,14,6,0,0,753,85432
32,65.779,10,0,0,2.5,0,0,0,51,0,9,17,0,0,0,0,10,0,0,1,1,39,0,2,6,0,4,0,239,1,5,8,0,0,0,0,0,0,1,0,6,4,0,8,5,9,0,0,0,5,6,0,0,3,24,2,0,22,0,0,0,0,7,7,0,0,35,2,1,0,29,0,4,2,2,0,0,0,0,0,0,0,0,30,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46,4,0,688.5,0,4,0,0,0,0,0,5,0,1,0,0,0,0,0,0,23,17,27,28,11,0,0,787,85432
36,80.145,13,0,0,3.5,0,0,0,34,0,2,8,0,0,0,0,9,0,0,0,1,36,0,1,1,0,4,0,273,5,3,5,0,0,0,0,0,0,1,0,10,3,0,11,1,7,2,0,0,3,6,0,0,0,32,1,0,26,0,0,0,0,16,24,0,0,32,2,0,0,37,0,4,0,0,0,0,0,0,0,0,0,2,25,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,2,0,757.5,1,1,0,3,0,0,1,2,0,0,0,0,0,0,1,0,9,3,8,5,8,0,0,578,85432
