Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Deep-Taunton,0-1,surface,,,,,-63,-63,-63
,64-65,Euro,,,,,313,313,313
,172-173,sediment,OS-108284  ,1660,25,-28.86,1560,1524,1621
,232-233*,sediment,OS-108285  ,2360,25,-29.46,2360,2342,2461
,274-275,sediment,OS-108286  ,2280,25,-29.2,2321,2183,2345
,348-349,sediment,OS-108287  ,3020,30,-28.82,3214,3091,3330
,420-421,sediment,OS-108315  ,3490,25,-28.52,3765,3691,3834
,474-475,sediment,OS-108316  ,4110,25,-28.61,4624,4533,4802
,554-555,sediment,OS-108317  ,4510,30,-28.23,5160,5050,5295
,650-651,sediment,OS-108318  ,5640,25,-30.36,6424,6331,6480
,676-677,sediment,OS-108319  ,6140,30,-29.3,7050,6948,7153
,692-693*,sediment,OS-108320  ,6690,30,-29.45,7564,7503,7607
,730-731,sediment,OS-108321  ,6720,45,-29.37,7587,7505,7660
,800-801,sediment,OS-108322  ,8620,35,-28.89,9567,9534,9669
,892-893,sediment,OS-108323  ,9050,40,-31.78,10219,10180,10253
,946-947*,sediment,OS-108324  ,9150,50,-31.73,10319,10232,10475
,1004-1005,sediment,OS-108482  ,9640,50,-31.52,10973,10779,11179
,1030-1031,sediment,OS-108483  ,9800,50,-29.56,11219,11146,11299
,1122-1123,sediment,OS-108544  ,13400,75,-25,16124,15877,16351
