Depth (cm),Cal age,Pinus indet.,Pinus diplox,P. banksiana t.,P. resinos/rigida t.,P. haplox,Tsuga,Picea glauca,P. mariana,Picea indet.,Picea undiff..,Abies,vesiculate conif ,Larix,Cupressaceae,Quercus,Carya,Castanea,Juglans nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp,Clethra,Alnus viridis t.,A. crispa/incana t.,Acer rubrum,Acer sacc t.,A. negundo,Acer sp.,Nyssa,Salix,Populus,Ericaceae,Vitis,Myrica,Corylus,Corylaceae,Platanus,Cephalanthus,Viburnum,Ilex,Poaceae,Artemisia,Ambrosia,Rumex,Urtica,Plantago,Iva ciliata t.,Asteraceae,Rosaceae,Fabaceae,Apiaceae,Cannabis T.,Cheno/Ams,Caryophyllaceae,Polygonella sp.,Thalictrum,Polygonum lapath t.,Hypericum t.,Cyperaceae,cf. Cucurbitae,Secale,Triticum t.,Brassicaceae,Rhexia t.,Pteridium t.,Dryopteris t.,Osmunda,Trilete unknown,L. inundatum,Lycopodium sp.,Sellaginella t.,Upland sum,Isoetes,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Brasenia,Sagittaria,Typha,Sparganium t.,Eriocaulon,PreQuaternary,Pinus stomata,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
32,124.534,71,,4,4,6,4,,2,,,,1,,6,73,5,1,1,3,34,1,4,1,3,,2,4,,5,,,2,1,,1,6,,8,1,,,,,,29,,24,8,,2,,4,,,,,,,,,,,,,2,2,1,,4,1,3,,3,3,4,344,,2,1,7,,1,,,,,,1,6,,6,1,3,5,213,52121
64,312.996,72,2,5,8,3,12,,1,,,,,,3,149,4,,,13,30,1,3,,2,,,,,1,,1,,,,1,1,,9,,,,,,1,15,,15,12,,2,,,,1,,1,,,,,,,1,,,,,,3,,1,,3,,,376,,,,6,1,1,,,,,,1,6,,2,,3,2,94,104242
96,678.482,66,1,1,5,5,11,,3,2,,,1,,3,144,11,1,1,10,29,4,1,,2,,,3,,,3,,1,,,,2,,2,1,,,,,,5,,2,,1,,,,,,,,,,,,,,,,,,,,5,1,,,,,5,332,4,1,,3,,1,1,,,2,,,7,,2,,4,3,156,104242
128,1043.969,50,4,,2,8,8,,,,,,,,3,147,7,1,,21,33,2,3,,1,,,1,,6,1,,2,1,,,2,,3,3,,,,,1,3,,2,,,,,,,,,,,,,,,,2,,,,,,3,2,4,,1,,,327,,,3,3,1,4,2,,,,,,6,,1,,3,1,99,104242
160,1409.456,53,1,1,1,3,14,,1,,,,,,5,138,16,,,11,28,3,6,,1,,3,3,,4,1,,,,,1,6,,7,,1,,2,1,1,4,,1,,,,,,,2,,,,,,,,1,,2,,,,,3,,2,,,,,327,,,,3,1,7,,,,,,,7,1,3,1,1,4,87,104242
192,1701.959,27,5,1,3,3,14,,,,,,,1,1,146,21,,,17,36,3,1,,3,,1,4,,4,,,,1,,,1,,12,,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,2,,1,,,,,312,,1,1,,,3,,,1,,,,6,,5,,8,2,47,104242
224,1950.175,58,,2,2,2,13,,,,,,1,,4,136,8,1,,18,25,3,,,2,,1,3,,5,2,,,5,,,2,,5,2,,,,,3,4,,,,,,1,,,1,,,,,,,,,1,,,,,,2,2,1,,,,,315,,,,,,1,,,1,,,2,2,,5,2,1,1,74,104242
256,2198.39,46,,,5,3,10,,,1,,,,,14,151,12,2,,28,27,12,3,2,,,,4,,,2,1,1,2,2,,6,,14,,,,1,,1,1,,1,,,,,3,,,,,,,,,,,4,1,,,,,4,,,,,,,364,,1,3,1,,5,,,,1,1,,5,,,1,1,,63,104242
288,2528.517,33,,,2,4,15,,1,,,,,,5,171,11,,,18,30,4,4,,2,,,1,,,,,4,2,,2,6,1,2,,,,1,,1,1,,,,1,,,,1,,,,,,,,,1,,,,,,,7,4,2,,,,,337,1,,,,,,,,,,,,14,,2,2,2,1,74,104242
320,2959.096,33,4,2,,,15,,,,,,,,12,174,21,,,31,36,3,2,,1,,,2,,2,3,,1,1,,1,11,,6,,1,,,,1,1,,,,,,,2,,,,,,,,,,,2,,,,,,2,5,,,,,,375,,1,,,,,,,,,,,3,,5,2,1,1,30,104242
384,3576.819,14,,,,,4,,,,,,,,13,189,5,1,,26,37,5,4,,5,2,1,6,1,2,1,,,,,,11,,12,,1,2,2,,2,4,,1,,,,,1,,2,1,,,,,,,,6,,,,,,4,4,,,,,,369,,2,,,,,,,,,,,13,,6,,1,1,33,104242
448,4232.911,21,1,,,,3,,,,,,,,5,178,17,,,19,21,12,4,2,1,,,5,,,2,1,2,1,,,6,,4,1,,,,,1,1,,1,,,,,,,1,,,,,,,,3,,,,,,,1,2,1,1,,,,318,,3,,2,,,,,,,,,4,,2,1,2,,30,104242
480,4651.278,17,1,,,,12,,,,,,,,4,182,11,,,39,28,4,4,,2,,1,3,,,1,,2,1,,4,4,,3,3,,2,1,,,2,,,,,,,2,,1,,,,,,,,,4,,,,,,1,1,1,1,,,,342,,,,2,,8,4,,,,,,2,,1,11,2,3,82,104242
544,5027.427,11,,,,,12,,,,,,,,16,172,7,,,32,22,,3,,1,1,,9,1,4,1,,,1,,1,4,,3,2,1,,1,,1,1,,,,,,,1,,,,,,,,1,,,2,,,,,,5,4,1,,,,,321,,1,,,,3,1,,,,,,5,,2,,1,4,80,104242
560,5176.284,16,,1,,,10,,1,,,,,,5,173,11,,,32,14,4,2,1,1,,1,8,,,2,,3,,1,7,,,2,1,,1,1,,1,1,,1,,,,,1,,,,,1,,,,,,,,,,,,2,1,3,,,,1,310,,,,5,,3,,,,,,,8,,2,,1,3,89,104242
576,5408.23,13,1,1,,,12,,,,,,,,,202,14,,,26,11,3,5,3,5,,,3,,2,4,,1,2,,,3,1,5,,,3,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,324,,,,1,,8,,,,,,,5,,3,2,2,1,29,104242
624,6104.068,14,,1,,,19,,,,,,,,,169,6,,,27,12,2,5,,4,1,,,,1,,,4,10,,1,4,1,4,2,,1,5,,1,4,,,,,1,,,,2,,,,,,,,,1,,,,,,,,1,,,,3,306,,,,2,,9,,,,,,,,,3,3,,3,62,104242
640,6336.014,12,,,,,26,,,,,,,,3,193,1,,1,22,17,6,11,,1,,,2,,,10,,,5,,,,,3,2,,1,7,,,,,,,,2,,,1,1,,,,,,1,,,2,,,,,,1,3,,,,,,334,1,,,,,9,,,,,,,5,,2,,2,4,36,104242
656,6599.855,14,1,1,,,11,,1,,1,,,,2,186,1,,,25,15,8,9,,1,3,1,7,,,,,3,,,2,,1,6,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,2,2,,,,,,307,2,,,,,4,,,,,,,21,,1,1,1,2,78,104242
672,6916.89,22,,,1,1,20,1,1,1,,,,,,203,1,,,39,17,2,10,,,,,5,,2,,,,4,,2,,,2,,,1,3,,,3,,1,,,,,1,,,,,2,,,,,2,1,,,,,,,2,1,,,,,351,4,1,,,,1,,,,,,,15,,,,,1,52,104242
688,7143.773,46,1,2,,,17,,5,4,1,,1,,7,154,2,2,,27,19,4,8,,2,,,11,,1,1,,2,3,,3,1,,8,1,1,6,3,,1,,,1,1,2,,,,,,,,,,,1,,1,4,,,,,,5,2,3,,,1,,365,6,2,3,,,1,,,,,2,,15,,2,2,2,4,40,104242
