Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Doe,0-1,surface,,,,,-52,-52,-52
,34-35,Pb-210,,,,,33,33,33
,70-71,Euro,,,,,290,290,290
,95-96,sediment,Beta-179526,1130,40,-29.3,1034,959,1168
,113-114,sediment,Beta-179527,1700,40,-30,1607,1537,1703
,152-153,sediment,Beta-179528,2630,40,-30.2,2756,2717,2837
,207-208*,sediment,Beta-179529,3560,40,-29.4,3856,3725,3964
,241-242,sediment,Beta-179530,4820,40,-29.7,5527,5472,5634
,349-350,plant macrofossil,OS-74246   ,6090,45,-24.77,6958,6812,7145
,500-501,sediment,OS-74247   ,8150,30,-30.75,9076,9017,9231
,540-541,sediment,OS-74248   ,8510,60,-26.18,9505,9423,9565
,630-631,sediment,OS-74249   ,9570,30,-25.52,10934,10752,11083
,700-701,sediment,OS-75476,10150,40,-29.79,11821,11626,12008
,776-777,plant macrofossil,OS-74250   ,12400,50,-27.53,14469,14186,14851
