Depth (cm),Cal age,Cupressaceae,Picea,Picea mariana,Picea glauca,Picea rubens/mariana,Abies,Larix,Pinus indeterm,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Pinus banksiana-t.,Pinus resinosa t.,Vesiculate conif.,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer negundo-type,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Corylaceae,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Kalmia t. ER,Ledum t.,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Rhus,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Urticales,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Caryophylaceaae,Rumex,Plantago,Polygonella t.,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Epilobium,Campanulaceae,Lamiaceae,Impatiens,Iridaceae,Sanguisorba,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,L. complanatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Dryopteris-type,Upland sum,Equisetum,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Utricularia,Pediastrum,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,PreQuat.,Pinus stomata,Tsuga stomata,Picea mariana t. stomata,Exotic count,Exotic spike
0,-52.084,4,4,0,0,0,0,0,0,19,6,79,0,0,0,18,0,0,1,113,0,0,3,5,7,0,209,3,5,0,0,0,0,4,1,10,0,1,16,2,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,1,18,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,554,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,120,85432
4,-21.188,4,2,0,0,0,0,1,0,23,9,79,0,0,0,15,0,3,4,95,0,0,9,3,3,0,214,2,1,5,0,0,0,1,0,9,0,0,31,8,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,11,0,3,28,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,576,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,407,85432
8,9.708,2,2,0,0,0,0,1,0,23,6,73,0,0,0,13,0,1,0,101,0,0,8,7,4,0,224,6,1,2,0,0,0,0,1,9,0,0,15,6,0,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,25,0,0,2,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,9,580,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,3,2,0,0,0,0,0,141,85432
12,40.604,4,4,0,0,0,0,0,0,30,4,43,0,0,0,15,0,1,2,123,0,0,17,9,5,0,218,10,3,6,0,0,0,1,0,6,0,1,15,5,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,18,0,0,36,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,598,14,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,161,85432
16,71.5,7,6,0,0,0,1,0,0,21,11,55,0,0,0,23,0,2,2,132,0,0,8,4,5,0,191,15,2,4,0,0,1,2,0,14,0,0,20,5,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,29,0,1,34,1,0,3,0,0,0,0,0,7,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,620,43,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,129,85432
20,102.396,3,3,0,0,0,0,0,0,19,6,53,0,0,0,19,0,2,2,135,0,0,8,4,6,0,220,3,2,0,0,0,1,4,0,7,0,0,11,9,0,0,0,0,4,0,0,0,1,0,1,0,1,0,0,0,0,5,0,0,0,0,15,0,0,23,0,0,1,0,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,583,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,77,85432
24,133.292,2,2,0,0,0,0,0,0,29,3,48,0,0,0,25,0,1,0,136,0,0,13,3,5,0,189,5,3,5,0,0,0,0,0,16,0,1,14,6,0,0,0,0,1,0,0,0,3,0,2,1,5,0,0,0,0,2,0,0,0,0,28,1,0,31,0,0,2,0,1,0,1,0,9,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,602,10,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,194,85432
28,164.187,5,8,0,0,0,0,0,0,17,8,61,0,0,0,17,0,3,1,126,0,0,6,13,4,0,213,4,2,0,0,0,0,1,0,14,0,0,18,12,0,0,0,0,2,0,0,0,2,0,0,1,3,0,0,0,0,3,0,0,0,0,14,0,0,37,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,612,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,209,85432
32,195.083,6,6,0,0,0,0,0,0,25,4,70,0,0,0,25,0,5,0,115,0,0,6,10,5,0,168,11,3,0,0,0,0,3,1,11,2,0,19,11,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0,1,54,2,0,0,0,2,0,0,0,14,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,630,17,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,355,85432
36,225.979,0,3,0,0,0,0,0,0,23,7,73,0,0,0,18,0,1,0,113,0,0,6,9,1,0,207,9,2,1,0,1,1,0,0,15,0,0,27,5,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,20,0,0,32,0,0,1,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,607,28,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,447,85432
40,256.875,10,5,0,0,0,0,0,0,30,7,68,0,0,0,35,0,2,3,86,0,0,6,8,4,0,157,5,3,3,0,0,1,5,0,9,0,1,30,10,0,0,0,0,9,0,0,0,5,0,0,0,4,0,0,0,0,1,0,0,0,0,16,0,0,43,0,0,0,0,1,0,0,0,13,0,0,1,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,8,607,15,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,189,85432
44,287.771,2,4,0,0,0,0,0,0,19,1,63,0,0,0,40,0,0,0,113,0,0,5,4,2,0,211,6,5,1,0,0,0,1,0,11,1,1,18,9,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,15,0,0,22,0,0,0,0,0,0,0,0,8,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,2,594,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,0,0,0,0,0,449,85432
48,346.67,1,4,0,0,0,0,0,0,23,2,90,0,0,0,40,0,0,2,91,0,0,3,3,7,0,178,7,5,5,0,0,4,0,0,15,0,0,23,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,545,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,220,85432
52,407.687,1,4,0,0,0,0,0,0,27,4,52,0,0,0,39,0,1,2,80,0,0,7,17,3,0,201,4,6,3,0,0,0,1,0,21,1,0,30,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,533,18,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,601,85432
56,468.704,2,2,0,0,0,0,0,0,18,3,52,0,0,0,54,0,4,0,85,0,0,6,8,5,0,236,4,3,0,0,0,1,2,2,11,0,0,21,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,560,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,525,85432
60,529.721,1,1,0,0,0,0,0,0,18,1,69,0,0,0,46,0,0,0,94,0,0,1,4,2,0,199,5,4,0,0,0,0,1,0,14,0,0,42,2,0,0,0,0,7,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,535,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,2,0,0,0,0,0,691,85432
64,590.738,2,1,0,0,0,0,0,0,33,2,53,0,0,0,44,0,0,0,87,0,0,6,4,6,0,217,6,3,7,0,0,0,0,1,16,1,0,39,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,7,565,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0,213,85432
68,651.755,6,3,0,0,0,0,0,0,17,4,78,0,0,0,44,0,1,0,71,0,0,6,9,6,0,205,6,4,4,0,0,1,0,2,7,2,1,20,7,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,530,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,463,85432
72,712.772,3,3,0,0,0,0,0,0,25,3,52,0,0,0,31,0,3,1,90,0,0,0,6,2,0,242,2,3,0,0,0,0,2,0,17,2,0,34,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,2,570,11,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,514,85432
76,773.789,1,1,0,0,0,0,0,0,31,3,54,0,0,0,43,0,1,0,75,0,0,7,10,6,0,218,9,3,4,0,0,0,2,1,19,0,0,26,8,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,544,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,322,85432
80,834.807,5,2,0,0,0,0,1,0,37,5,45,0,0,0,51,0,1,4,61,0,0,6,6,3,0,206,6,5,4,0,0,0,2,1,21,0,0,28,7,0,0,0,0,10,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,3,555,10,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,609,85432
