Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Guilder,0-1,surface,,,,,-59,-59,-59
,24-25,Euro,,,,,258,258,258
,101-102,plant macrofossil,OS-75127   ,3340,30,-23.48,3579,3484,3671
,145-146,plant macrofossil,OS-107625  ,4070,35,-23.68,4560,4447,4792
,155-156,plant macrofossil,OS-107664  ,4120,30,-24.21,4652,4535,4807
,163-164,plant macrofossil,OS-75128   ,4590,35,-21.54,5310,5081,5441
,170-171,plant macrofossil,OS-107626  ,4500,40,-24.57,5162,4993,5294
,201-202,plant macrofossil,OS-75129   ,5040,35,-21.86,5815,5674,5893
,301-302,plant macrofossil,OS-75130   ,8070,40,-21.27,9001,8789,9106
,356-357,sediment,OS-75131   ,9450,50,-27.81,10686,10572,11042
,430-431,sediment,OS-75136   ,12700,55,-31.54,15127,14844,15287
