Depth (cm),Cal age,Cupressaceae,Picea,Abies,Pinus Undiff.,Pinus Haplox ,Pinus Diplox,Tsuga,Populus,Salix,Betula,Betula-small,Betulacee,Ostrya/carpinus,Fraxinus Nigra,Fraxinus Penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer Rubrum,Acer ,Tilia,Juglans Cinerea,Carya,Platanus,Fagus,Castanea,Nyssa,Liquidambar,Alnus,Ilex,Corylus,Myrica/Comptonia,Rhamnus/Vitis,Cornus,Ericaceae,Poaceae,Artemisia,Ambrosia,Urtica,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonaceae,Rumex,Plantago,Roseaceae,Cyperaceae,Ranunculaceae,Fabaceae,Iva,Balsaminaceae,Asteraceae,Thalictrum,Equisetum,Epilobium lantifolium,Dennstaeditia,Pteridium,Lyc. Lucidulum,Lyc. Inundatum,Lyc. annotinum,Lyc.,Osmunda,Monolete spore,Upland sum,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Brassenia,Pediastrum,Indet.Crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Tetrads,Exotic count,Exotic spike
0,-59.923,,,,29,6,2,57,,4,30,3,4,3,3,1,8,66,8,10,3,2,,,14,,35,,,,,1,10,5,,,,,1,2,,1,,2,,4,,5,,,1,,,,,,,1,,,,,,,,321,,1,,,,,,,1,,,,1,,43,42716
8,49.0445,,,,6,16,4,33,,,52,,,,,,,56,5,,1,7,,,9,,,,,,3,,1,,,,,1,,6,,,,,,,,,,,,2,,,,,,,,,,,,,,202,,,1,5,,,,,,,,,1,,67,42716
16,152.423,,,,28,5,9,66,,5,31,6,,3,2,3,11,57,5,9,1,6,,,16,,21,1,,,,,8,4,,,2,,,3,,2,,2,,,,1,,,,,,,,,,2,,,,,,,,309,,,,,,,,,3,1,,,,,53,42716
24,277.526,,,,20,4,2,61,,5,27,8,,4,4,2,14,88,2,2,1,2,,,18,,26,2,,,,,10,5,,,2,,,4,,,,,1,,,9,1,,,,,,,,,1,,,,,,,,325,,,,,,,,,9,3,,,,,59,42716
32,662.387,,,,22,7,5,70,,8,33,1,4,2,3,7,2,71,2,10,1,1,,,10,,41,2,,,,,10,8,,,3,,,2,,7,,,,4,,5,,,,,1,,,,,2,,,,,,,,344,,1,,,,,,,3,,,7,,,42,42716
40,999.9845,,,,28,5,5,72,,5,23,1,1,6,9,4,1,68,5,8,2,3,1,,15,,28,,,,,,6,4,,,4,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,310,,2,,,,,,,3,,,4,,,40,42716
48,1327.227,,,,31,6,3,72,,5,33,9,,5,3,5,1,62,8,,,9,,,12,,30,,,,,,6,6,,,2,1,,2,,5,,,,2,,,,3,,,,1,,,,,,,,,,,,322,,1,,,,,,,1,,,7,,,31,42716
56,1657.466,,,,30,3,7,74,,2,31,,1,3,2,2,3,62,5,,,2,,1,28,,35,,,,,,1,1,,,3,1,,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,302,,1,,,,,,,1,2,,1,,,36,42716
64,1986.255,,,,21,9,2,57,,2,31,3,5,5,2,2,5,69,12,2,,4,1,1,16,,21,,,,,,3,1,,,3,,,3,,4,,,,1,,2,,,,,,,,,,,,,,,,,,287,,1,,,,,,,8,,,2,,,31,42716
72,2320.469,,,,42,7,6,74,,5,30,,4,5,,1,8,77,3,1,,6,1,,15,,26,1,,,,,3,1,,,2,,2,1,,4,,,,1,,,,,,,,,,,,,,,,,,,,326,,,,,,,,,6,3,,2,,,38,42716
80,2644.99,,,,22,8,8,52,,5,37,,6,,1,2,11,71,1,6,1,11,,,9,,33,,,,,,1,3,,,3,,1,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,296,,,,,,,,,5,1,,5,,,30,42716
88,2968.966,,,,44,6,5,49,,3,30,,,,,,23,51,4,2,1,7,,,11,,30,3,,,,,7,10,,,1,1,,1,,,,,,4,1,,,,1,,,2,,,,,,,,,,,,297,,,1,,,,,,,2,,,5,,51,42716
96,3305.737,,,,64,6,4,24,,,41,,1,,,,10,69,7,1,,18,,,15,,31,1,,,,,,,,,1,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,2,,,,,,53,42716
104,3638.843,,,,39,8,4,21,,2,28,,,,,,30,58,5,,,26,,1,13,,39,1,,,,,,5,,,,3,,3,,1,1,1,,,,,1,,,,,,,,,,,,,,,1,,291,,,,,,,,,,1,,2,,,47,42716
112,3802.852,,,1,22,27,11,28,,,53,,,,,,2,149,2,3,14,2,2,4,24,,33,1,,,1,,5,,,,,,,1,2,,,1,,,,,,,,,,,,,,,1,,,,,3,,392,,,,3,2,,,3,,,,,,,88,42716
120,3959.453,,,,43,4,6,11,,,44,,8,,,,11,106,8,1,,18,2,,18,,36,3,,,,,,,,,0,,0,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,76,42716
130,4152.332,,42,,11,3,15,37,,,85,1,,10,,,15,158,5,,19,,2,6,45,,79,1,,,1,1,,,3,,,,1,4,,,,2,,,,,,,,,,,,,,3,,,,,6,,1,556,,,,4,3,,,9,13,1,7,15,,,89,42716
140,4350.219,,,,14,14,12,55,,1,106,1,1,1,,,15,192,5,,12,2,1,2,44,,59,,7,,3,,,,1,,,,1,2,,,,,,,2,,,,,,,,1,,,3,,,,,1,,2,560,,,,4,,,,3,11,3,1,17,,,81,42716
150,4565.734,,9,,13,25,2,50,2,1,102,4,,15,,,6,163,7,,5,,2,5,42,,51,1,,,6,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,3,,,,2,520,,,,4,9,,,1,26,5,7,11,1,,147,42716
154,4650.829,,10,,7,20,4,49,,,106,,,,,,13,205,5,,20,,6,5,34,,69,2,,,2,,1,,1,,,3,8,1,,3,,,,,,,,,,,,,,,,3,,,,,,,1,578,,,,,6,,2,5,47,27,,77,,,209,104242
158,4828.719,1,11,,3,15,1,72,,,105,3,,,,,11,149,10,,23,,4,3,25,,85,2,,,,1,,5,,,,,5,1,,,,,,,,,,,,,,,,,,6,,1,,,,4,3,549,,,,3,4,,1,5,38,24,4,48,1,,169,104242
160,4924.745,,1,,10,10,1,62,,,80,3,,4,,,11,135,7,,5,6,5,2,26,7,84,,,,4,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,5,,1,,,,,5,479,,,,6,4,1,,10,16,6,3,22,2,,94,42716
162,5020.771,,6,,5,7,2,83,,1,102,,,7,,,8,161,10,,13,,,4,12,,115,1,,,8,,,,,,1,,1,1,,,,,,,2,,,,,,,,,,,4,1,,,,1,4,4,564,,,,5,2,,5,6,34,30,,55,,,288,104242
164,5100.629,,4,,5,8,,95,,,109,,,4,,,7,129,9,,10,,1,5,25,,119,2,,,2,,5,,4,,,,3,4,,,,,,2,,,,,,,,,,,,5,,,,,,6,2,565,,,,3,1,,1,1,39,32,1,77,,,234,104242
166,5167.706,,15,,4,6,5,91,,,119,,,11,,,10,108,12,,17,,3,7,25,,89,,,,3,,1,,1,,,,2,2,,1,,,,,,,,,,,,,1,,,5,,,,,,3,1,542,,,,3,5,,2,3,35,23,6,68,,,195,104242
168,5234.783,,4,,6,7,2,126,,,95,,,5,,,14,125,2,,15,,,2,25,,97,,,,5,,1,,,,,1,2,4,,1,,,,,,,,,,,,,,,,5,,,,,1,4,2,551,,,,9,2,,,2,18,14,2,46,,,317,104242
170,5294.552,,7,,3,3,2,166,,,83,1,,3,,,16,114,5,1,5,5,2,5,15,,95,,,1,3,2,,,2,,,,1,3,,,,,,,,,,,,,,,1,,,,2,,,,,,,546,,,,9,,,,4,11,2,1,7,,,119,42716
172,5324.124,,6,,3,6,8,178,,,94,,,3,,,12,151,9,1,12,,3,4,11,,93,1,2,,4,,,,4,1,,,,,,1,,,,,,,,,,,,,,,,5,,,,,1,3,1,617,,,1,9,1,,,4,16,4,1,31,,,259,104242
176,5384.799,,7,,4,4,1,147,,,106,,,6,,,14,121,9,2,7,,1,3,21,,61,1,4,,1,,1,,,,,,1,2,,,,1,,,,,,,,,,,,,,5,,,,,,1,2,533,,1,,4,5,,1,5,40,23,1,76,,,170,104242
180,5441.174,,13,,7,6,4,139,,3,75,1,1,,,,7,143,7,,13,3,5,4,27,,83,1,,,,,,,2,,,,3,3,,,,,,,1,,,,,,,,,,,2,,,,,3,,,556,,,,8,2,,,4,16,5,3,13,,,64,42716
190,5580.14,,,,,8,2,163,,3,61,,,4,,,15,138,12,,9,,2,3,11,,73,,,,4,1,,,2,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,3,,1,521,,,,2,,,,18,12,1,,4,,,95,42716
200,5721.315,,,,12,2,2,134,,,99,1,2,,,,12,162,10,1,9,,3,3,27,,94,,,,2,1,1,,1,,,1,1,2,,1,,,,1,,,,,,,,,,,,1,,,,,1,,3,589,,,1,,,,,1,28,4,1,10,,,53,42716
210,6076.754,,2,,7,4,1,136,,3,114,,1,2,,,12,98,9,2,4,,6,7,12,,82,,,,2,,,,3,,,1,4,2,,,,,,,,,,,,,,,,,,,1,,,,,,4,519,,,,,3,,,2,11,4,2,5,,,72,42716
220,6402.494,,,,3,8,2,164,,,92,,1,,,,20,89,17,,8,,1,6,12,,135,,,,2,,2,,,,,,2,2,,,,,,,,,,,,,,,1,,,2,,,,,,,4,573,,,,,,,,1,15,8,3,8,,,44,42716
230,6712.719,,5,,4,1,2,166,,,110,,,1,,,11,77,6,,8,,,7,25,2,122,,,,1,4,,,1,2,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,560,,,,,,,,1,14,,,7,,,47,42716
