Lake Name,Lat,Lon,size
Benson,42.3776,42.3776,2.3
Berry-Andover,42.6201,42.6201,1.6
Berry-Hancock,42.5054,42.5054,3.7
Black,41.3281,41.3281,1.4
blaneys,41.4717,41.4717,1
Blood Pond,42.08,42.08,8.5
Deep-Falmouth,41.5641,41.5641,1
Deep-Taunton,41.8824,41.8824,1.5
Doe,42.1754,42.1754,1.4
Duck,41.9328,41.9328,5.1
Fresh-Block,41.1583,41.1583,1
Fresh-Falmouth,41.5935,41.5935,5.3
Green,42.5668,42.5668,5
Guilder,42.1094,42.1094,6.3
Knob Hill,44.3605,44.3605,7.1
Little Willey Pond,43.2918,43.2918,11.4
Little Royalston,42.675,42.675,4
Mohawk,41.8167,41.8167,6.6
No Bottom,41.2846,41.2846,0.2
North,42.651,42.651,7.8
Rogers,41.3635,41.3635,107
Sears,40.8845,40.8845,6.1
Spruce,41.2369,41.2369,1.9
Sutherland,41.3931,41.3931,4.1
Umpawaug,41.3061,41.3061,5.3
UncleSeths,41.4331,41.4331,4.6
Ware,42.4825,42.4825,1.1
WestSide,41.8556,41.8556,15.7
Winneconnet,41.9667,41.9667,60
