Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Sears,0-1,surface,,,,,-50,-50,-50
,50-51*,sediment,OS-97182   ,560,25,-30.4,593,529,634
,54-55,Euro,,,,,300,300,300
,100-101,sediment,OS-97183   ,1920,25,-27.71,1867,1821,1922
,150-151,sediment,OS-97184   ,2710,25,-28.31,2805,2763,2856
,199-200*,plant macrofossil,OS-70530   ,5170,35,-27.58,5929,5782,5988
,200-201,sediment,OS-82817   ,4920,35,-26.09,5641,5598,5723
,200-231,sediment,OS-82818   ,5800,35,-25.56,6601,6504,6690
,231-232*,plant macrofossil,OS-70527   ,6630,40,-21.43,7518,7444,7573
,245-246,sediment,OS-97185   ,5830,40,-25.88,6642,6516,6734
,260-261,sediment,OS-82842   ,5760,30,-26.23,6561,6481,6640
,263-264*,plant macrofossil,OS-70528   ,6440,40,-23.56,7363,7279,7424
,285-286,sediment,OS-97186   ,8590,55,-26.07,9552,9492,9683
,290-291,sediment,OS-82843   ,9190,55,-26.12,10355,10247,10503
,291-292,plant macrofossil,OS-70529   ,8530,50,-29.29,9515,9463,9559
,295-296,sediment,OS-97187   ,9290,60,-26.23,10475,10287,10648
