Depth (cm),Cal age,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Other shrubs,Poaceae,Zea,Secale,Artemisia,Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Other herbs,Dennstaeditia,Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Upland pollen sum,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Potamogeton,Brassenia,Sarracenia,Pediastrum,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic count,Exotic spike
8,7.866,,,,,103,2,4,4,,,1,23,,,1,,,2,111,4,,1,1,,2,1,11,,,5,1,,,,,,,5,,7,,1,,,,2,,,4,,,,22,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,,4,,,,,,,,1,,510,42716
16,57.916,7,3.5,,,91,1,8,8,,,,27,,,1,3,1,,88,6,1,2,,,1,1,6,1,,2,1,,,,,,,3,,6,,3,,,,,,,7,,,,30,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,311.5,2,1,,2,2,,,,,1,,,4,,356,42716
24,106.994,5,1,,,76.5,5,4,3,,,,35,,,,1,,,108,4,2,1,,,,1,6,1,,10,1,,,,1,,,2,,12,,1,,,,1,,,7,,,,34,,1,,1,,,2,1,1,,,,,,,,,,,,,1,,,,,,,,,,329.5,,,,,1,,,,,,,,5,,305,42716
40,206.3725,3,18,,,37,30,23,9,,,,58,,,1,4,,,93,5,,8,,,,,14,,,8,1,,,,3,,,7,2,,3,2,,,,,,,,,,,41,,1,,5,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,378,,1,1,,9,,,,2,2,,,,,307,42716
56,385.401,3,2,,,64,,10,11,,,,36,,,1,,,,140,3,1,1,,,,,18,2,,4,,,,,,,,8,,19,,1,,,,,,,1,,,,2,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,330,,,,,3,,,,5,1,,,,,121,42716
76,1056.327,2,,,,146.5,1,12,15,,,,55,,2,1,1,1,,252,8,3,1,,,,1,17,,,22,,,,,,,,10,,21,,2,,,,,,,5,,,,2,,2,,,,,,,,2,,,,,,,,,,,,1,,,,,,1,,,1,587.5,,3,1,,1,,,,3,4,1,,,3,68,42716
96,1715.374,2,,,,63,,1,6,,,,34,,3,,,,2,243,7,1,3,,,,2,18,2,,22,,,1,,,,,4,,18,,3,,,,,,,5,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,452,2,2,,,1,,,,,7,,,2,1,55,42716
106,1995.719,,11,,,22,24,8,5,,,,58,6,,,,,3,132,4,,2,,,,,14,,,13,7,,,,,,,8,2,,4,,,,,,,,5,,,2,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,343,1,,,,1,,,,,22,11,,15,,51,42716
116,2174.275,1,2,,,59,5,5,10,,,,53,6,16,7,,3,4,289,6,4,2,3,,,3,29,,,25,1,,,,,,,7,9,16,,1,,,,,,,13,,,1,4,,6,,2,,,1,,,2,,,,,,,,,,,,,,1,,,,1,,1,,598,4,3,,,6,,,1,,21,8,,23,1,92,42716
128,2387.18,2,,,,60,,5,3,,,,31,,1,2,,1,,200,2,3,1,,,,1,14,5,,27,3,,1,,,,,2,,11,,2,,,,,,,6,,,2,2,,4,,,,,,1,,1,,,,,,,,1,,,,1,,1,,,,,,,1,397,,6,1,,1,,1,,,1,,,2,1,97,42716
136,2528.212,8,,,,138.5,1,13,14,,,,88,,2,3,1,2,2,332,9,2,1,6,1,,3,46,,,38,,,1,,1,,,12,,38,,6,,,,,,,12,,,2,,,8,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,3,795.5,6,7,,,7,,,,2,2,,,3,4,93,42716
146,2716.406,1,1,,,56,11,16,5,,,,36,14,7,8,3,4,2,303,8,4,,,,,3,21,,,23,,,,,1,,,11,11,15,,11,,,,,,,7,,,1,2,,3,,1,,,,,1,1,,,,,,,,,,,,1,,,,,,1,,1,,594,1,3,,,3,,1,1,,20,2,4,12,,72,42716
156,3187.726,1,,,,128.5,,4,12,,1,,38,,9,,1,2,1,371,8,3,1,1,2,,,28,1,,25,1,,1,,,,,11,,24,,1,,,,,,,11,,,,3,,2,,,,,,,,5,,,,,,1,,1,,,,1,,,,,,2,,,,701.5,3,1,1,,4,,1,,,1,1,,4,3,73,42716
166,3747.564,,12,,,22,24,9,8,,,,62,3,,,,,7,152,3,,2,,1,,1,20,,,20,,,2,,,,,7,4,,,1,,,,,,,3,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,1,,,,2,,,,,17,7,1,14,,66,42716
176,4289.364,2,,,,63,2,11,1,,,,41,,4,3,,5,,249,5,,,1,,,3,20,,,12,,,,,,,,6,,10,,2,,,,,,,12,,,4,1,,4,,,,,,,,2,,,1,,,,,,,,,1,,,,,,,,,3,468,2,,,,2,,,,,,,,,,47,42716
186,4840.193,,8,,,23,37,10,3,,,,42,1,,,,,3,132,4,,6,,2,,3,18,,,28,,,1,,,,,5,3,,2,,,,,,,,6,,,3,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,355,1,,,1,3,,,,,15,8,2,11,,80,42716
196,5409.55,2,,,,146.5,2,19,6,,,,50,,7,4,2,1,3,372,12,5,4,3,,,4,19,1,,20,,,,,,,,9,,36,,,,,,,,,13,,,2,3,,6,,,,,,,,7,,,,,,,,1,,,,2,,,,,,1,,2,1,765.5,1,,,,6,,,,,1,,,1,1,75,42716
206,5837.201,,,,,162,11,60,23,,,3,19,,10,16,,,2,201,2,,,,,,4,16,,,15,,,,,1,,,2,13,4,,2,,,,,,,7,,,,2,,4,,1,,,,,,7,,,2,,,,,,,,,1,,2,,1,1,1,,2,1,598,,6,,2,14,,11,4,,40,12,2,16,,173,42716
211,5970.462,,17,,,24,32,19,21,,,,42,3,,,,,7,107,7,,,7,2,,,13,1,,14,1,3,2,,,,,2,6,,8,,,,,,,,5,,,2,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,350,,1,,3,17,,4,2,,8,10,2,6,,141,42716
216,6103.722,,,,,114.5,,17,27,,1,,25,,1,2,1,2,,158,9,1,,4,1,,1,2,,,11,,,2,,,,,5,,6,,,,,,,,,9,,,1,3,,4,,,,,,,,1,,,2,,,,,,,,,2,,,,,,,,2,1,415.5,,2,,,7,,,,,3,,,4,4,117,42716
221,6236.983,,9,,,28,39,28,14,,,,26,,,,,,2,126,6,,3,,,,2,9,,,13,,,1,,,,,,6,,1,,,,,1,,,5,,,1,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,,329,,,1,,13,,7,1,,18,15,1,5,,116,42716
226,6370.243,,,,,159,2,34,21,,,,21,1,9,8,1,,2,230,11,3,,1,,,,8,,,18,1,,,,1,,,7,11,7,,1,,,,,,,6,,,,1,,2,,2,,,,,,1,,,,,,,,1,,,,1,,,,,,2,,1,,574,1,4,,,23,,16,4,,22,6,,16,,137,42716
231,6487.68,,5,,,22,52,10,25,,,,31,1,,2,,,1,132,5,,1,,1,,1,1,,,17,,,,,,,,1,10,,1,1,,,,,,,4,,,,4,,3,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,334,,4,,1,15,,9,1,,16,9,5,10,,79,42716
236,6502.06,,3,,,119,3,25,17,,,,18,2,9,6,,,6,242,12,3,,,1,,,13,,,29,4,,,,1,,,6,8,6,,,,,,,,,16,,,,6,,2,,1,,,,,,3,,,,,,,,,,,2,,,,,,,,,2,1,566,,10,1,1,21,,27,6,,45,3,,9,3,86,42716
