Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Umpawaug,0-1,surface,,,,,-56,-56,-56
,60-61,Euro,,,,,306,306,306
,151-152,sediment,OS-62110   ,1470,30,-29.61,1355,1308,1406
,190-191,sediment,OS-59502   ,1800,25,-29.37,1732,1633,1812
,249-250,sediment,OS-62115   ,2080,35,-29.11,2051,1955,2139
,302-303*,plant macrofossil,OS-59501   ,1220,30,-26.55,1147,1068,1253
,499-500,sediment,OS-62116   ,3380,35,-29.7,3623,3521,3705
,520-521,sediment,OS-113890  ,3590,20,-29.71,3890,3842,3963
,720-721,sediment,OS-113891  ,4920,35,-29.31,5641,5598,5723
,900-901,sediment,OS-113892  ,6250,25,-29.13,7204,7052,7249
,951-952,sediment,OS-62117   ,6600,30,-29.12,7493,7438,7561
,1160-1161,sediment,OS-59678   ,8500,40,-29.05,9505,9457,9537
