Depth (cm),Cal age,Pinus indet,Pinus undiff,Pinus banksiana t.,P. resinosa t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. rubens t.,P. undiff,P. indet.,Abies,Vesciculate conif,Larix,Thuja/Juniperus,Taxus t.,Quercus,Carya,Castanea,Juglans cinera,J. nigra,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus rugosa/incana t.,A. crispa/viridis,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Tilia,Magnolia sp.,Ilex,Clethra,Salix,Populus,Ericaceae,Vitis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Cephalanthus,Platanus,Celtis,Rhamnus,Viburnum,Sambucus,Rhus sp..,Moraceae/Urtica,Poaceae,Artemisia,Ambrosia,Iva sp.,Rumex,Tubuliflorae,Liguliflorae,Secale,Zea mays,Triticum t.,Urtica,Plantago,Cheno Am,Iva ciliata t.,Potentilla t.,Rosaceae undiff,Thalictrum,Fabaceae,Ranunculus sp.,Geranium sp.,Impatiens,Liliaceae,Polygonum persicaria t.,P. aviculare t.,Apiaceae,Fagopyron,Paronychia t.,Cruciferae,Caryophyllaceae,Galium,Cyperaceae,Onagraceae,Oenotheraceae,Hernaria t. ,cf Hypericum,cf. Viola sagittata,Allium t.,Cornus racemosa t.,Ceanothus,Rubus Chamaemorus,Pteridium t.,Dryopteris t.,Osmunda spp.,Gymnocarpium t.,Asplenium t,Athyrium t.,Botrychium sp.,Trilete unk,Lycopodium lucidulum,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Pontederia ,Potamogeton,Brasenia,Sagittaria,Sparganium t.,Typha,Lemna  t.,Pinus stomta,Larix,Cupress stom t.,Tsuga stomata,Unknown conifer stomata,Non conifer ,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,PreQuaternary,Exotic count,Exotic spike
1,-56,3,,,,,,,3,,,,,,,,,1,,21,4,,,,1,20,2,,,2,,4,,,6,1,,,1,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,1,,5,1,,174,42716
10,5.945,11,,,,2,1,3,7,1,1,,,1,,,1,6,,85,15,3,1,,1,57,,5,3,14,,12,,2,6,,1,,,,,3,,3,,,1,,1,3,,,1,,,,,,,18,,23,,5,4,,1,,,1,2,1,,,1,2,,,,,,1,,,,,,,,8,,,,,,,,,,2,7,3,,,,,,,,330,,,3,,1,,,1,,,,,,,,,,1,,1,2,3,,28,4,,170,42716
20,65.438,9,,,,3,,,8,1,,,,1,,,,5,,97,15,4,3,0,4,81,2,6,2,3,0,13,2,1,4,,,1,1,,,4,,1,3,,2,,1,1,1,,1,,,,,2,,26,1,21,,9,1,1,,1,,,1,1,1,,,,,,,,,,,,,1,,,,5,,,,,,,,,,3,7,3,,,,,,,,364,,,2,,,,,,1,,1,,,,,,,,,3,3,3,2,41,4,,161,42716
30,126.487,11,,,,,3,1,8,1,2,,,1,,,,3,,25,9,6,2,,5,22,1,5,,3,,17,,1,5,,,,,,,,,,2,,,,,,,,,,,,,,,30,2,28,,16,6,,3,,,,1,,,,1,,,,,,,,,,,,,,,8,,,,,,,,,,3,22,4,,,,,1,,,258,,,7,,2,,,2,,1,1,,,,,,,,,5,,4,3,14,4,,134,42716
40,186.6605,22,,,2,,,6,18,1,,,,,,,,5,,80,26,13,4,,8,18,3,9,,2,,41,1,3,3,,1,0,,1,,,,,,,,,,5,,,1,,1,,,,,53,,40,,32,7,,13,,2,,1,1,,,,,1,,,,,1,,,,,,,,21,,,,,,,,,,3,42,12,,,,,,,1,504,,,1,,2,1,,2,,,1,,,,,,,,,7,2,1,1,7,29,1,205,42716
50,246.2335,19,,,,3,,4,17,,,,,,,,,3,,99,10,7,3,,13,29,5,6,2,,4,36,,2,1,1,1,,2,,,,,,,,,,3,1,,,3,,,,,,,23,,24,,21,4,,7,,,1,1,,,,,,,,,,,,,1,,,,,,18,,,,,,,,,,5,12,5,,,,,,,1,397,,,3,,,,,,1,,,1,,,,,,1,,5,2,2,5,32,3,,325,42716
60,311.477,12,,1,,6,3,8,10,,,,,,,1,,1,,90,16,4,5,,11,25,2,9,2,3,,25,,1,3,,,,,2,,,,,,,,,1,,,1,1,,,,2,,,8,1,10,,17,1,,4,1,,,,,,,,1,1,,,,,,,,,,,,,17,,,,,,,,,,7,14,4,,,,,,2,,333,,,1,,2,2,,,,,,2,,,,,,,,7,2,3,2,14,2,,169,42716
70,435.786,15,,,,8,2,3,15,,,,,,,2,,3,,129,25,8,,,6,25,1,3,2,4,,27,,,2,,1,1,,,1,,1,,,,1,,,,2,,2,,,1,,1,,3,1,2,,2,3,,,,,,,,,,,1,,,,,,,,,,,,,,27,,,,,,,,,,9,18,6,,,,,1,,,364,,,,,4,,,,,,,3,,,,,,,7,5,1,2,1,21,1,,149,42716
80,545.377,9,,1,1,1,1,6,14,,,,,1,,1,,2,,124,20,9,3,,10,31,3,4,1,4,,51,,,2,1,,,1,,,1,2,,,,,,,,,,1,,,,,1,,3,1,4,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,20,,,,,,,,,,8,22,2,,,,,,,,370,1,,2,,,2,,,1,,1,1,,1,,1,,,,2,1,,1,17,3,,111,42716
90,653.3715,11,,1,,4,1,3,23,1,,,,1,1,,,1,,132,27,5,1,,8,29,6,2,1,3,,31,,1,3,,,,,1,1,,,1,,,,,,,2,,2,,1,,,,,5,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,4,13,10,,,,,,,,346,,,,,3,,,,,,2,,,,,,,,,1,2,2,1,7,2,,137,42716
