Depth (cm),Cal age,Pinus indeterminable,Pinus undiff,Pinus banksiana t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Thuja/Juniperus,Larix,Quercus,Carya,Castanea,Juglans cinera,J. nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Celtis,Clethra,Moraceae,Tilia,Salix,Populus,Ledum/Chamydaphnea, Ericaceae undiff,VItis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Ilex,Platanus,Cephalanathus,Viburnum,Rhamnus,Rhus,Poaceae,Artemisia,Ambrosia,Rumex,Tubuliflorae,Liguliflorae,Plantago,Secale,Zea,Cheno Am,Solanaceae,Urticaceae,Iva ciliata t.,Rosaceae ,Thalictrum,Fabaceae,Brassicaceae,Ranunculaceae,Hydrocotyle t.,Apiaceae,Hypericum t.,Polygonum lapthifoliu t.,Lamiaceae,Cyperaceae,Xyris,Myrtaceae t.,Lonicera,Sisyrinchium,cf Rhexia,Xanthium t.,Acacia/Mimosa t.,Cornus sanquinaria t.,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Lycopodium inundatum T.,Upland sum,Isoetes,Eriocaulon sp.,Equisetum,Sphagnum,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Sagittaria,Sparganium t.,Cupressaceae stomata,Non conifer stomata,Pinus stomata,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
1,-50.62,49,,,,1,2,2,,,,1,,,6,,163,9,,1,,4,17,3,1,,,1,1,,3,,,1,2,5,,2,,,,0,,1,,,2,,,,,,,,,13,,7,3,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,306,304,,,,,,,,,1,,,,,,,3,1,2,,9,1,107,42716
5,-7.384,57,,,8,2,,4,,,,1,,1,1,,160,3,,,,9,14,,2,,1,,2,,,,,,1,1,,1,,,1,0,,,1,,6,,,,1,,,,,22,,14,6,2,,1,1,,,,1,,,1,2,,,,,,,,3,,,,,,1,,,1,,,,,,332,385,,,,,,,,,,,,,,,1,22,1,5,1,11,2,63,42716
10,46.662,20,,,,,,,,,,,,1,,,83,1,,,,4,20,1,1,,,,3,,,,,,,,,1,,,,0,,,,,6,,,1,,,,,1,49,,53,19,7,,18,1,,1,,1,,,,1,,,,,1,,,8,,,1,,,,,,2,1,,1,,,307,771,,,,,,,,,,,,,,,,,,,,,,100,42716
15,100.707,27,,,1,,1,5,,1,,2,,,2,,62,2,3,,,8,14,,1,1,,,3,,,1,,,,1,,1,,,,0,,,,,12,1,1,1,1,,,,,49,,37,34,7,,14,2,,1,,2,,,,,,,,,,2,,1,,,,,,,,,5,4,,,,,310,456,,,,,,,,,,,,,,,,20,3,1,8,,,72,42716
20,154.753,37,,3,7,1,2,6,,,1,3,,2,2,,78,5,3,,,4,22,3,1,2,,3,6,,,3,,,,,2,1,,,,4,,,,,7,3,1,,2,,,,,67,2,25,25,3,,5,2,,,,1,,,,1,,,,,1,,,8,,,,,,,,,6,,7,2,,,369,284,1,,,,,,,,,,,,,,,11,,4,3,21,1,66,42716
25,208.799,39,,1,,2,2,5,,,2,,,,1,,75,5,1,,,4,16,2,1,,1,,,,,,,,,,,,,,,1,,1,,,12,,,,,,,,,34,,6,66,2,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,2,1,1,,,,286,190,,,,,2,,,,1,,,,,,,22,,3,3,5,2,102,42716
30,268.188,40,,,,,1,12,,1,,3,,1,,,124,22,,2,,8,32,,3,,,,4,,2,,,1,1,,,,,1,,3,,,,,9,1,,,,,,,2,2,2,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,282,250,,,,,,,,,,,,,,,,,,,,,,130,42716
35,403.206,39,,,5,2,1,4,,,,1,,1,,1,134,11,,,,20,24,1,1,,,,6,,,2,,,,,,,,,,1,,,,,18,1,1,,,1,,,,10,,2,6,3,,,,,,,1,,,,1,,,,,,4,,2,,,,,,,,,2,2,2,,,,310,312,,,,,,,,,,,,,,,,19,,5,2,3,1,78,42716
40,537.844,42,,,2,2,,20,,1,1,1,,2,1,,148,13,5,1,,13,33,2,2,,,1,,,,1,,1,1,,,1,,1,,2,,,,,23,3,2,,,,,,,12,1,2,1,3,,2,,,,,1,,1,,,,,,,1,,,3,,,,,,,,,1,1,3,,,,357,717,,,,,,,,,,,,,,,,10,2,6,4,,2,79,42716
50,807.12,36,,,1,2,,10,,,,,,,4,,181,15,2,,,9,21,3,1,1,5,,1,1,1,1,,,1,,,1,,1,,0,,1,1,,17,3,,,2,,,,,2,2,,,2,,,,,,,,,,,,,,,,,,,7,,,,,,,,,1,,,,,,336,491,,,,,,,1,1,,1,,,,,,9,,3,1,15,3,57,42716
