Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Ware,0-1,surface,,,,,-64,-64,-64
,170-171,Euro,,,,,225,225,225
,170-171*,sediment,OS-113786  ,520,25,-28.94,533,513,619
,250-251,sediment,OS-113787  ,1170,20,-30.53,1106,1007,1172
,370-371,sediment,OS-113788  ,2410,20,-29.46,2417,2359,2661
,470-471,sediment,OS-113789  ,3660,25,-30.96,3982,3906,4077
,580-581,sediment,OS-113790  ,4690,20,-29.29,5383,5328,5564
,640-641,sediment,OS-113791  ,5740,25,-30.77,6534,6459,6627
,720-721,sediment,OS-113792  ,7180,30,-30.83,7989,7952,8040
,800-801,sediment,OS-113793  ,8200,30,-29.26,9159,9036,9268
,890-891,sediment,OS-113794  ,10350,45,-29.76,12210,12007,12389
