Depth (cm),Cal age,Cupressaceae,Picea,Abies,Larix,Pinus Undiff.,Pinus Haplox ,Pinus Diplox,Tsuga,Taxus,Populus,Salix,Betula,Betula-small,Betulacee,Ostrya/carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica/Comptonia,Rhamnus/Vitis,Ericaceae,Viburnum,Hamamelis,Cornus,Cephalanthus,Clethra,Poaceae,Zea,Artemisia,Ambrosia,Urtica,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Roseaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Sarracenia,Lythrum,Brassicaceae,Dennstaeditia,Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. Clavatum,Lycopodium,Osmunda,Woodsia,Monolete spore,Trilete spore,Upland sum,Equisetum,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Pediastrum,Indet.Crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic count,Exotic spike
0,-64,,,,3,12,5,1,4,,,2,14,,,1,,,3,31,4,5,1,,,1,,4,1,,1,,,,,,,,2,,1,,,,,,,,13,,,6,,3,,1,,,6,,,,,,,,,,,2,,,,2,,,,,,,,,,11,,140,5,,,1,1,4,,,,13,5,,,4,3,271,83393
10,-45.554,,2,,3,20,17,,16,,,6,37,,,4,,,2,53,8,2,,,1,1,1,14,,,11,,,,,,,,5,,,,1,,,,2,,44,,,10,,2,,3,,,14,2,,,,,,,,,,,,,2,2,,1,,,,,,,,13,,299,3,,,1,4,2,,,,17,5,,,4,1,460,83393
20,-26.788,,2,,3,10,17,,13,,,1,43,,,1,,,1,75,3,5,1,1,,,1,8,,,11,,,,,,,,6,,2,,4,,,1,,,26,,,24,,5,,2,,2,16,,,,,,,,,,,,,,2,4,,,,,,,,1,,10,,301,,,1,1,3,3,,,,7,1,,,5,,288,83393
30,-8.022,,4,,6,16,24,,23,,,,31,,,2,,,2,67,8,2,3,2,1,,,11,1,,,2,,,,,,,5,,1,,,,,,,,33,,,18,,2,,1,,,11,,2,,,,,,,,,,,,2,1,,,,,,,,,,17,,298,1,,,1,2,4,,,,15,1,,,5,2,206,83393
40,10.744,,,,,16,8,,13,,,1,37,,,1,,,1,49,5,4,,3,,,1,11,,,10,2,,,,,,,10,,,,2,,,,,,56,,,21,,4,,1,,,13,,,,,,,,,,,,,,,2,,3,,,,,,,,21,,295,4,,,,,1,,,,8,4,,,5,2,270,83393
50,29.51,,4,,5,12,23,,13,,,2,20,,,3,,,,50,8,2,6,,,,1,19,,,7,,,,,,,,12,,4,,4,,,,,,53,,,24,,4,,2,,,10,,3,,,,1,,,,,,,,,2,2,1,,,,,,,,16,,313,,,,1,2,3,,,,14,4,,,3,1,193,83393
60,48.276,,,,5,12,13,,20,,,4,35,,,3,,,,63,9,,1,,,,,12,,,8,,,,,,,,5,,2,,2,,,,,,43,,,30,,1,,,,,6,,,,,2,,,,,,,,,,,,2,,,,,,4,,10,,292,,,2,1,,,,,,6,4,,,7,,186,83393
70,67.042,,1,,3,9,8,,14,,,1,38,,,2,,,2,51,10,4,,1,,,,6,,,6,2,,,,,,,9,,1,,1,,,,,,38,,,43,,7,,,1,,10,,,,,,1,,,,,,,,,1,,3,,,,,,1,,14,,288,,,,,3,4,,,,7,6,,,6,,227,83393
75,76.425,3,4,,,39.5,4,1,16,,,2,36,,,1,1,1,,89,6,,4,,1,,,18,,,6,1,,,,,,,6,1,2,,3,,,,,,61,,,41,,6,,,,,14,,,8,,,,,,,,,,,,,,3,,,,,,6,,16,1,401.5,,,4,3,,3,,,,21,4,,,6,6,343,83393
80,85.808,,3,,3,8,20,,13,,,1,31,,,4,,,,43,2,,2,2,,,,9,,,9,4,,,,2,,,6,,,,3,,,,,,78,,,29,,9,,1,,,9,,,,,,,,,,,,,2,,,,1,,,,,,2,,25,,321,,,,,1,1,,,,10,3,,,7,1,134,83393
85,95.192,,6,,2,10,13,,9,,,,27,,,2,,,,64,2,2,2,,,2,,15,,,9,1,,,,,,,6,,1,,1,,,,,,64,,,24,,5,,2,,,6,,2,,,,,,,,,,,,,,,1,2,,,,,2,,26,,308,,,,1,,,,,,13,,,,4,1,191,83393
90,104.575,,1,,4,12,17,,20,,,,26,,,4,,,2,61,2,,,,,,,15,,,5,,,,,,,,10,,,,9,,,,,,49,,,24,,6,,1,2,,7,,,,,,,,,,,,,,,2,,1,,,,,,2,,26,,308,,,3,,,1,,,,2,2,,,5,1,136,83393
100,123.341,,9,,2,17,16,,13,,,,19,,,1,,,3,74,3,,,,,1,,13,,,4,4,,,,,,,8,,,,5,,,,,,46,,,13,,3,,1,,,7,,,,,,,,,,,,,,,2,,2,,,,,,5,,40,,311,,,,,1,,,,,1,3,1,,5,1,173,83393
110,142.107,,6,,2,23,17,2,19,,,,20,,,3,,,3,64,4,,,,2,,1,10,,,10,2,,,,,,,4,,3,,6,,,,,,45,,,16,,3,,1,,,11,,,,,,,,,,,,,,,,2,3,,,,,,1,,38,,321,,,,,1,1,,,,,2,,,3,1,187,83393
120,160.873,,7,,,10,19,2,15,,,,21,,,2,,,1,88,,2,,,,,,16,,,11,,,,,3,,,2,,,,4,,,,,,33,,,10,,,,1,,,16,,,,,,,,,,,,,,,,,,,,,,,4,,39,,306,,,,,2,1,,,,1,2,,,1,1,136,83393
130,179.639,,5,,,15,10,,15,,,1,24,,,5,,,1,53,6,,,,,,1,13,,,7,1,,,,,,,12,,2,,,,,,,,50,,,13,,4,,,,,29,,,,,,2,,,,,1,,,,2,,2,,,,,,,,26,,300,,,,,1,,,,,,2,,,,2,155,83393
140,198.405,,10,,2,15,15,,17,,,,25,,,2,,,4,82,1,1,,,,,,13,,,12,1,,,,,,,9,,1,,3,,,,,,30,,,10,,2,,1,,,18,,,,,,,,,,,,,,,1,,2,,,,,,6,,30,,313,,,,1,2,1,,,,1,3,,,5,1,180,83393
