Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
West Side,0-1,surface,,,,,-64,-64,-64
,50-51,Euro,,,,,211,211,211
,150-151,sediment,OS-120472  ,1720,15,-28.58,1623,1570,1691
,200-201,sediment,OS-120473  ,2060,20,-28.93,2026,1955,2107
,380-381,sediment,OS-120474  ,3450,20,-29.47,3704,3645,3818
,520-521,sediment,OS-120475  ,4240,20,-29.23,4835,4724,4849
,620-621,sediment,OS-120565  ,4850,25,-29.31,5595,5492,5640
,690-691,sediment,OS-120566  ,5530,25,-29,6317,6289,6393
,830-831,sediment,OS-120617  ,7320,25,-29.28,8110,8038,8179
,890-891,sediment,OS-120618  ,8340,25,-30.58,9364,9291,9444
,970-971,sediment,OS-120619  ,9100,25,-29.58,10241,10217,10277
,1020-1021,sediment,OS-120620  ,9850,30,-29.36,11243,11211,11309
,1070-1071,sediment,OS-120621  ,13150,40,-30.79,15799,15623,15988
