Depth (cm),Cal age,,Pinus indeterminable,Pinus banksiana t.,Pinus diplox,P.resinosa/rig,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Larix,Thuja/Juniperus,Quercus,Castanea,Carya,Juglans cinera t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Tilia americana,Nyssa,Liquidambar,Salix,Populus,Liriodendron type,Ericaceae,VItis,Myrica,Corylus,Corylaceae,Cornus stolon t.,Ilex,Platanus,Cephalanathus,Viburnum,Sambucus t.,Poaceae,Artemisia,Ambrosia t.,Rumex,Asteraceae,Plantago,Secale,Triticum t.,Cheno Am,Urticaceae,Thalictrum,Rosaceae ,Fabaceae,Liliaceae,Hypericum t.,Ranunculaceae,Cyperaceae,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Lycopodium lucidum t.,Juglans nigra,Apiaceae,Malvaceae,cf. Osmanthus,Rhus,Upland sum,Isoetes,Equisetum,Sphagnum,Sellaginella,Lycopod-cor/SA,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Pontederia t.,Sparganium t.,Utricularia,Hippuris t.,Sagittaria,cf.Hippuris,Tsuga stom t.,Cupressaceae stomata,Pinus stomate t.,Picea mariana t stom,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
1,-58.386,,21,1,1,,,10,1,1,2,,,,,2,37,1,14,1,1,51,4,,,3,1,8,,1,,,2,,,,,,,,,4,1,1,,,1,,,,3,1,6,,1,,,2,1,1,,,,,,1,5,,3,,,,,,,,,,194,,1,,,1,,,,,,1,,,,,,,,,,,1,10,,1,1,9,1,214,83393
24,67.756,,33,1,,,2,21,,1,1,,,1,,4,54,1,7,3,4,42,4,,,1,,9,,1,1,1,4,,,,2,,,1,1,7,,,,1,,,,,42,1,41,20,4,1,2,1,1,,,,1,,,1,6,1,4,6,1,1,,,,,,,342,1,2,,,1,,,1,,,,,,,,,,,,,,,22,4,,,6,3,224,83393
48,199.381,,20,,1,,7,32,,,,,,1,,3,92,10,17,7,21,45,8,4,,,2,13,,2,1,,1,,,,,5,,,,4,2,,,,,2,,,1,,1,2,,,,,,2,3,,1,,,,6,1,9,1,1,,,,,,,,328,,,,,3,,,,,1,,,,,,,,,,,,,15,2,,,6,3,106,83393
60,346.33,,24,,2,1,7,33,,,,,,1,,5,131,7,23,5,28,47,4,6,,4,1,15,1,1,,,1,1,,,,2,,,,8,,,,3,,1,,,4,,1,,,,,,,,,,,,,,3,2,8,,1,,,,,,,,381,,,,,4,,,,,,,,,,,,,,1,,,,17,,2,1,5,3,128,83393
72,512.39,,16,,1,3,9,27,1,,2,,,,,3,81,8,14,5,22,44,12,6,2,7,,25,,10,,,,1,,,,,,,,4,1,,,,,,,,4,,2,,2,,,,,,2,,,,,,4,3,8,,,,,,,,,,329,,,,,,,,,,,,1,,,,,,,,,,,11,2,,1,1,2,107,83393
96,844.51,,17,,,3,7,47,,,,1,,,,7,110,6,21,4,26,53,8,6,,,2,13,,1,1,,2,,,,,3,,,2,1,,,1,,,,,,1,,,2,,,,,1,,,,,,,,10,5,7,3,,,2,,,,,,373,,,,,2,,,1,,,,,,,,,,,,,,,10,4,,4,6,,85,83393
120,1176.63,,23,1,,,6,30,,,2,1,,,,3,77,13,16,1,27,64,7,2,4,6,4,24,,6,,,1,,,,,1,,,,1,,,,,,,,,4,2,1,1,,,,,,,3,,,1,,,7,3,6,,,,,,,,,,348,,,,,,,,1,,,,,,,,,,,,,,,8,3,,,2,1,93,83393
144,1508.75,,18,1,,,4,26,,,,3,,1,,2,130,12,22,5,17,44,4,7,1,5,2,15,,4,,,,,1,,,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,9,1,3,2,,,,,,,,,343,1,,,,2,,,,,,,,,,,,,,,,,,5,4,1,2,4,,80,83393
168,1752.338,,19,2,,,3,32,,1,,1,1,,,4,109,14,7,4,17,58,2,2,1,5,1,14,,6,,,,2,1,,,,,,,1,,,,,1,,,,3,,,,2,,,,,,1,,,,,,5,3,3,2,1,,,,,,,,328,,,,,2,,,,,,,,1,,,,,,2,,,,1,1,,1,,7,67,83393
192,1969.192,,23,,,2,3,33,,,,,,,,2,106,7,26,2,33,47,5,11,,2,,12,,4,,,1,2,,1,,1,1,,1,2,1,,,1,,2,,,,,,,1,,,,,,,,,1,,,3,6,7,5,1,,,,,,,,355,,,,,2,,,1,,,,,,,,,,,,,,,12,1,3,,4,4,88,83393
216,2183.788,,19,1,2,,1,33,,,,1,,1,,7,79,17,22,1,22,46,6,1,1,4,1,18,,5,,,,,,,1,1,4,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,1,6,,5,,,,,,,,,,310,,,,,,,,1,,,1,,,,,,,,1,,,,8,5,,,4,2,67,83393
240,2397.327,,26,6,,,13,41,,,,1,,1,,4,98,8,18,1,38,43,8,2,1,7,3,29,,7,2,,2,1,,,,,2,2,,2,,,,,,,1,,1,1,,,,,,,,,,,,,,,6,3,7,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83393
264,2610.899,,27,,1,1,3,26,,1,1,,,,,5,88,5,21,4,37,39,4,7,2,4,2,10,,2,,,1,,1,,,2,1,,,1,,,,,1,,,,1,,1,,1,,,,,,1,,,,,,3,1,3,2,1,,2,,,,,,313,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,4,2,94,83393
288,2824.405,,15,1,,,6,27,,,1,1,1,1,,,85,7,22,1,49,42,7,5,2,9,,27,,3,,,,2,1,,1,1,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,5,1,4,1,,,,,,,,,332,,1,,,,,,1,,,1,,,,,,,,,,,,8,,2,1,6,1,83,83393
312,3037.944,,30,,,,6,13,,,,1,,1,,,74,6,20,2,58,42,3,6,,5,1,27,1,6,1,,2,1,,,,,1,,1,1,,,,,,,,,2,,,1,1,,,,,,1,,,,,,7,,5,1,1,1,,,,,,,329,1,4,,,,,,,,,,,,,,,,,,,,,14,1,1,,6,,104,83393
336,3251.483,,26,1,1,,4,16,,1,,,,,,7,116,1,18,,30,26,10,5,,5,1,18,,6,,,,1,,,1,,2,,1,1,3,,,1,,,,,,,,,2,,,,,,2,,,,,,5,2,2,1,,,,,,,,,316,,7,,,,,,,,1,1,,1,,1,,,,,,,,11,2,,4,6,5,85,83393
360,3465.022,,13,,1,,10,9,,,,,,,,3,99,4,10,1,50,34,7,5,,5,3,16,,1,1,,2,1,,,,3,3,,,1,1,,,,,3,,,,,1,,,,,,,,,,,,,,9,5,3,5,,,,,,,,,309,2,,,1,19,,,,1,,,3,,,,,,,,,,,2,9,1,11,7,4,87,83393
384,3678.974,,23,2,,,2,19,,1,,1,,,,,200,1,29,3,56,24,16,10,3,3,1,25,,4,,,4,1,,1,,,,,,1,,,,,,,1,,3,,,,,,,,,,,,,,,,5,,1,,,1,,,,,,,441,,,,,,,,1,,,,,,,,,,,,,,,18,1,2,2,8,2,97,83393
408,3868.945,,17,,,,5,4,,,,,,1,,4,151,2,12,3,17,23,7,12,3,9,2,21,,3,,,3,1,,,,1,3,,,2,2,1,,,2,2,,,1,,,,,,,,1,,1,1,,,,,6,2,1,,,,,,,,,,326,,2,,,,,,,,,,,,,,1,,,,,,,12,1,,2,7,4,110,83393
432,4040.618,,19,,,1,1,4,,,,,,,,2,143,1,23,3,11,26,11,8,1,5,,25,,6,2,,,1,1,,,,,,,1,,1,,1,1,,,,1,,,,1,2,,,,,1,,,,,,7,1,3,2,1,,,,,,,,317,,,,,,,,,,,1,,,,,,,1,,,,,19,,,,5,4,85,83393
