Depth,Pinus,Pinus halfs,Pinus Strobus,Picea,Picea halfs,Tsuga,Cuppressaceae,Quercus,Betula,Fagus,Ulmus,Castanea,Populus,Acer sacc,Ostrya/Carpinus,Platanus,AP,Rumex,Graminae,Ambrosia,Carya,Fraxinus,Juglans cinerea,Acer rubrum,Corylus,Viburnum,Salix,Vitis,Alnus,Cyperaceae,Thalictrum,Larix,Ilex,Tilia,Acer Pennsylvanicum,Ericaceae,Plantage Lancelata,Abies,Abies half,Liquidambar,Compositae,Sanguisorba canadensis,Acer spicatum,Arceothobium,Myrica ,Clethra,Urtica,Plantago lanceolata,Plantago majore,Rebus,Artemisia,Comp,Rosaceae,Chenopodium am,Potentilla ,umbelliferae,Zea,Sambucus,Humulus,Juglans nigra,Taxus
0-0.5,5,11,22,10,3,12,1,13,97,15,6,,,7,3,,205,1,8,10,,1,,,,,,,9,1,1,,,,,,,3,,,,,3,,2,1,1,1,1,,,,,,,,,,,,
2.0-2.5,14,7,19,7,7,16,6,20,99,36,1,,,9,6,,255,2,8,21,,7,,1,,,1,1,3,4,,,,,5,,,1,,,,,,,,,,2,,1,1,1,1,,,,,,,,
4.0-4.5,5,5,2,10,5,12,2,15,75,16,3,1,,5,2,,166,2,3,14,1,6,,,,,,,3,,,,1,1,3,,,1,,,,,,,,2,,1,,,,1,,2,2,1,,,,,
6.5-7,8,11,3,11,6,16,2,8,63,16,1,,1,1,1,1,147,,6,11,,2,,,1,,,,1,,,,,,1,,,1,1,,1,,,,,,,,,,,,,1,,,3,,,,
8.0-8.5,16,8,2,15,5,14,,13,79,21,3,1,1,4,1,2,172,2,9,18,2,2,1,3,,,,,,,,,,2,1,,,3,,1,,,,,,,,,,,,,,,,,,,,,
11.0-11.5,13,8,9,23,8,10,1,16,47,15,4,1,1,4,2,,181,3,6,20,2,,,,1,,1,,6,,,,,,1,,,4,,,,,,,,,,,,,,4,,,,,,1,,,
13.0-13.5,4,13,8,14,4,10,3,11,66,13,2,1,,1,2,1,154,,4,13,3,,1,1,,1,1,,4,,,1,1,,1,1,,2,,,,,,,,,1,,,,1,,,,,,,,,,
15.0-15.5,7,10,1,18,10,12,3,11,84,15,3,,,3,4,,179,4,11,16,1,4,,1,,,,,7,,,1,,,,,,1,,,,,,,4,,,,,,,1,,1,,,1,,,,
17.0-17.5,17,10,8,34,7,23,1,18,70,18,7,1,1,7,3,,228,1,9,8,3,6,1,,,,,,5,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
18.0-18.5,5,7,12,20,3,15,6,11,120,30,3,,1,4,2,,247,5,4,12,,5,1,,,,1,,3,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,1,,
19.0-19.5,16,5,9,33,11,22,1,8,52,15,2,1,2,3,2,1,194,1,9,10,,10,,2,,,,,1,2,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,
20.0-20.5,24,14,23,43,10,37,7,26,133,45,9,,,7,,4,379,6,12,9,1,5,,1,,,,,5,,2,,1,,,,,2,,,,,,,,,,,,,1,,,2,,,1,,,,
21.0-21.5,14,5,15,30,7,21,,13,95,28,3,,,5,,1,249,5,3,5,2,2,,,,,1,,5,2,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
22.0-22.5,14,12,28,32,7,29,2,24,109,31,8,1,,10,,3,317,2,3,5,,6,,,,1,,,6,,1,2,,,,,,3,,,1,,1,,,,1,,,,1,,,,,,,,,,
23.0-23.5,11,6,19,35,6,42,1,10,73,25,5,,,6,2,,243,,1,,1,2,,1,,,,,5,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
24.0-24.5,8,6,15,35,9,24,1,18,77,33,6,,,5,2,,243,3,1,1,1,2,1,2,,,1,,7,1,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,
25.0-25.5,8,12,27,33,7,43,5,22,167,38,5,1,2,9,1,,383,2,,3,1,9,,,,,1,,7,1,,1,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
27.0-27.5,10,9,8,22,7,15,1,15,82,19,4,,1,7,2,1,205,1,3,1,,7,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0-29.l5,15,10,16,23,10,23,5,11,85,24,5,,,9,1,,236,1,2,1,,7,,,,,,,8,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
31-32,9,4,4,11,,16,5,9,68,16,3,,,2,2,1,152,,,,,2,1,,,,,,5,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
34.0-35.0,5,8,16,17,12,24,4,24,116,24,3,,1,2,4,,264,,,,1,12,,1,1,1,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
