corrected depth,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Rhus,Other shrubs,Sum AP,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Iridaceae,Other herbs,Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Utricularia,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),Tree pollen,trees and shrubs,herbs,ferns,aquatics,indeterminable,upland pollen sum,pollen sum + aquatics,total pollen sum
0,4,4,0,0,104,19,6,79,18,0,0,1,113,0,0,3,5,7,0,209,3,5,0,0,0,4,1,10,0,1,16,2,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,627,3,0,1,18,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,120,614,523,28,1,19,3,552,571,574
4,4,2,0,1,111,23,9,79,15,0,3,4,95,0,0,9,3,3,0,214,2,1,5,0,0,1,0,9,0,0,31,8,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,638,11,0,3,28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,407,632,527,44,4,20,5,575,595,600
8,2,2,0,1,102,23,6,73,13,0,1,0,101,0,0,8,7,4,0,224,6,1,2,0,0,0,1,9,0,0,15,6,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,615,16,0,0,25,0,2,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,9,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,2,0,141,607,513,50,8,19,8,571,590,598
12,4,4,0,0,77,30,4,43,15,0,1,2,123,0,0,17,9,5,0,218,10,3,6,0,0,1,0,6,0,1,15,5,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,611,18,0,0,36,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,14,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,161,599,534,59,4,19,5,597,616,621
16,7,6,1,0,87,21,11,55,23,0,2,2,132,0,0,8,4,5,0,191,15,2,4,0,1,2,0,14,0,0,20,5,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,625,29,0,1,34,1,3,0,0,0,0,7,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,129,618,538,80,1,49,4,619,668,672
20,3,3,0,0,78,19,6,53,19,0,2,2,135,0,0,8,4,6,0,220,3,2,0,0,1,4,0,7,0,0,11,9,0,0,0,0,0,4,0,0,0,1,1,0,1,0,0,5,0,0,0,0,0,607,15,0,0,23,0,1,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,77,595,529,49,5,15,8,583,598,606
24,2,2,0,0,80,29,3,48,25,0,1,0,136,0,0,13,3,5,0,189,5,3,5,0,0,0,0,16,0,1,14,6,0,0,0,0,0,1,0,0,0,3,2,1,5,0,0,2,0,0,0,0,0,600,28,1,0,31,0,2,0,1,0,1,9,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,0,0,0,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,194,586,520,79,1,20,4,600,620,624
28,5,8,0,0,86,17,8,61,17,0,3,1,126,0,0,6,13,4,0,213,4,2,0,0,0,1,0,14,0,0,18,12,0,0,0,0,0,2,0,0,0,2,0,1,3,0,0,3,0,0,0,0,0,630,14,0,0,37,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,12,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,209,619,544,60,5,16,5,609,625,630
32,6,6,0,0,99,25,4,70,25,0,5,0,115,0,0,6,10,5,0,168,11,3,0,0,0,3,1,11,2,0,19,11,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,616,24,0,1,54,2,0,0,2,0,0,14,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,17,8,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,355,605,517,101,4,31,2,622,653,655
36,0,3,0,0,103,23,7,73,18,0,1,0,113,0,0,6,9,1,0,207,9,2,1,1,1,0,0,15,0,0,27,5,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,632,20,0,0,32,0,1,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,28,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,447,625,529,70,7,31,3,606,637,640
