depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,total Pinus,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Other shrubs,Sum AP,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Lamiaceae,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),C:P,Exotic (charcoal)
0,2,2,0,2,11,26,24,61,62,0,0,7,168,0,0,6,7,15,0,117,15,0,5,1,0,3,0,7,0,0,10,0,1,0,0,0,0,8,0,0,0,0,0,2,3,0,0,1,0,0,0,0,505,15,0,6,9,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,2,0,0,1,6,1,1,0,1,0,0,1,1,0,0,1,2,0,1,0,2,3,0,8,0,0,700,0.0 ,0
4,14,3,0,0,11,26,25,62,61,0,2,5,162,0,0,16,6,15,0,102,6,7,0,1,0,0,1,8,7,0,26,2,5,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,2,0,521,29,0,1,19,0,2,0,1,0,0,2,2,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,6,0,0,0,1,14,0,0,0,3,2,0,0,0,1,0,2,0,0,0,0,4,6,0,2,3,0,535,180.2 ,0
8,13,2,0,15,6,14,27,47,41,0,7,4,156,0,0,15,5,18,0,115,7,5,4,3,4,2,1,3,1,0,14,2,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,504,78,0,2,42,4,3,0,0,0,0,0,4,1,5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,11,0,1,0,0,0,3,0,0,1,3,14,0,2,0,0,1,0,1,0,0,0,2,3,0,0,0,1,7,0,5,4,1,243,75.3 ,0
12,9,1,0,1,5,26,26,57,82,0,7,7,150,0,0,7,5,9,0,95,9,3,2,0,2,2,1,11,1,0,21,5,12,0,0,0,0,17,0,0,0,9,0,0,1,0,0,2,0,0,0,0,528,79,0,1,39,0,3,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,4,2,0,0,12,20,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,2,1,0,6,3,0,101,53.3 ,0
16,6,2,0,5,4,13,36,53,70,0,2,4,117,0,0,13,4,17,0,117,10,3,4,2,4,0,6,3,3,0,26,1,2,0,0,0,0,27,0,0,0,1,0,0,2,0,0,3,0,0,1,0,508,65,0,6,44,0,1,0,1,0,0,0,0,1,8,0,2,1,0,0,0,5,0,0,1,1,0,0,0,0,0,8,0,1,0,0,1,2,0,0,1,6,6,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,8,1,0,265,66.6 ,0
20,4,4,1,3,9,23,26,58,85,0,1,3,129,0,0,6,6,10,0,100,6,7,0,0,0,3,2,8,1,0,38,3,7,0,0,0,0,13,0,0,0,6,0,0,0,0,0,3,0,0,0,0,507,54,0,3,27,0,3,0,1,0,0,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,1,0,0,5,12,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,1,0,9,2,1,161,16.6 ,0
24,3,4,0, ,3,30,39,72,121,0,1,5,109,0,0,4,2,13,0,99,9,0,4,1,0,1,1,7,0,0,31,3,7,0,1,0,0,18,0,0,0,2,0,1,3,0,0,0,0,0,0,0,522,56,1,9,24,2,3,0,1,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5,0,1,0,0,0,4,0,0,1,4,7,0,0,0,0,0,1,2,0,0,0,1,4,0,0,1,1,2,0,5,0,0,242,28.5 ,0
28,8,6,1,2,11,24,30,65,115,0,0,1,122,0,0,7,5,9,0,91,6,6,0,0,1,3,0,17,2,0,28,4,7,0,0,0,0,9,0,0,0,4,0,0,2,0,0,0,0,0,0,0,521,42,0,2,14,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,15,9,0,0,0,0,0,1,0,0,2,0,4,1,0,0,0,2,2,0,0,1,0,199,41.7 ,0
32,3,4,0,5,10,22,28,60,126,0,1,2,127,0,0,12,1,10,0,106,6,1,2,2,0,1,1,4,0,0,14,3,16,0,1,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,516,23,0,9,15,1,0,0,0,0,0,12,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,3,0,0,0,4,5,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,2,2,0,5,1,0,292,18.5 ,0
36,4,11,1,1,6,26,27,59,102,0,2,0,123,0,0,10,6,10,0,97,2,11,0,0,1,0,1,19,3,1,35,5,11,0,0,0,0,5,0,0,0,0,0,0,4,0,0,1,0,0,0,0,525,27,0,0,17,1,0,0,0,0,0,7,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,12,4,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,3,1,0,4,1,0,145,28.2 ,0
