Sample ID,Depth m,depth cm,Picea,Abies,Larix,Cuppressaceae,Salix,Populus,Pinus Diploxylon,Pinus Undiff,Pinus strobus,Betula,Tsuga,Quercus,Carya,Ostrya-Carpinus,Juglans Cinerea,Juglans Nigra,Corylus,Fraxinus(3),Fraxinus(4),Ulmus,Acer Rubrum,Acer Saccharum,Acer Pennsylvaniucm,Acer Spiccatum,Platanus,Castanea,Tilia,cf Sorbus,Alnus,Taxus,Ericaceae,Myrica,Viburnum,Ribes,Sambucus,Graminae,Compositae (Tubiflorae),Cyperaceae,Artemisia,Ambrosia,Thalictrum,cf veratrum,Ranunculus,Geranium,Xanthium,Chenopopdium Americanum,Urtica,Arenaria-type,Liguliflorae,Osmunda,Botrychium,Lycopodium Annotinum,Lycopodium Clavatum,Lycopodsium Complanatum,Lycopodium Inundatum,Lycopodium Lucidulum,Lycopodium Obscurum,Lycopodium Selago,Selaginella,Equisetrum,cf  Brasenia,Isoetes,Nuphar,Potamogeton,typha-latifolia,Typha-sparganium,Botryococcus,PediastrumAraneosum ,Pediastrum Boryanum,Pediastrum Integrum,Sphagnum,unknown,unidentifiable
79-10-0,0,0,19,16,0,0,0,0,2,30,2,105,12,18,1,1,0,0,0,1,1,4,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0,3,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,5,0,0,0,1,0,0,0,0,8,3,5
79-10-5,0.05,5,8,11,0,0,0,0,0,15,2,70,3,4,1,3,0,0,6,0,0,5,1,2,0,0,0,1,0,0,16,0,0,0,0,0,0,4,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,6,0,0,0,1,0,0,0,0,6,2,2
79-10-10,0.1,10,12,10,1,0,0,0,1,26,1,107,9,10,0,2,0,0,2,1,0,4,0,2,1,0,0,0,2,0,11,0,1,0,0,0,0,2,4,1,0,4,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,1,9
79-10-15,0.15,15,10,7,0,0,0,0,0,20,2,70,6,12,2,5,0,0,10,0,0,3,0,3,0,0,1,2,1,0,3,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,0,0,0,21,0,0,0,2,0,0,0,0,14,0,6
79-10-20,0.2,20,8,12,0,0,0,0,1,24,3,71,8,20,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,11,0,0,1,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,13,0,0,0,0,0,1,0,0,3,2,2
79-10-25,0.25,25,6,12,0,0,0,0,0,31,2,79,11,13,3,1,0,0,1,0,0,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,16
79-10-30,0.3,30,5,11,0,0,0,0,4,18,2,100,8,8,0,2,0,0,0,1,3,3,0,4,0,0,0,1,1,0,9,0,0,0,0,0,0,3,10,4,1,2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,5,7
79-10-35,0.35,35,5,12,0,0,0,0,3,36,7,74,18,16,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,5,3,0,0,1,0,1,1,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,13,2,6
79-10-40,0.4,40,6,11,0,0,0,0,0,34,5,86,11,13,1,1,0,0,4,0,0,2,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,4,13
79-11-3,0.73,73,3,11,1,0,0,0,1,30,7,94,8,16,1,3,0,0,0,1,0,3,0,6,0,0,1,0,0,0,9,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,12,1,0,0,0,0,0,0,0,6,3,3
