Sample #,Depth (m),Depth (cm),Picea,Abies,Larix,Cupressaceae,Salix,Populus,Pinus dipl,Pinus uni,pinus strobus,pinus banksiana,Pinus resinosa,Betula,Tsuga,Fagus,Quercus,Carya,Ostrya-carpinus,Juglans Cinerea,Juglans nigra,Fraxinus nigra,Fraxinus americana,Ulmus,Acer rubrum,acer saccharum,acer pennsylvanica,acer spicatum,Platanus,castanea,tilia,Pyrus-Type,Corylus,Morus,Liquidambar,Celtis,Alnus,Ericaceae,Myrica,Viburnum,Sambucus,Ilex,Taxus,Ephedra Nevandensis-type,Euonymus,Empetrum,Salix cf herbacea,Graminae,Cyperaceae,Rumex,Ambrosia,Artemisia,iva ciliata,Xanthium,Chenopodium americanum,Tubiliflorae,Arenaria,Rosaceae,Cerastium-type,Dianthus-type,Silene-type,Stellaria-type,Thalictrum Ranunculus,Geranium ,Urtica,Plantago cf Lan celata,Humulus ,Labiatae,vf Lycopus,Sarcobatus,Epilobium,Tofieldia,Cornus,Cruciferae,Sarracenia,cf S scrofulariaceae,Potentilla,Saxifraga oppositifoliae-type,cf Diapensia,Filicales ,Dryopteris spinulosa,Filicales 3,Osmunda cinnamomea,osmunda regalis,Botrychium cf lanceolatum,Lycopodium Annotinum,Lycopodium clavatum,Lycopodium Complanatum,Lycopodium inundatum,Lycopodium lucidulum,Lycopodium selago,Pteridum ,Polypodium,equisetrum,Isoetes,Nupher,Pot,Typha-Latiofolia,Typha-sp,Sphagnum,Botryococcae,Pediastrum araneosoma? ,Pediastrum boryanum,Eriocaulon,Sagitaria,Peridinium,Nymphaeae,Myriophillum,cf ,Rhabdocoela,Unknown,unindentifiable
79-1-9,0.05-0.06,005-006,14,7,0,1,0,0,0,16,2,0,0,102,5,12,9,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,4,0,0,0,11,0,0,1,0,0,0,0,0,0,0,2,3,0,6,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0
79-1-10,0.10-0.11,0010-0011,46,25,1,0,1,0,4,56,5,0,0,257,16,26,21,1,5,1,0,1,0,5,0,1,0,1,1,0,2,0,8,0,0,0,13,1,1,2,0,2,0,0,0,0,0,5,1,1,15,3,0,0,0,12,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,148,0,2,0,0,0,1,2,0,0,21,0,0,0,0,3,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,10,35
79-1-25,0.25-0.26,25-26,21,14,0,0,0,0,1,19,2,0,0,97,9,20,12,2,3,0,0,2,1,2,0,2,1,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,0,0,0,1,1,0,0,6,0,0,0,0,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2,8
79-1-35,0.35-0.36,35-36,7,6,0,0,0,0,0,14,1,0,0,100,5,11,12,1,1,0,0,1,0,5,1,4,0,0,1,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,15,1,0,0,0,0,0,0,0,0,0,4,7
79-1-45,0.45-0.46,45-46,16,6,0,0,0,1,0,14,2,0,0,110,5,13,6,0,0,0,0,0,0,6,1,6,0,0,0,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,4,7
79-1-60,0.60-0.61,60-61,60,23,0,0,1,0,1,54,17,0,0,320,24,46,27,4,5,1,0,4,0,8,2,8,1,0,1,0,3,0,11,0,0,0,13,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137,0,2,0,0,0,1,2,0,0,27,0,0,0,0,3,2,1,0,0,51,0,0,0,2,0,0,0,0,0,0,11,41
79-2-5,0.75-0.76,76-76,21,12,0,0,0,1,0,14,4,0,0,100,11,11,7,0,1,0,0,1,1,3,0,3,0,0,0,1,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,15,3,0,0,0,1,0,0,0,0,0,6,5
79-2-25,0.95-0.96,95-96,20,5,0,0,0,0,1,11,3,0,0,80,8,17,9,0,2,0,1,0,2,3,1,7,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,8,5,6
79-2-55,1.25-1.26,125-126,13,11,0,0,0,0,0,14,6,0,0,83,7,14,12,0,1,0,0,0,0,2,0,5,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,5,5,1
79-2-75,1.45-1.46,145-146,58,33,0,0,0,0,0,41,17,0,0,253,31,53,27,2,5,0,1,1,3,7,2,14,0,1,0,1,0,0,5,0,0,0,10,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,3,2,0,1,8,0,0,0,0,6,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,12,27
