core,Sample,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Fraxinus undifferentiated,Morus,Ilex,Alnus rugosa,Alnus crispa,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium inundatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Ruppia,Polypodium,Dryopteris thelypteris,Brasenia,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,trees and shrubs,herbs,ferns,aquatics,indeterminable,upland pollen sum,pollen sum + aquatics,total pollen sum
surface,0.5,2,10,0,3,57,35,14,8,41,0,0,0,222,1,4,0,10,96,6,5,10,2,0,1,0,3,1,0,41,21,0,1,1,0,8,4,0,0,5,0,3,0,0,0,0,15,0,1,19,0,0,0,1,0,0,0,9,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,0,7,0,0,0,0,1,0,2,1,0,0,14,0,12,7,5,8,0,1,658,92,566,49,14,18,33,629,647,680
surface,2.5,1,1,1,0,64,45,17,2,52,0,0,1,223,0,1,3,12,71,2,4,9,0,0,0,0,3,3,0,50,38,0,0,1,0,3,9,0,0,8,0,2,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,1,1,0,0,5,0,9,5,2,4,0,2,450,131,564,31,9,8,22,604,612,634
surface,4.5,3,3,2,2,61,33,23,5,38,0,0,0,196,3,3,3,6,82,1,10,10,1,0,1,3,4,0,0,44,40,0,0,3,0,5,8,0,2,3,0,2,0,0,0,0,14,0,0,23,0,1,0,1,0,0,0,7,1,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,3,1,0,1,2,0,0,0,1,0,1,0,0,1,7,0,12,6,4,7,0,2,483,118,544,50,15,10,31,609,619,650
surface,6.5,1,2,1,3,68,34,28,6,47,0,0,0,192,2,5,0,9,85,3,6,13,0,0,0,0,3,2,0,62,25,0,0,3,0,5,2,0,0,4,0,2,0,0,0,0,19,0,1,24,0,2,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,5,8,0,1,0,0,0,0,1,1,0,4,1,0,0,0,1,1,1,2,0,0,17,0,12,5,2,7,0,2,417,271,551,58,21,22,28,630,652,680
surface,8.5,4,3,0,1,54,37,12,5,59,0,0,2,212,0,1,1,5,57,4,6,8,0,0,0,3,5,2,0,64,49,0,0,0,0,2,2,0,0,7,0,0,0,0,0,0,17,1,1,25,0,1,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,0,9,0,0,0,0,0,0,1,1,0,0,10,0,15,10,3,8,0,2,456,146,556,58,16,12,38,630,642,680
surface,10.5,3,5,0,1,54,32,16,6,46,0,1,1,206,0,3,0,4,58,4,8,6,2,0,0,2,3,1,0,54,38,0,0,2,0,6,4,0,1,4,0,2,1,0,0,0,10,1,0,22,0,2,0,2,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,1,0,4,1,0,0,0,0,0,1,1,0,2,16,0,10,4,4,1,0,1,313,137,526,49,14,20,20,589,609,629
surface,12.5,6,4,1,1,57,37,17,3,32,0,0,2,200,0,2,0,6,70,7,13,6,0,0,0,2,4,2,0,58,41,0,0,1,0,8,3,0,0,7,0,1,1,0,0,0,8,0,0,17,0,1,0,1,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,14,0,8,8,4,10,0,1,338,81,538,41,9,15,31,588,603,634
surface,14.5,4,4,0,0,51,35,15,1,36,0,0,0,229,1,4,0,6,78,10,4,8,1,1,0,0,4,2,0,57,50,0,0,2,0,1,3,0,0,10,0,1,0,0,0,0,29,0,0,22,0,2,0,2,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,2,1,1,5,0,0,0,0,0,0,2,1,2,0,19,0,19,7,3,3,0,1,420,139,568,72,18,24,33,658,682,715
surface,16.5,3,3,0,1,66,57,7,2,36,0,0,0,222,0,1,2,4,57,9,7,5,2,0,0,3,4,3,0,43,90,0,0,1,0,3,4,0,2,9,0,1,0,0,0,0,21,0,0,28,0,2,0,1,0,0,0,21,2,1,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,1,0,0,0,23,0,16,9,1,3,0,3,357,102,583,76,18,24,32,677,701,733
surface,18.5,5,5,0,1,69,54,14,1,53,0,0,2,179,0,2,0,4,64,3,9,9,2,1,0,1,3,0,0,54,82,0,0,3,0,9,3,0,1,24,0,1,0,0,0,0,21,0,0,26,0,1,0,0,0,0,0,23,0,1,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,3,0,3,1,1,0,0,0,0,0,0,1,0,0,26,0,23,15,2,11,0,0,600,202,590,73,20,27,51,683,710,761
surface,20.5,6,5,1,1,65,55,8,2,42,0,1,1,145,0,2,1,4,52,7,4,7,0,1,1,1,3,1,0,61,88,1,0,5,0,3,4,0,1,16,0,1,1,0,0,0,20,0,0,21,0,0,1,0,0,0,1,15,1,1,2,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,1,0,0,0,12,0,19,11,3,4,0,0,436,100,534,63,12,13,37,609,622,659
surface,22.5,1,3,0,0,65,41,20,4,39,0,0,1,189,0,3,2,3,73,4,4,8,0,0,0,0,6,0,0,34,90,0,0,2,0,1,1,0,0,6,0,2,1,0,0,0,23,1,0,27,0,0,0,0,0,1,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,3,1,0,3,1,0,0,0,1,0,3,1,0,0,30,0,21,14,4,9,0,1,595,121,542,76,15,35,49,633,668,717
surface,24.5,0,7,1,1,68,57,7,4,63,0,0,0,149,0,1,2,9,63,8,1,3,0,1,0,0,2,2,0,54,102,0,0,2,0,4,4,0,1,5,0,1,1,1,0,0,27,1,0,19,0,3,0,2,0,0,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,0,1,0,23,0,23,13,3,1,0,1,438,87,560,66,12,25,41,638,663,704
surface,26.5,3,5,1,1,64,56,7,1,46,0,0,0,163,0,1,2,3,62,2,6,4,1,0,0,3,1,3,0,45,99,0,0,0,0,4,5,0,1,5,0,4,0,0,0,1,25,1,0,17,0,1,0,1,0,0,0,23,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,1,0,0,0,10,0,16,6,5,3,0,1,458,181,535,70,12,12,31,617,629,660
surface,28.5,2,5,0,1,92,69,21,2,60,0,0,1,139,1,3,2,7,68,5,7,7,1,1,0,2,4,1,0,56,68,0,0,1,0,5,2,0,0,9,0,2,0,0,0,0,11,2,0,14,0,1,0,0,0,0,0,22,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,6,0,8,11,2,3,3,0,340,62,554,53,8,7,27,615,622,649
surface,30.5,3,3,0,1,73,57,24,2,45,0,0,0,151,0,4,2,3,69,1,7,4,1,1,0,1,6,2,0,79,79,0,0,0,0,3,6,0,0,7,0,3,0,0,0,1,14,0,1,7,0,1,0,0,0,0,0,19,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,6,1,0,0,0,0,0,1,0,0,0,2,0,10,8,2,3,0,3,350,65,556,46,12,4,26,614,618,644
surface,32.5,1,2,0,0,62,41,19,2,56,0,0,1,171,1,3,1,7,71,4,5,4,1,0,1,2,1,2,0,61,60,0,0,1,0,6,2,0,0,5,0,1,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,2,0,13,8,0,0,0,0,400,79,534,20,10,5,21,564,569,590
surface,34.5,1,4,0,0,87,52,28,7,76,0,0,0,166,2,5,2,2,75,4,5,3,1,0,0,0,4,1,0,51,49,0,0,0,0,7,2,0,0,12,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,0,1,4,0,14,3,2,0,0,1,354,71,566,16,8,8,20,590,598,618
surface,36.5,1,2,0,0,80,52,19,9,56,0,0,1,159,0,4,0,4,66,4,4,4,1,2,1,1,2,1,0,80,54,0,0,3,0,6,1,0,0,8,0,4,0,1,0,0,6,0,1,10,0,1,0,0,0,0,0,7,0,1,4,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,1,1,0,0,8,0,14,7,5,3,0,0,412,103,559,32,9,10,29,600,610,639
surface,38.5,3,0,0,0,94,49,37,8,62,0,0,0,149,2,4,1,3,74,3,10,9,2,0,3,6,0,0,0,61,64,0,0,1,0,7,3,0,1,12,0,0,0,0,1,0,10,0,0,4,0,0,0,1,0,0,0,10,1,1,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,1,3,8,5,3,0,8,5,2,4,0,0,371,109,583,28,16,20,19,627,647,666
