cal age linear,Sample,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Fraxinus undifferentiated,Morus,Ilex,Alnus rugosa,Alnus crispa,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium inundatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,SUM TREES & SHRUBS,SUM UPLAND HERBS,SUM PTERIDOPHYTES,SUM AQUATICS,UNIDENTIFIED,POLLEN SUM,POLLEN SUM + AQUATICS,total pollen sum,tree&shrub
-44.9,1,4,0,1,1,105,60,30,15,53,0,0,0,111,7,3,0,5,141,4,6,9,4,0,0,1,6,2,0,52,8,0,1,2,0,1,7,0,0,8,0,0,1,0,0,1,14,0,1,9,0,2,0,3,0,0,0,3,0,7,3,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,3,21,0,15,13,5,14,0,2,854,119,438,43,17,25,49,498,523,572,544
-40.8,3,7,2,0,0,79,46,23,10,39,0,0,2,154,8,1,3,11,144,3,1,11,1,1,0,1,8,2,0,54,17,1,1,0,0,2,4,0,1,8,0,1,0,0,0,1,5,0,0,16,0,0,0,0,0,0,0,10,0,3,9,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,1,0,0,15,0,17,6,2,12,0,0,445,84,488,43,14,17,37,545,562,599,568
-36.7,5,5,3,1,1,82,55,22,5,42,0,0,1,168,2,4,0,8,107,3,8,8,3,0,0,0,5,0,0,50,22,0,0,1,0,0,5,0,1,24,0,2,0,1,0,2,21,0,1,21,0,3,0,0,0,0,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,1,0,5,1,0,0,0,0,1,0,1,17,0,8,3,3,10,0,1,595,92,475,55,16,21,25,546,567,592,559
-32.6,7,3,4,0,1,81,52,21,8,41,0,0,1,172,2,1,0,8,79,12,11,8,1,0,0,1,6,0,0,52,37,0,0,4,0,1,3,0,0,18,0,0,0,0,0,0,22,1,1,24,0,1,0,0,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,2,2,0,7,1,0,0,0,2,1,0,5,22,0,10,10,3,7,0,2,375,103,466,60,18,30,32,544,574,606,547
-28.5,9,7,8,1,1,69,46,19,4,32,0,0,1,174,3,1,2,9,90,2,11,12,2,0,0,0,4,1,0,37,35,0,0,2,0,2,10,0,0,22,1,1,1,0,0,0,18,1,1,18,0,2,0,3,0,0,0,14,3,2,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,4,1,0,1,3,0,0,0,1,0,0,0,20,0,10,7,5,12,0,1,453,78,472,63,17,21,35,552,573,608,541
-24.3,11,6,3,0,0,85,60,21,4,40,0,0,0,155,4,3,0,9,77,6,6,8,1,2,0,1,10,5,0,72,25,0,0,0,0,0,8,0,1,22,0,0,0,0,0,0,24,0,0,37,0,0,0,5,0,1,1,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,6,2,0,0,0,4,1,0,2,15,0,11,7,2,7,0,0,473,93,464,81,17,22,27,562,584,611,549
-20.2,13,7,10,0,0,80,56,18,6,49,0,0,0,145,2,2,1,6,105,3,6,5,2,0,1,1,3,0,0,65,33,1,0,2,0,1,12,0,0,13,0,0,0,2,0,1,43,0,0,22,0,1,0,0,0,0,0,18,0,1,3,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,3,1,0,13,0,0,0,0,2,0,1,0,22,0,10,3,4,3,0,1,460,94,477,89,26,26,21,592,618,639,558
-16.1,15,4,19,0,0,79,53,19,7,52,0,0,0,150,4,1,1,4,67,1,7,5,2,0,0,2,1,0,0,65,33,0,0,4,0,2,10,0,2,9,0,0,0,1,0,0,40,0,0,31,0,1,0,0,0,0,0,22,1,1,8,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,1,2,3,3,0,0,0,2,1,1,1,23,0,6,5,4,4,0,0,421,182,446,104,17,28,19,567,595,614,525
-12,17,1,5,0,0,86,55,26,5,53,0,0,0,150,2,3,2,5,92,5,12,3,1,0,0,0,3,0,0,58,34,0,0,2,0,1,4,0,1,13,0,0,0,1,0,0,39,0,0,24,0,1,0,1,0,0,0,11,0,1,4,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,1,1,1,0,6,1,0,0,0,1,1,0,4,14,0,6,6,2,3,0,0,458,114,451,81,22,20,17,554,574,591,537
-7.9,19,2,7,0,0,69,48,16,5,45,0,0,0,151,1,3,3,8,68,5,7,4,4,1,0,1,2,0,0,58,55,1,0,5,0,0,10,0,0,24,0,1,0,0,0,0,48,0,0,17,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,1,0,8,4,0,0,0,0,0,0,1,10,0,12,3,4,5,0,1,340,97,466,83,24,11,25,573,584,609,535
