Depth,Pinus,Pinus halfs,Pinus Strobus,Picea,Picea halfs,Tsuga,Cuppressaceae,Quercus,Betula,Fagus,Ulmus,Castanea,Populus,Acer sacc,Ostrya/Carpinus,Platanus,AP,Rumex,Graminae,Ambrosia,Carya,Fraxinus,Juglans cinerea,Acer rubrum,Corylus,Viburnum,Salix,Vitis,Alnus,Cyperaceae,Thalictrum,Larix,Ilex,Tilia,Acer Pennsylvanicum,Ericaceae,Plantage Lancelata,Abies,Abies half,Liquidambar,Compositae,Sanguisorba canadensis,Acer spicatum,Arceothobium,Myrica ,Clethra,Urtica,Plantago lanceolata,Plantago majore,Rebus,Artemisia,Comp,Rosaceae,Chenopodium am,Potentilla ,umbelliferae,Zea,Sambucus,Humulus,Juglans nigra,Taxus,Ranunculus,Rhus,Epilobium,Geranium,Celtis,Morus,Sanguisorba canadensis,Xanthium,Liliaceae,Sorbus,Arceuthobium
0.5-1,10,12,10,27,16,25,4,6,90,18,3,,3,6,2,1,234,1,5,16,2,1,,3,,,1,,3,,,,,,3,,,4,2,,,,1,,,,,2,,,1,,,,1,,,,,,,,,,,,,,,1,,
4.0-4.5,4,16,14,48,25,23,8,14,117,29,8,,,8,2,2,309,7,6,16,,5,,1,,,,,4,2,,1,,,,,,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
8.0-8.5,,6,22,31,16,28,5,12,107,29,7,,1,4,1,,269,1,2,12,,5,,1,,,,,3,,,,,,,,,3,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
12.0-12.5,2,11,12,44,6,18,9,14,103,30,4,1,,2,2,2,261,,5,10,,1,1,1,3,,1,,6,,,,1,,,,,3,3,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
14.0-14.5,7,6,20,37,20,36,6,10,112,37,5,,1,3,1,,308,3,10,11,,10,1,2,1,,,,6,1,,2,,,1,,,2,3,,,,1,,1,,1,3,,,,,,1,,,,,,,,,,,,,,,,,,
15.0-15.5,4,7,18,40,16,24,9,14,102,32,3,,,3,2,3,285,3,11,12,,4,1,2,1,,,,2,1,,2,,1,1,,,2,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0-16.5,4,11,32,51,22,34,4,19,97,35,2,,,5,,,313,3,3,10,2,6,,1,1,,1,,2,2,,2,,,1,,,1,1,,1,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,
16.5-17,6,10,24,32,16,24,4,10,71,30,3,,1,6,4,1,244,5,5,10,,6,,,,,1,,2,1,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0-17.5,4,11,18,60,12,36,10,17,103,20,10,1,1,3,,,310,5,7,16,1,6,1,,,,,,4,1,,1,,,,1,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
19.0-19.5,1,9,18,31,20,25,5,19,106,23,3,,,5,1,1,264,2,2,7,,3,,,,,,,4,1,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20.0-20.5,1,2,15,41,12,32,5,18,78,23,7,,1,6,1,,247,,,1,,10,,1,,,,,6,1,,1,,,1,,,2,3,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
21.5-22.0,8,10,35,44,14,40,1,17,130,46,7,,1,5,3,2,362,3,3,3,,5,,1,1,,2,,7,,2,,,1,,1,,2,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0-22.5,2,15,19,39,22,26,6,16,105,29,6,,2,10,4,2,293,1,3,,1,9,,1,,,,,4,,,,,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-24.5,3,3,18,20,15,31,5,13,75,25,9,,,6,,1,226,,3,2,2,2,,2,,,,,4,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0-28.5,5,14,31,42,13,55,4,20,104,26,9,,2,8,6,,342,,,1,3,5,,2,,,,,4,,,1,,,,,,4,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
32-33,14,20,16,38,11,32,6,11,85,14,4,1,1,8,4,2,258,4,4,2,,2,,,1,,,,6,,,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
