cal age linear,Depth,Pinus undiff,Pinus diplox,Pinus haplox,Pinus rigida t.,Pinus total,Tsuga,Picea glauca,Picea mariana,Picea Undiff,Picea total,Picea indet.,Abies,Cupressaceae,Quercus,Carya,Castanea,Juglans,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,Fraxinus penn t.,Fraxinus sp,Liquidambar,Ilex,Clethra,Alnus rugosa t.,Alnus crispa t.,Acer rubrum,Acer saccharum,Acer sp.,Nyssa,Salix,Populus,Ericaceae,Vitis,Myrica,Comptonia,Corylus,Betuloid,Tilia,Cephalanthus,Platanus,Celtis,Rhus,Rhamnus,Cornus,Morus,Viburnum,Sambucus,Ephedra,Pollen conc,Poaceae,Artemisia,Ambrosia,Iva ciliata t.,Rumex,Plantago,Tubuliflorae,Liguliflorae,Secale,Zea,Triticum,Solanaceae,Cheno/Am,Salsola,Sarcobatus,Urtica,Thalictrum,Menyanthes t.,Hydrocotyle t.,Apiaceae undiff,Sium t.,Boraginaceae,Cyperaceae,Rosaceae,Filipendula sp.,Ephedra,Hypericum,Xyris,Ranunculus,Polygonum bistota t.,Impatiens,Brassicaceae,Menyanthes,Lamiaceae,Pteridium t.,Dryopteris t.,Osmunda,Trilete unknown,Botrichium t.,Gymnocarpium t.,Athyrium,Polypodium,Elaphoglossum,Lycopodium lucidulum t.,Isoetes,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Brasenia,Potamogeton,Sparganium,Sagittaria,Pontederia,Nymphoidaea,Typha/Sparganiumt.,Eriocaulon,Utricularia t.,PreQuaternary,Pinus stomata,Tsuga stomata,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic,total pollen sum,C:P,Sample age,sample vol,exotic conc,% sample vol counted,pollen conc/cc,tree sum,tree&shrub
-52,0,19,0,4,0,23,3,0,0,0,1,1,0,2,61,5,0,1,0,17,0,2,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,126,7,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,1,270,158,447.8,0,1,85432,0.0031604083,49993.5407407407,121,126
-29.2,4,78,5,24,1,108,19,5,0,0,6,1,0,5,244,22,1,0,11,78,1,4,0,9,0,0,0,2,12,0,4,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,532,17,1,16,0,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,0,0,0,1,8,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,57,0,231,660,234.1,10,1,85432,0.0027039049,244091.428571429,517,532
-6.4,8,43,2,6,1,52,21,3,0,0,3,0,1,3,236,18,4,0,14,97,2,10,0,3,0,1,1,0,19,0,2,6,4,0,4,0,4,0,1,0,3,2,0,0,1,0,1,0,1,0,0,0,0,514,17,0,18,0,10,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,5,1,1,0,0,0,0,0,1,4,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,38,2,305,636,340.8,24,1,85432,0.0035700908,178146.727868852,484,514
16.4,12,40,3,4,0,47,17,0,0,1,3,2,0,3,266,18,5,0,13,95,0,9,0,11,3,0,1,2,20,0,0,8,0,0,1,0,1,0,5,0,5,0,0,0,1,0,1,0,0,0,0,0,0,535,25,0,33,0,6,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,5,2,3,3,0,0,0,0,0,0,6,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,14,2,339,660,449.7,38,1,85432,0.0039680682,166327.787610619,500,535
39.2,16,54,4,8,1,67,17,2,0,3,5,0,0,6,229,18,7,1,18,110,3,7,0,5,2,1,1,0,23,0,1,2,0,0,1,1,3,0,4,0,2,1,0,2,0,0,0,0,0,0,0,0,0,537,27,2,31,1,15,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,3,7,1,0,0,0,0,0,0,3,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,5,0,2,2,26,1,782,679,734.5,60,1,85432,0.0091534788,74179.4475703325,502,537
62,20,53,8,8,1,70,23,0,0,0,3,3,0,1,224,18,2,1,21,97,2,1,4,3,1,1,0,0,24,0,2,7,4,2,1,1,3,1,4,0,2,0,0,1,3,0,0,0,0,0,0,0,0,527,38,0,34,0,16,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,2,5,0,0,12,1,3,0,2,1,1,0,0,0,0,0,0,0,1,0,2,2,19,5,385,690,219.3,83,1,85432,0.0045065081,153111.896103896,492,527
84.8,24,60,6,17,0,83,19,4,0,0,6,2,0,6,218,23,15,1,16,116,5,11,1,1,1,0,1,1,24,0,2,1,1,0,0,0,1,0,2,0,6,0,0,0,3,0,1,0,0,0,0,0,0,565,47,1,61,1,25,4,2,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,1,2,0,0,0,0,0,2,10,2,0,7,1,5,0,0,0,1,0,0,0,0,2,0,0,7,0,2,2,18,3,278,790,432,123,1,85432,0.00325405,242774.388489209,529,565
107.6,28,91,7,12,2,112,10,2,0,0,4,2,0,8,217,28,11,2,17,111,0,7,1,5,0,0,0,1,11,0,0,4,4,0,2,1,3,0,2,0,4,2,0,1,2,0,0,0,0,0,0,0,0,570,44,2,47,0,25,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,4,1,0,0,1,0,0,0,6,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,15,1,450,752,290.7,147.2,1,85432,0.0052673471,142766.364444444,548,570
130.4,32,75,8,23,1,107,19,0,0,0,4,4,0,13,193,10,5,1,16,94,1,9,0,6,2,0,1,1,25,0,3,1,1,0,1,2,4,1,3,0,7,0,1,0,1,0,2,1,0,0,1,0,0,536,40,2,64,0,23,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,2,6,2,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,24,0,435,736,305,171.4,1,85432,0.0050917689,144547.016091954,490,536
153.2,36,78,3,10,0,91,11,1,0,0,6,5,1,1,203,21,4,1,16,84,1,6,0,3,3,0,1,0,17,0,0,6,0,0,3,2,3,0,9,0,5,0,1,1,0,0,0,0,0,0,0,0,0,500,56,0,44,0,16,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,1,0,0,1,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,57,2,492,711,53.9,195.7,1,85432,0.0057589662,123459.658536585,464,500
