Depth,Pinus,Pinus?,Pinus halfs,Pinus Strobus,Picea,Picea halfs,Tsuga,Cuppressaceae,Quercus,Betula,Fagus,Ulmus,Castanea,Populus,Acer sacc,Ostrya/Carpinus,Platanus,AP,Rumex,Graminae,Ambrosia,Carya,Fraxinus(3),Fraxinus(4),Juglans cinerea,Acer rubrum,Corylus,Viburnum,Salix,Vitis,Alnus,Cyperaceae,Thalictrum,Larix,Ilex,Tilia,Acer Pennsylvanicum,Ericaceae,Plantage Lancelata,Abies,Abies half,Liquidambar,Acer spicatum,Plantago lanceolata,Plantago majore,Rebus,Artemisia,Chenopodium am,Juglans nigra,Tubuliflorae,Xanthium,Celtis
0 - 0.5 cm ,1,1,14,3,15,34,3,,10,109,12,3,1,1,1,1,,201,1,5,12,,,,1,3,,,,,3,,,,,1,,,1,5,5,,,,,,,,,,,
1.0 -1.5 cm ,1,2,16,7,10,24,5,,7,108,12,2,,,9,2,,191,,4,12,,,2,,,,,,,6,1,,1,,,,,1,1,4,,,,,,,1,,,,
2.0 - 2.5 cm ,4,1,18,9,21,28,9,1,20,113,,,,,3,,,223,,4,9,0,,3,,1,1,,,,7,,,,,2,,,,8,8,,1,,,,,,,,,
3.0 - 3.5 cm,4,3,12,8,11,13,6,,10,117,10,4,,,5,2,,203,,4,9,1,,1,,,1,,,,4,,,,,,,,,4,6,,,1,1,,1,1,1,1,1,
4.0 -4.5 cm,1,1,11,4,15,20,5,,6,110,9,2,,1,,1,1,186,,5,8,1,1,,1,,,,2,,6,1,,,,,,,,2,10,,,,,,,,,1,,
5.0 -5.5 cm ,1,3,17,2,13,19,5,,3,116,13,2,1,1,3,,,197,,3,15,1,1,1,,,,,1,1,5,,,,,1,,,,6,9,,,1,,,1,1,,1,,
6.0 - 6.5 cm ,2,,13,7,20,27,7,,7,124,9,3,,1,5,2,,223,1,3,20,1,3,,,,,,,,9,,,1,,,,,,7,5,,,,,,1,,,,,
7.0 -7.5 cm,,3,20,8,26,28,9,,12,129,7,7,,,3,2,,247,2,8,12,1,1,,,,1,,1,,9,,,,,,1,,,11,6,,,,,,,2,,1,,
8.0 -8.5 cm,2,4,13,6,15,24,12,1,4,122,8,3,,,2,1,1,208,4,4,7,,1,,1,1,,,,,9,,,,,,,,,2,6,,,,,,1,,,,,
9.0 - 9.5 cm ,3,2,17,10,30,31,13,,10,144,19,5,,,4,1,,279,5,8,7,2,,1,,,1,,,,4,,,,,3,,1,,2,6,1,,,,,,,,,,1
10.0 - 10.5 cm,2,,14,13,30,22,15,,11,96,21,5,,,4,1,1,231,2,,2,1,1,3,,,,,,,5,,,,1,,,,,4,7,,,,,,1,,,,,
11.0 -11.5 cm ,1,,15,19,25,20,16,,8,108,24,7,1,,12,1,2,252,,,2,,3,3,,,,1,,,8,1,1,,,,,,,1,5,,,,,,,,,1,,
14.0 -14.5 cm ,1,1,19,11,14,25,11,2,17,138,25,10,,,6,3,1,276,,2,,1,4,3,,,,,,,12,1,,,,,,1,,2,5,,,,,,2,,,,,
17.0 - 17.5 cm ,2,,32,20,17,30,17,,10,115,23,,,,2,3,,255,,,3,,2,3,,,2,,,,14,1,,1,1,,,,,5,4,,,,,,1,,,1,,
20.0 - 20.5 cm ,,3,23,8,42,25,21,,31,119,17,6,,,1,,,288,,,1,,1,4,,,,,,,5,1,,,,1,,,,6,3,,,,,,,,,,,
