Sample,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Fraxinus undiff.,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Juglans undiff.,Carya,Platanus,Celtis,Fagus,Fagaceae,Betulaceae,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus undiff.,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Poaceae,Secale cereale,Zea,Artemisia,Ambrosia,Iva,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Lythrum,Denstaedtia,Pteridium,Botrychium,Ophioglossum,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium clavatum,Lycopodium inundatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,trees and shrubs,herbs,,pteridophytes,aquatics,indeterminable and unknown,pollen sum (upland),pollen sum and aquatics,total pollen sum,ferns,indeterminable and unknown,upland pollen sum,pollen sum + aquatics
0,4,2,0,0,164.5,57.5,106,1,3,0,0,1,48,0,0,0,19,2,230,2,5,4,0,1,0,0,0,17,0,0,2,4,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,12,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,7,0,1,5,0,6,2,2.5,0,545,653.3,514.5,33,0,4,9,15.5,548.5,557.5,571.5,2,13,549.5,558.5
2,1,4,0,0,127.5,66,58.5,3,2,0,2,1,95,0,4,0,12,0,319,4,4,7,0,0,1,1,0,4,0,1,2,2,5,1,0,0,1,1,7,1,0,0,0,2,0,0,0,0,0,1,8,0,0,1,8,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,2,0,0,0,5,0,0,5,3,10,4,4.5,0,1122,421.5,611.5,24,0,7,7,26.5,642.5,649.5,671.5,7,22,642.5,649.5
4,3,2,0,0,185.5,69.5,114,2,19,0,4,1,87,0,2,0,5,0,319,3,2,7,1,0,0,1,0,12,1,0,3,3,4,0,0,1,0,0,8,0,1,2,0,0,0,0,0,0,0,1,6,0,0,2,5,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,2,2,9,3,6,2,991,313.3,676.5,21,0,3,9,24,699.5,708.5,726.5,2,18,699.5,708.5
6,4,1.5,0,0,115,45,67,3,9.5,0,2,2,96,0,1,0,7,0,238,6,5,1,1,0,0,2,0,11,2,0,0,0,3,1,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,15,1,0,0,15,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,10,0,0,1,2,6,1,5.5,1,1044,1289.2,514,34,0,4,10,16.5,551,561,573,4,11,552,562
8,3,4.5,0,0,109,52.5,56.5,0,5,0,1,0,105,0,0,1,7,1,238,2,2,10,0,1,0,2,0,9,2,0,5,2,4,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,1,8,0,0,0,9,0,0,1,0,3,0,0,0,4,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,8,0,0,5,1,8,5,3.5,0,1082,470.2,523.5,31,0,6,8,22.5,559.5,567.5,586.5,5,19,559.5,567.5
10,3,2,0,0,43.5,27,15.5,1,9,0,0,2,180,0,5,1,10,1,222,12,3,5,0,0,1,0,0,7,0,0,3,3,4,6,0,1,0,0,5,0,1,0,2,0,1,0,0,0,1,0,41,0,0,0,53,0,0,3,0,2,0,0,0,17,0,1,2,0,0,0,0,0,1,0,0,1,0,2,5,0,0,0,0,0,0,1,0,1,1,0,4,0,0,0,0,0,2,0,0,82,0,0,3,2,6,8,3.5,0,1062,6188.2,532.5,124,0,14,84,22.5,667.5,752.5,771.5,12,19,668.5,752.5
12,10,9.5,0,0,86.5,46,34.5,6,5.5,0,2,3,135,0,2,2,8,0,154,23,5,5,1,0,0,3,1,7,2,0,2,2,6,30,0,1,0,0,9,0,3,3,8,0,1,0,0,0,0,0,69,1,0,2,90,1,0,2,0,3,0,0,0,40,1,0,9,0,0,0,0,0,0,0,0,1,0,4,6,0,0,2,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,78,0,0,4,2,6,11,7,3,662,8553.2,529.5,223,0,17,79,33,764.5,843.5,870.5,13,26,765.5,844.5
14,2,10.5,0.5,0,122.5,88,31.5,3,22,0,0,1,98,0,4,1,6,1,213,9,7,3,0,0,0,0,0,11,2,0,13,2,0,10,0,0,2,1,7,1,0,2,1,0,1,0,0,1,0,0,58,1,0,1,49,0,0,3,0,2,0,0,0,35,0,0,6,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2,1,3,4,0,1,1,0,0,0,0,0,0,0,112,0,0,4,2,8,21,8,0,617,2235.2,553.5,158,0,20,113,43,728.5,840.5,876.5,17,35,728.5,841.5
16,2,7.5,0,0.5,128,102,21,5,17.5,0,1,1,103,0,3,1,9,0,207,3,6,1,0,1,0,0,0,4,1,1,18,7,1,7,0,0,0,0,19,0,1,4,7,0,0,1,0,0,0,0,76,1,0,0,38,0,0,1,0,1,0,0,0,42,2,0,5,0,0,0,0,0,0,0,0,1,0,1,7,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,91,0,0,7,0,6,4,6.5,2,426,201.8,562.5,168,0,14,91,25.5,742.5,833.5,853.5,13,19,743.5,834.5
18,1,2,0.5,0,93,69,14,10,22,0,0,0,74,0,5,0,3,0,277,3,7,5,1,0,0,0,0,9,3,0,11,4,4,9,0,0,0,0,7,0,1,1,1,1,0,0,0,0,0,0,26,1,0,0,21,0,0,2,0,0,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,106,0,0,3,0,7,12,4.5,0,368,81.2,544.5,83,0,24,107,26.5,648.5,755.5,778.5,22,22,649.5,756.5
