cal age,adjusted depth,Depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Other shrubs,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Impatiens,Other herbs,Dennstaeditia, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Selaginella,Monolete spore,Trilete spore,Eriocaulon,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Saggitaria,Pediastrum,Equisetum,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic (pollen),Charcoal count,Exotic (charcoal),Tree pollen,Shrub pollen,Herb pollen,Sum Pterid,Upland pollen sum,Sum Aquati,Sum Indete,Total Pollen,Alnus Total,Pinus Total,Fraxinus Total,Acer Total,Juglans total
-54,0,0,,2,,,25.5,10,3,52,,2,2,135,,22,7,1,18,12,77,11,6,2,8,3,1,1,,13,2,,44,,1,,,2,,,3,3,6,,2,,,,,,,11,,,17,,1,1,1,,,2,3,,7,,,,,,,,,,,,,1,,1,,,,3,,,1,,,,1,,2,,,2,,,12,,16,9,5,76,6,689,,,460.5,16,43,6,525.5,17,112,654.5,3,38.5,31,16,2
100.915,5,5,2,1.5,,,20,8,1,32,,,,126,1,17,2,,3,6,53,15,6,4,3,,,1,,10,,,35,3,,,,1,,,7,11,,,1,,,,,,,10,,1,17,,2,,,,,2,,8,8,,,,,,,,2,,,,1,,,,,,,,,,2,,,,,,6,,,,,,22,,14,20,,48,,669,,,349.5,20,50,3,422.5,28,82,532.5,7,29,9,13,1
255.83,10,10,,5,,,17.5,3,,45.5,,,2,159,,34,6,1,5,12,62,7,5,,10,1,1,1,,8,,,52,1,2,,,2,,,10,1,4,,3,,,,,,,17,,,27,,6,,1,,,4,1,,3,,,,,,1,,,,,,,,,,,,,1,,,7,2,,,1,6,2,,,,,,22,,31,37,6,90,5,447,,,440,20,60,10,530,31,169,730,10,20.5,18,15,2
410.745,15,15,,2,,,27,,1,85,,,7,182,5,25,3,7,7,17,115,16,13,,11,2,,,,12,,,61,5,,,,2,,,13,29,,,3,,,,,,,16,,2,31,,11,1,,,,1,2,,6,,,,,,,,,,,,1,1,,1,,,5,,,,9,,,,5,2,8,,,,,,36,,53,27,2,54,1,388,,,603,47,70,17,737,51,137,925,13,28,31,24,0
565.66,20,20,,2,,,10.5,2,4,97,,,,129,,23,9,,6,8,63,10,10,3,8,3,,,,14,1,,75,4,2,,,1,,,6,1,4,,1,,,,,,,4,1,2,5,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,12,,40,3,,62,5,195,,,483.5,13,16,3,515.5,12,110,637.5,6,16.5,14,21,0
720.575,25,25,1,1,,,13,1,,119,,,,130,1,18,7,1,2,8,110,15,7,2,2,1,,,,11,,,45,5,,,,4,,,7,26,,,3,,,,,,,,,2,2,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,1,,,,4,,,,,,,,,,,,15,,35,30,,40,,214,,,500,40,6,6,552,15,105,672,7,14,11,11,0
875.49,30,30,,4,0.5,,13.5,3,,155.5,,,,140,,21,1,,6,14,77,8,7,,9,3,,1,,17,,,109,4,1,,,2,,,8,2,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,3,,,,2,,,,,,,,30,,31,10,3,50,2,280,,,594.5,13,3,4,614.5,32,96,742.5,8,16.5,20,16,1
1185.32,40,40,,3,,,20,,,158.5,,,,111,,17,2,1,2,8,50,5,3,1,11,1,,3,,19,,,92,3,,,,1,,,6,1,2,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,1,,,,,,7,,12,3,,43,4,255,,,510.5,10,3,3,526.5,8,62,596.5,6,20,11,15,3
1495.15,50,50,1,1.5,,,24,3,,142,,,,150,,18,2,,4,7,79,7,9,,3,3,,,,17,,,67,4,,1,,,,,5,1,2,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,38,19,3,80,1,329,,,542.5,8,3,1,554.5,2,141,697.5,5,27,11,12,0
1804.98,60,60,,1,,,12,1,,165.5,,,,83,,21,4,,5,2,67,10,10,1,9,3,,3,,14,1,,87,1,1,,,,,,6,,1,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,2,,,1,,,,,2,3,1,,,,,2,1,27,5,1,56,,218,,,501.5,10,2,4,517.5,9,89,615.5,6,13,7,20,3
