Depth,Pinus undiff,Pinus diplox,Pinus haplox,Pinus rigida t.,Pinus Total,Tsuga,Larix,Picea total,Picea glauca,Picea mariana t.,Picea undiff,Abies,Cupressaceae,Quercus,Carya,Castanea,Juglans,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra,Fraxinus penn t.,Fraxinus sp,Liquidambar,Ilex,Clethra,Alnus rugosa t.,Alnus crispa t.,Acer rubrum,Acer saccharum,Acer sp.,Nyssa,Salix,Populus,Ericaceae,Vitis,Myrica,Corylus,Betuloid,Viburnum,Rhus,Tilia,Platanus,Cephalanthus,Sambucus,Celtis,Moraceae,Liriodendron,Magnolia,Rhamnus,Cornus,cf Taxus,Poaceae,Artemisia,Ambrosia,Rumex,Liguliflorae,Iva ciliata t.,Tubuliflorae,Plantago,Cyperaceae,ChenoAm,Salsola,Sarcobatus,Ephedra,Secale,Zea,Triticum,Trifolium t.,Fabaceae,Urticaceae,Rosaceae,Thalictrum,Ranunculaceae,Apiaceae,Polygonum persicaria t.,Xyris,Helianthaceae,Araliaceae,Itea,Pinguicula t.,Solanaceae,Impatiens,Menyanthes,Rutaceae,cf. Parthenocissus,Galium,Cannabis,Lamiaceae,Pteridium t.,Dryopteris t.,Osmunda,Lycopodium sp,L. lucidulum,L. inundatum,Gymnocarpium,Polypodium,Asplenium,Athyrium,Trilete unknown,Isoetes,Equisetum,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Brasenia,Potamogeton,Typha,Sparganium,Pontederia,Eriocaulon,Saggitaria,preQuat,Degraded,Corroded,Broken,Crumpled,Obscured,Unknown,Exotic,upland sum,tree sum,tree&shrub
1,49,7,13,0,69,16,0,4,2,0,2,1,10,169,22,15,0,15,132,1,6,0,13,0,0,0,3,9,0,7,2,4,0,0,1,1,0,6,3,1,1,3,0,0,0,0,0,1,0,0,0,0,0,49,0,29,6,0,0,0,2,2,4,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,5,0,0,0,0,1,0,0,0,0,3,0,4,2,0,0,2,0,0,0,0,0,8,0,3,1,2,409,637,489,515
2,33,10,10,2,55,12,0,1,1,0,0,1,4,108,18,3,0,5,70,5,1,1,3,0,1,1,0,3,0,2,4,3,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20,0,9,4,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,430,358,299,306
4,44,6,11,1,62,12,0,1,0,0,1,0,6,167,14,4,0,14,114,1,3,0,6,0,1,0,3,12,0,8,4,2,0,3,3,1,1,5,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,29,0,31,7,0,0,0,2,0,4,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,20,805,543,428,454
6,44,7,9,2,62,13,0,3,2,0,1,0,2,113,16,3,0,2,76,0,4,0,13,0,0,0,1,9,0,4,0,2,0,2,0,1,0,8,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,23,1,12,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,11,367,397,318,340
8,51,11,9,2,73,43,0,8,4,0,4,0,3,164,20,12,2,13,83,4,4,1,6,0,0,1,1,26,0,6,3,2,3,0,2,2,1,29,2,1,0,1,0,2,3,0,0,0,0,0,0,0,0,38,1,71,21,0,0,0,5,1,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,7,2,0,0,1,0,1,0,2,0,0,2,1,3,1,0,0,1,0,0,0,0,1,5,0,2,1,3,818,691,455,521
10,32,6,5,4,47,16,0,2,1,0,1,0,2,91,13,1,1,1,60,3,1,0,5,0,0,0,0,10,0,1,1,2,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,1,5,4,1,0,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,3,197,312,250,265
12,46,12,10,0,68,25,0,5,1,0,4,0,8,173,24,5,1,14,126,7,2,0,6,0,0,4,2,10,0,6,4,4,0,0,0,1,1,6,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,42,0,26,15,0,0,0,3,1,6,1,0,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,2,0,0,0,0,0,1,0,1,1,28,744,624,481,508
14,56,8,6,5,75,12,0,5,3,0,2,0,6,163,23,11,0,17,118,3,3,0,11,0,0,1,2,27,0,5,5,1,0,1,1,1,1,6,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,41,1,19,22,1,0,0,3,1,7,3,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,4,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,1,0,0,0,1,0,5,1,3,1,20,500,625,464,502
16,60,10,13,0,83,21,0,2,0,2,0,0,9,189,16,8,2,15,105,6,13,0,21,0,0,1,1,17,0,5,1,5,1,2,0,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,37,11,0,0,1,0,3,8,2,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,2,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,1,1,12,5,2,1,13,930,687,504,539
18,54,12,12,2,80,20,0,4,1,0,3,0,4,185,18,5,1,16,109,6,8,1,17,0,0,2,2,14,0,10,4,0,1,3,2,1,3,13,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,47,0,36,11,0,0,0,0,3,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,11,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,8,343,656,496,534
