Depth (cm),Cal age,Cupressaceae,Picea,Picea rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus banksiana t.,Pinus diplox t.,P.inusrigida t.,Pinus diploxylon,Tsuga,Vesiculate conif.,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Acer negundo,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Fagaceae,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,cf. Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Dennstaeditia, Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sparganium t.,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Degraded,Unknown,Exotic counted,Exotic added,,upland sum
0,-50.371,4,13,,14,0,45,,21,,,,5,50,,0,0,0,226,4,0,11,0,8,3,21,4,18,14,12,,1,0,2,1,0,0,30,0,0,0,0,0,0,16,0,0,0,8,0,0,,0,0,0,0,0,19,0,0,0,10,0,0,0,3,0,0,0,4,2,0,10,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,2,0,10,0,0,0,0,,1,7,0,0,0,0,6,4,1,12,,1,620,21358,,597
4,-40.6,0,8,,14,0,53,,25,,,,12,44,,0,0,2,191,7,0,7,0,15,3,22,7,7,10,7,,1,0,0,0,0,0,25,0,0,0,0,0,0,15,0,0,0,18,0,0,,0,0,0,0,0,29,0,0,2,21,0,1,0,3,0,0,0,13,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,,0,2,0,0,0,1,10,3,2,10,,1,757,42716,,579
8,-30.833,2,10,,10,3,56,,28,,,,8,38,,0,0,2,191,5,0,11,1,14,1,21,10,13,12,11,,1,0,2,3,0,0,24,0,1,0,0,0,0,20,0,1,0,13,0,0,,0,0,0,0,0,42,0,1,1,20,0,2,0,0,0,0,0,8,2,2,1,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,3,0,8,1,0,0,0,,1,3,2,0,0,2,14,7,2,10,,0,725,42716,,612
12,-21.067,5,13,,6,2,58,,21,,,,11,55,,0,0,0,182,6,0,13,0,10,5,22,8,11,11,5,,1,0,3,1,0,0,30,0,0,0,0,0,0,11,0,4,0,7,0,0,,0,0,0,0,0,33,0,0,1,28,0,1,1,0,0,0,0,2,5,1,6,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,3,0,9,0,0,0,0,,0,4,2,0,0,2,8,3,3,8,,2,588,42716,,597
16,-11.3,1,19,,12,0,47,,23,,,,8,42,,0,0,2,183,14,0,9,0,8,2,21,10,7,10,9,,1,0,3,4,0,0,32,0,0,0,0,0,0,26,0,0,1,8,0,0,,0,0,0,0,0,37,0,0,1,15,0,2,0,3,0,0,0,12,1,0,3,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,1,3,0,0,0,0,,0,2,5,0,0,2,15,7,2,5,,1,570,42716,,589
20,-1.533,5,10,,13,1,59,,18,,,,2,42,,0,0,0,177,14,0,14,2,10,2,26,11,12,6,10,,0,0,0,4,2,0,27,0,0,0,0,0,0,24,0,0,0,12,0,0,,0,0,0,0,0,38,0,0,1,30,0,0,0,0,0,0,0,8,2,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,9,4,0,0,0,,1,1,1,0,0,1,10,3,2,10,,2,741,42716,,606
24,8.234,6,24,,7,1,52,,11,,,,11,37,,0,0,2,193,12,0,9,1,8,1,15,7,10,3,9,,0,0,2,1,1,0,34,1,0,0,0,0,0,30,0,0,0,23,0,1,,0,0,0,0,0,42,0,0,1,33,0,2,2,4,0,0,0,8,3,0,6,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,2,1,11,2,0,0,0,,0,1,1,0,0,0,13,8,1,10,,5,753,42716,,638
28,18,3,30,,6,3,48,,26,,,,6,39,,0,1,3,158,10,0,11,0,14,2,19,10,14,4,8,,2,1,1,1,0,0,41,0,0,0,0,0,0,20,1,1,0,14,0,0,,0,0,0,0,0,43,0,0,3,29,0,2,2,2,0,0,0,9,2,1,6,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1,0,0,0,2,0,6,0,0,0,0,,0,0,0,0,0,0,10,6,3,7,,1,738,42716,,618
32,27.767,3,33,,12,2,49,,16,,,,8,57,,0,2,3,169,3,9,4,1,6,1,22,8,7,0,3,,0,0,1,0,0,0,39,0,0,0,0,0,0,38,0,0,0,9,0,0,,0,1,1,0,0,31,0,0,0,19,3,0,0,1,0,0,0,5,1,0,4,0,0,0,1,0,0,0,0,1,1,3,0,0,1,0,0,0,0,2,0,5,0,0,0,0,,0,1,2,0,0,1,6,9,4,13,,2,505,42716,,585
36,37.534,2,46,,13,2,49,,7,,,,4,30,,0,0,1,190,0,11,7,1,6,3,28,5,11,3,7,,1,0,0,3,0,0,28,0,0,0,0,0,0,33,0,0,0,24,0,0,,0,1,0,0,0,42,0,0,2,25,0,1,0,1,0,0,0,19,1,1,7,0,0,0,1,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,1,9,1,0,0,0,,0,0,3,0,0,1,13,7,7,15,,0,687,42716,,634
