Depth (cm),Cal age,Abies,Acerud,Acer negundo-type,Acer rubrum,Acer saccharum-type,Alnus incana-type,Alnus viridis,Ambrosia-t,Apia,Arceuth,Art,Astae.Lu,Astae.Tu,Betula,Brasenia,Broken,Carya,Castanea,Celtis,Cephalanthus,Cerea,Ch/Am,Clethra t.,Circa,Corroded,Corylaceae,Corylus,Crumpled,Cornus,Cupressaceae,Cyperaceae,Degraded,Dryopteris t.,Equise,Ercae,Eriocaulon,Exotic,Fabaceae,Fagus,Fraxinus nigra-type,Fraxinuspe-t,Fraxinus.ud,Hidden,Galium,Ilex,ind,Iso,Isoetes,Iva,Juglans.c,Juglans.n,Larix,Liriodendron,Liquidambar,Lyc.a,Lyc.cl,Lycae.ud,L. inundatum,Lycopodium lucidulum,Myrica,Myriophyllum,Nupher,,Nyssa,Osu,Ostrya/Carpinus,Pinus indeterm,Pinus undiff,Pinus banksiana-t.,Pinus diplox t.,Pinus rigida t.,Pinus resinosa t.,Pinus subg. strobus,Picea mariana,Picea rubens/undiff.,Picea indet.,Platanus,Plantago,Plypod,Poaae,Populus,Potomogeton,Polygonum pers. T.,Potentilla,Ptr-t,Quercus,Ranunculaceae,Rubus ch,Rhus,Rosaceae undiff,Rum,Rumex,Sagittaria,Slx,Sparganium-type,Sphagnum,Taxus,Thali,Tilia,Triticum t.,Tsuga,Tsuga stomata,Ty/Sp,Ulm,unk,Unknown stomate t.,Urtica,Vesiculate conif.,Vitis,,upland sum
0,-58.389,0,11,,,,3,,2,0,0,0,0,0,73,,,3,1,0,,0,1,,0,,,0,,0,2,0,,,0,0,,339,,6,,0,6,,0,0,21,0,0,0,0,0,1,,0,2,0,0,,,0,,0,,0,0,1,111,,,0,,,31,,,3,0,0,0,4,0,,,0,0,60,0,0,,,0,0,,0,,,,0,0,,83,,0,3,2,,0,,,,407
4,-35.051,1,,,2,3,4,,9,,,,,,90,,2,1,,,,,,,,,,1,2,,,2,3,1,,,,61,,9,,3,1,50,,1,,,50,,,,,,,,,,,1,7,,,,,2,4,88,2,2,3,,17,30,2,2,3,,,,,1,,,,2,58,,,,,,4,,,,,,,,,29,,,,1,,2,10,,,387
8,-11.713,,1,2,2,3,3,,10,,,,,,96,,8,1,2,,,,1,,,,10,3,5,,1,2,2,4,,,,79,,22,1,3,1,43,,1,,,101,,,,,,1,,,1,,1,13,2,,,,2,5,37,1,5,1,,1,2,3,3,6,,,,12,,1,,,,30,,,,,,4,,,,,,,,1,24,,,1,4,,,14,,,323
10,-0.044,1,2,,,,8,,14,0,0,0,0,2,128,,,0,1,0,,2,0,,0,,,3,,0,3,1,,,0,1,,97,,27,,0,1,,0,3,39,0,0,0,1,0,0,,0,3,0,0,,,0,,0,,0,0,1,66,,,1,,,3,,,14,0,0,0,10,0,,,0,1,46,1,0,,,4,0,,0,,,,0,1,,54,,0,3,6,,0,,,,406
14,23.294,2,,1,2,5,3,,2,,,,,,98,1,7,1,,1,,,,,,,6,2,2,,2,2,2,1,,1,1,81,,42,,2,1,36,,1,,,77,,,,,,,,,1,1,1,5,,1,,,,4,45,,6,,,3,9,9,5,1,,,,1,,,,,3,47,,,,,,2,1,,,,,1,,,54,,,3,1,,1,12,,,378
18,46.632,,2,,3,3,6,,1,,,,,,98,,7,4,1,,,,,,,1,2,2,3,,,2,2,3,,,,62,,30,,2,1,44,,3,,,40,,1,,,,,,,,,,3,,,,1,,2,38,,4,2,,1,5,4,11,5,,,,,,,,,,41,,,,,,,,,,,,,,,54,,,,4,,,17,,,335
20,58.301,1,4,,,,7,,3,0,0,0,0,0,134,,,1,0,0,,2,0,,0,,,1,,0,1,1,,,0,0,,36,,48,,0,4,,0,3,25,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,1,1,46,,,1,,,11,,,12,0,0,0,2,0,,,0,3,48,0,0,,,1,0,,0,,,,0,0,,63,,0,6,2,,0,,,,405
24,81.639,,,1,4,8,5,,,,,,,,76,,1,3,2,,,,,,,1,,,1,,,,2,1,,1,,50,,48,1,1,,10,,,,,19,,1,,,,,,,1,,,4,,,,,,2,24,,,1,,,6,3,2,4,,,,2,,,,,,23,,,,,,2,,,,,,,,,81,1,,3,1,,,4,,,310
28,104.977,,,,2,4,11,,1,,,,,,92,,7,3,,,,,,,,,5,3,4,,1,2,1,1,,,,64,,61,3,,2,25,,5,,,19,,,,,,,,,,1,,8,,,,,,1,36,,,1,,,6,2,5,3,,,,,,,,,2,30,,,,,,,,,,,,,,,109,,,4,2,,,6,,,404
30,116.646,1,6,,,,0,,1,0,0,0,0,1,106,,,0,0,0,,0,1,,0,,,0,,0,1,0,,,0,0,,73,,68,,0,0,,0,0,57,0,0,0,0,0,3,,0,0,2,0,,,0,,0,,0,0,1,47,,,0,,,13,,,8,0,1,0,3,0,,,1,0,14,0,0,,,0,1,,0,,,,0,0,,131,,0,0,20,,0,,,,410
32,128.315,,,,4,8,6,,,,,,,,79,,6,4,2,,,,,,,,1,2,1,,2,,,1,,2,,59,,63,4,5,,15,,,,,31,,,,,,,,,,,,5,,,,,,2,38,,2,1,,,10,2,2,1,,,,,,,,,,27,,,,,,1,,,,,,,,,83,,,1,1,,,7,,,358
36,372.744,,,,2,4,10,,,,,,,,86,,6,1,2,,,,,,,1,4,1,,,,2,,,,,,52,,46,,2,,8,,1,,,58,,,,,,,,,1,1,1,3,,,,,,2,38,,,,,,4,1,3,,,,,,,,,,1,26,,,,,,,,,,,,,,,86,,,8,1,,,2,,,336
40,634.937,0,9,,,,15,,0,0,0,0,1,0,103,,,0,3,0,,0,0,,0,,,0,,0,1,1,,,0,1,,84,,65,,0,4,,0,3,32,0,0,0,1,0,0,,0,1,0,0,,,0,,0,,0,0,1,32,,,0,,,9,,,9,0,0,0,1,0,,,0,3,45,0,0,,,0,0,,0,,,,0,2,,121,,0,2,1,,0,,,,433
46,1028.227,,1,,,4,2,,,,,,,,68,,11,4,,,,,,,,1,4,,,,,2,,,,,2,84,,44,3,,,6,,1,,,50,,1,,,,,,,,,,2,,,,,1,1,25,1,,,,,13,1,2,,,,,,,,,,1,25,,,,,,,,,,,,,3,,93,,,2,1,,,2,,,304
51,1325.356,1,5,,,,8,,0,0,0,0,0,0,93,,,2,1,0,,0,0,,0,,,1,,0,1,0,,,0,2,,128,,75,,0,2,,0,8,21,0,0,0,1,0,0,,0,2,0,0,,,1,,0,,0,0,1,45,,,2,,,5,,,2,0,0,0,0,0,,,0,1,34,1,0,,,0,0,,0,,,,0,1,,118,,0,0,0,,0,,,,413
56,1472.134,,2,,3,3,6,,,,,,,,85,,3,2,,3,,,,,,,,,3,,2,2,4,,,,,81,,50,,,1,21,,1,,,56,,1,,,,,,,,,,,,,,,,2,46,,1,,,,,4,,1,1,,,,,1,,,,57,,,1,1,,,,,,,,,,,101,,,1,1,,,2,,,377
