depth,mean,error rnd,type
100,800,30,C
200,2590,40,C
260,3480,40,C
340,4670,40,C
510,7110,50,C
590,8210,60,C
772,12910,80,C
1,-44,NA,Pb
2,-42,NA,Pb
3,-41,NA,Pb
5,-36,NA,Pb
6,-35,NA,Pb
7,-33,NA,Pb
8,-31,NA,Pb
9,-30,NA,Pb
10,-29,NA,Pb
11,-27,NA,Pb
12,-26,NA,Pb
13,-24,NA,Pb
14,-22,NA,Pb
15,-20,NA,Pb
16,-18,NA,Pb
17,-15,NA,Pb
18,-12,NA,Pb
19,-10,NA,Pb
20,-8,NA,Pb
21,-5,NA,Pb
22,-3,NA,Pb
23,-1,NA,Pb
24,1,NA,Pb
25,3,NA,Pb
26,6,NA,Pb
27,10,NA,Pb
28,13,NA,Pb
29,16,NA,Pb
30,20,NA,Pb
31,25,NA,Pb
32,31,NA,Pb
33,39,NA,Pb
34,43,NA,Pb
35,51,NA,Pb
36,59,NA,Pb
37,76,NA,Pb
38,105,NA,Pb
39,122,NA,Pb
