Age (cal BP-prelim),Depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Other shrubs,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Other herbs,Dennstaeditia, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Eriocaulon,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Saggitaria,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic (pollen),Charcoal count,Exotic (charcoal),Tree pollen,Shrub pollen,Herb pollen,Sum Pterid,Upland pollen sum,Sum Aquati,Sum Indete,Total Pollen,Alnus Total,Pinus Total,tree&shrub
0,0,2,6,,,50,45,4,39,,,,92,,4,3,3,,,61,5,3,3,,1,,,8,2,,15,2,,,,3,4,,,,7,,,,,,,,,17,1,,10,,,,,,,3,,1,,,,,,,1,,,,1,2,,,1,,,4,1,,5,,,,2,,,,,,,,5,,,15,1,948,,,348,14,34,13,409,2,21,432,4,99,362
12.5,4,9,6,1,1,59,40,12,50,,6,,133,,2,,3,6,,96,5,4,3,,,,4,4,3,1,36,3,,,,2,1,,1,,14,,5,,,,,,,11,,,19,,1,,,,,6,,,1,,,,,,,,,,,1,2,,,,,,5,,1,1,,,2,,,1,,,,,9,,1,12,4,803,,,487,23,38,10,558,3,26,587,2,111,510
25,8,1,14,,4,57,40,9,41,,,,142,,15,2,3,3,3,72,3,5,8,,,1,1,7,,,33,2,,,2,9,2,,2,,7,,3,,,,,2,,24,,,18,,,,1,,,7,,,1,,,,,,,,,1,,,5,,,,,3,2,,5,2,,1,5,,,3,1,,,,4,,8,28,8,1054,,,468,25,52,17,562,10,48,620,4,106,493
37.5,12,8,15,,1,61,32,13,51,,2,1,132,,3,3,4,9,,68,3,10,10,,1,,2,7,1,,35,12,,1,,4,3,,5,2,15,,1,,,,,1,,13,,,11,,1,,,,,6,,1,4,,,,,,,,,,,1,1,,1,,,1,,,4,1,,,,,,1,,,1,,3,3,3,4,7,838,,,485,31,36,9,561,2,20,583,8,106,516
50,16,7,17,1,2,41,38,10,42,,3,,129,,11,3,2,9,2,80,2,6,11,1,,,,2,1,,37,10,,,,2,6,,2,,13,,,,,,,,,18,,1,21,,3,,,,,7,2,,1,,,,,,,,,1,,2,4,,,,,1,2,,3,1,,,7,,,1,,,4,,6,1,4,34,1,540,,,467,23,54,13,557,12,46,615,8,89,490
75,24,4,12,1,2,45,41,15,47,,,2,155,,13,3,4,2,,57,7,10,4,,,,3,,,,44,8,,,,3,3,,4,3,13,1,3,,,,,,,31,,,28,,,,,,,14,,1,3,,,,,1,,,,,,4,6,,,,3,1,,,,,,,5,,,2,,,,,7,2,4,13,3,589,,,479,30,78,14,601,7,29,637,7,101,509
100,32,2,18,2,2,48,46,10,68,,4,1,113,,14,2,1,6,2,60,6,7,5,,,,1,6,1,,36,11,2,,,2,5,,4,1,15,,1,,,,,,,30,1,1,29,,2,,,1,,10,1,2,,,,,,1,,1,,,,,4,,,,,1,2,,10,1,,,3,,3,1,,,,,7,2,5,36,4,785,,,474,28,79,18,599,7,54,660,9,104,502
125,40,6,17,1,4,48,26,16,69,,2,,139,,6,3,2,4,1,65,2,5,3,,2,,,5,2,,53,12,,,,2,2,2,2,1,12,1,6,,,,,,,27,,,22,,4,,,2,,12,1,,5,,,,,,,,1,,,,10,,1,,,2,4,,7,,,,6,1,3,1,,,,,3,2,3,28,4,522,,,493,28,74,24,619,11,40,670,6,90,521
137.5,44,5,16,1,3,56,33,8,58,,4,,123,,12,4,5,5,2,75,4,7,2,,,,3,3,5,,44,18,1,,,,6,1,1,,16,,4,,,,,2,,32,,1,18,,1,,,,,11,,,1,,,,,,,,,1,,2,5,,,,,2,5,,7,1,,,4,,,1,,,,,7,4,8,30,4,615,,,497,30,65,22,614,5,53,672,8,97,527
150,48,2,21,3,,61,45,15,75,,1,1,84,,12,1,6,1,1,66,6,8,,,,,2,3,2,,54,9,,,,3,2,,1,1,11,,3,,,,,2,,27,,,9,,3,,,,,19,1,,2,,,,,,,,,,1,2,10,,1,,,,5,,5,2,,,11,,1,,,,,,7,,4,13,5,464,,,479,23,62,25,589,12,29,630,3,121,502
