Name,lat,lon
Barnes,43.56444,-75.226
Benson,42.38,-73.1
Big Moose Lake,43.81,-74.85
Bloomingdale Bog lower,44.38361,-74.13833
Bloomingdale Bog Upper,44.38361,-74.13833
Blood Pond,42.08,-71.962
Deep Lake,43.61,-74.664
Doe,42.175,-72.702
Knob Hill,44.3605,-72.3737
Lake Arnold,44.13093,-73.94404
Lake Tear of the Clouds,44.10804,-73.93574
Larkum,42.165,-73.06
Little Willey Pond,43.2918,-71.1778
Little Royalston,42.675,-72.192
North Round Pond,42.848,-72.452
Pecker,42.713,-71.965
Pickerel,42.17,-72.484
Queer Lake,43.81,-74.8
Uncas,42.062667,-71.377278
Upper Wallface Pond,44.146389,-74.054167
Walden,42.43907,-71.338
Wickett,42.551,-72.432
Windfall Pond,44.364271,-74.449035
