depth,mean,error,upper depth,lower depth,type 
46,670,90,44,48,C
67,1100,120,65,69,C
93,1640,110,91,95,C
118,1740,90,116,120,C
0,-44,2,0,1,Pb
1,-39,2,1,2,Pb
2,-36,1,2,3,Pb
3,-33,1,3,4,Pb
4,-29,1,4,5,Pb
5,-26,1,5,6,Pb
6,-23,1,6,7,Pb
7,-20,1,7,8,Pb
8,-17,1,8,9,Pb
9,-13,1,9,10,Pb
10,-9,2,10,11,Pb
11,-4,2,11,12,Pb
12,1,2,12,13,Pb
13,6,2,13,14,Pb
14,12,2,14,15,Pb
15,17,2,15,16,Pb
16,22,2,16,17,Pb
17,26,2,17,18,Pb
18,32,2,18,19,Pb
19,37,2,19,20,Pb
20,45,3,20,21,Pb
21,54,3,21,22,Pb
22,62,2,22,23,Pb
23,67,1,23,24,Pb
24,74,4,24,25,Pb
25,86,3,25,26,Pb
26,96,3,26,27,Pb
