depth,mean,error,upper depth,lower depth,type 
48,770,60,46,50,C
67,920,70,65,69,C
84,1420,70,82,86,C
7,-28,1,7,8,Pb
8,-25,1,8,9,Pb
9,-22,1,9,10,Pb
10,-20,1,10,11,Pb
11,-18,1,11,12,Pb
12,-16,1,12,13,Pb
13,-14,1,13,14,Pb
14,-13,1,14,15,Pb
15,-11,1,15,16,Pb
16,-10,1,16,17,Pb
17,-9,1,17,18,Pb
18,-7,1,18,19,Pb
19,-6,1,19,20,Pb
20,-5,1,20,21,Pb
21,-4,1,21,22,Pb
22,-4,0,22,23,Pb
23,-3,1,23,24,Pb
24,-2,1,24,25,Pb
25,0,1,25,26,Pb
26,3,1,26,27,Pb
27,5,1,27,28,Pb
28,6,1,28,29,Pb
29,8,1,29,30,Pb
30,9,1,30,31,Pb
31,11,1,31,32,Pb
32,13,1,32,33,Pb
33,15,1,33,34,Pb
34,18,1,34,35,Pb
35,20,1,35,36,Pb
36,23,1,36,37,Pb
37,26,1,37,38,Pb
38,29,1,38,39,Pb
39,33,1,39,40,Pb
40,37,1,40,41,Pb
41,41,1,41,42,Pb
42,46,1,42,43,Pb
43,52,1,43,44,Pb
44,58,1,44,45,Pb
45,66,1,45,46,Pb
46,74,1,46,47,Pb
47,82,2,47,48,Pb
48,91,1,48,49,Pb
49,98,1,49,50,Pb
