Depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Planera ,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Shepherdia,Rhus,Other shrubs,Sum AP,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Liliaceae,Corydalis ?,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),Charcoal count,Exotic (charcoal),Tree pollen,Shrub pollen,Herb pollen,Sum Pterid,Upland pollen sum,Sum Aquati,Sum Indete,Total Pollen,tree&shrub
0-2 cm,,,,,2,1,6,3,,,,4,,,1,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,12,,,21,0,3,1,25,0,1,26,21
4-5 cm,7,6,,,27,11,97,21,,,7,76,,,2,3,4,,208,5,4,1,,,,,19,2,,20,2,,,,,,,3,,,,2,,,2,,,11,,,,,,540,19,,1,27,,5,,3,,,6,,2,1,,,,,2,,,,,,1,,,1,,,,2,,,,,,,,,,10,2,,,,1,1,,,,1,3,,,,,6,,,2,,4,,,380,,,522,18,67,14,621,12,6,639,540
8-9 cm,10,7,,,29,15,73,24,,7,,70,,,6,3,7,,207,4,5,2,,,3,,13,3,,10,2,,,,,,,1,,,,1,,,4,,,5,,,,,,511,7,,1,15,,4,,,,1,2,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,13,2,,,,,,,1,2,3,,,,,,,,,3,,2,,,116,,,500,11,32,18,561,6,5,572,511
12-13 cm,4,2,,,34,13,100,24,,1,1,84,,,3,8,5,,181,10,9,3,,2,2,,12,3,,11,3,,,,,,,6,,,,1,,,2,,,13,,,,,,537,17,,,31,1,3,,1,,,1,,1,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,16,1,,,,1,,1,,2,3,3,,,,,,,1,3,,4,1,,354,,,515,22,59,20,616,10,9,635,537
16-17 cm,3,4,,,32,10,118,29,,,3,55,,,8,4,1,,201,8,1,,,,1,,11,5,,6,1,,,,,,,2,,,,,,,3,,,15,,,,2,,523,19,1,,26,,12,,1,,,6,,8,3,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,11,5,,,,1,,1,,2,1,1,,2,,,2,,,,,4,1,,274,,,501,22,76,18,617,10,5,632,523
20-21 cm,2,5,,,45,6,122,28,,2,9,71,,,2,4,3,,148,10,2,2,,,1,1,8,,1,22,7,,,,,,,,,,,,,5,2,,,19,,,,1,,528,25,1,2,55,,13,1,2,,3,2,2,3,2,,,,,3,,2,2,,,3,,1,,,,,1,,,,,,,,,,20,4,,,,3,4,,,1,,2,,1,,,,,3,4,,5,,,184,,,501,27,121,25,674,11,12,697,528
24-25 cm,4,4,,1,43,6,107,23,,,5,91,,,5,4,3,,151,13,5,,,1,1,,16,,,11,9,1,,,,,,3,,,,,,,4,,,29,,,,,,540,29,,2,56,1,16,,1,,,8,1,7,5,,,,,1,,,,,,,,1,,,,,,,,,,,2,,,,19,1,,,,5,1,1,,3,,2,,1,,,1,,1,5,,1,,,164,,,504,36,127,22,689,14,7,710,540
28-29 cm,14,3,,,39,8,93,18,,1,4,84,,,8,14,2,,161,11,3,2,,1,3,,13,1,,24,5,,,,,,,7,,,,,,2,3,,,21,,,1,,,546,20,1,1,80,,14,3,1,,,6,,10,5,,,1,1,1,,,,,,,,,,,,,11,,,,,,1,,,,21,1,,,,7,,,,,,4,,2,,,,,,1,,4,,,89,,,512,34,144,34,724,13,5,742,546
32-33 cm,3,3,,,34,4,138,28,,,,89,,,8,3,1,,150,14,1,,,1,2,,10,1,1,13,5,,,,,,,2,,,,,,,3,,,10,,,,,,524,32,2,,56,1,14,,2,,,6,,8,,,,,,3,,,,,,,,,,,,,1,,,,,,1,,,,32,,,,,1,2,,,1,1,,,,,,,,1,1,,4,,,269,,,509,15,124,34,682,5,6,693,524
36-37 cm,8,3,,2,61,2,69,16,,4,9,91,,,8,8,7,,162,10,5,,,1,3,1,9,2,3,9,4,,,,,,,3,,,,2,,3,3,,,22,,,,,,530,30,4,,59,,18,1,,,,9,,2,8,,1,,,1,,,,1,,,,,,,,,8,,,,,,1,,,,18,5,,,,,1,,,3,,,,4,,,,,2,,,3,,,57,,,497,33,134,32,696,8,5,709,530
