Sample,Cupressaceae,Picea,Abies,Larix,Total Pine,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Fraxinus undifferentiated,Morus,Ilex,Alnus rugosa,Alnus crispa,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva ciliata,Umbelliferae,Xanthium,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium inunadatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Brasenia,Drosera,Ruppia,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,SUM TREES & SHRUBS,tree&shrub,SUM UPLAND HERBS,SUM PTERIDOPHYTES,SUM AQUATICS,UNIDENTIFIED,POLLEN SUM,POLLEN SUM + AQUATICS
1.5,2,0,0,0,0,31,20,7,23,0,1,0,185,6,3,1,4,164,5,6,8,0,0,1,0,11,0,0,22,3,0,0,0,0,1,2,0,1,4,0,0,0,0,0,0,3,0,0,17,0,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,3,2,0,1,6,0,4,5,0,13,0,0,601,40,511,511,27,12,13,22,550,563
3.5,3,2,1,0,0,26,19,3,26,0,0,1,229,4,6,0,8,121,6,5,9,2,0,1,0,6,2,0,15,16,0,0,0,0,1,7,0,0,6,0,1,0,0,0,0,14,0,0,34,0,0,0,2,0,0,5,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,8,0,7,0,0,5,0,0,533,66,526,526,62,11,13,12,599,612
5.5,1,2,2,0,0,28,11,3,18,0,0,0,240,3,7,1,9,108,6,6,7,1,1,1,0,7,3,0,23,19,0,0,2,0,2,17,0,1,9,0,2,1,0,0,1,36,0,0,55,0,3,0,0,0,0,8,4,1,5,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,1,1,2,4,0,0,0,0,5,0,0,1,0,12,0,6,8,3,0,0,0,385,56,541,542,112,20,19,17,673,692
7.5,2,3,1,0,0,30,10,2,22,0,1,0,223,2,2,0,8,100,9,6,3,1,0,2,1,4,1,0,30,45,0,1,2,0,1,9,0,0,8,0,2,0,0,0,0,46,0,0,51,0,3,0,0,0,0,25,4,3,4,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,2,2,0,3,0,0,0,0,3,3,0,0,1,20,0,4,3,0,1,0,0,520,115,531,531,136,17,27,8,684,711
9.5,2,2,1,0,0,25,3,6,24,0,0,0,244,2,1,1,11,98,8,9,6,2,1,0,1,9,2,0,29,31,0,0,1,0,2,13,0,1,12,0,3,0,0,0,0,64,0,2,69,0,1,0,2,0,0,33,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,2,0,4,0,0,0,0,4,3,1,1,2,22,0,15,7,2,10,0,0,308,75,550,550,179,17,33,34,746,779
11.5,1,1,0,0,0,44,6,6,21,0,0,2,223,3,0,2,8,76,7,11,4,0,1,1,0,5,1,0,35,60,0,0,1,0,1,15,0,1,6,0,2,0,0,0,0,46,0,0,58,0,1,0,0,0,0,21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,3,17,0,12,7,3,4,0,0,528,142,544,544,131,15,20,26,690,710
13.5,3,1,0,0,0,48,6,3,36,0,0,2,166,3,1,1,14,98,6,8,5,1,2,0,3,3,2,0,43,79,1,0,1,0,2,12,0,1,15,0,2,0,0,0,2,44,0,1,71,0,1,0,0,0,1,41,1,2,4,0,0,0,0,0,0,0,0,1,0,0,7,9,0,0,0,0,0,0,5,1,1,1,0,10,0,0,2,2,1,0,1,22,0,20,16,10,2,0,1,472,89,568,570,167,24,40,49,759,799
15.5,2,6,0,1,0,53,10,8,37,0,0,0,147,2,2,3,5,86,7,9,6,2,0,0,1,6,1,0,42,81,0,0,1,0,1,12,0,0,27,0,4,0,0,0,0,74,0,1,42,0,1,0,0,0,0,40,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,2,1,1,3,1,10,0,0,1,3,0,0,0,32,0,20,11,6,3,0,0,673,75,562,562,162,24,46,40,748,794
17.5,2,4,0,0,0,51,23,2,47,0,0,1,151,1,2,1,4,97,4,1,5,2,1,1,3,6,0,0,40,70,1,0,1,0,1,10,0,0,17,0,1,0,0,0,0,61,0,1,48,0,4,0,1,0,0,47,1,1,3,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,0,0,0,1,0,3,1,5,1,8,0,0,1,2,1,1,1,42,0,6,8,4,8,0,0,466,83,550,550,168,20,56,26,738,794
19.5,1,2,2,0,0,47,12,7,51,0,2,1,165,2,2,2,2,94,4,6,6,2,1,0,1,10,2,0,38,58,2,1,3,0,1,7,0,1,18,0,2,0,0,0,1,68,0,1,35,0,1,0,0,0,0,36,1,2,3,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,2,1,0,4,0,9,0,0,0,1,0,0,1,44,0,11,6,2,9,0,1,650,61,555,556,147,28,56,29,730,786
21.5,2,4,0,1,0,50,10,8,39,0,0,1,139,0,2,1,6,88,6,5,2,1,1,1,0,9,1,0,24,98,0,0,3,0,2,8,0,0,7,0,1,1,0,0,0,59,0,1,43,0,1,0,1,0,0,29,0,4,2,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,3,1,0,3,4,3,0,0,1,1,0,0,0,52,0,19,9,2,6,0,1,543,93,521,521,140,25,57,37,686,743
23.5,1,3,0,1,0,47,14,2,59,0,0,0,145,3,3,1,7,92,4,5,2,2,0,0,0,6,1,0,44,79,0,0,3,0,1,10,0,0,11,0,1,1,1,0,0,63,0,1,40,0,2,0,0,0,0,31,2,1,6,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,1,0,6,5,5,0,0,3,3,1,1,1,36,0,11,9,5,7,0,3,460,107,549,549,147,19,50,35,715,765
25.5,2,5,0,0,0,66,10,8,43,0,0,0,100,3,2,0,5,107,6,7,3,1,1,0,1,5,5,0,38,84,1,0,3,0,0,10,0,1,13,1,5,0,0,0,0,60,0,1,29,0,1,0,0,0,0,45,0,1,5,0,0,0,0,0,0,0,1,0,0,0,2,9,0,1,0,0,0,0,1,3,0,4,6,3,0,0,2,0,1,3,0,44,0,16,16,7,2,0,0,407,113,536,536,143,26,53,41,705,758
27.5,1,5,0,1,0,38,19,1,57,0,0,0,147,0,1,2,4,102,2,9,5,1,0,1,2,2,6,0,26,74,0,0,1,0,1,10,0,0,9,0,3,0,0,0,1,60,0,0,24,0,2,0,0,0,0,46,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,1,3,6,3,1,1,0,3,1,0,0,49,0,16,10,2,2,0,0,418,93,530,531,137,23,59,30,690,749
29.5,2,1,0,0,0,37,14,11,51,0,0,0,148,0,3,2,7,116,6,14,1,1,0,1,2,4,3,0,32,68,1,0,1,0,1,4,0,1,11,0,3,1,0,0,1,64,0,1,21,0,1,0,1,0,0,34,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,1,1,3,1,5,2,0,0,0,1,0,1,0,30,0,14,9,2,8,0,0,449,73,547,548,127,22,35,33,696,731
31.5,2,1,0,1,0,38,30,8,53,0,0,1,116,6,2,1,5,101,10,9,3,1,0,0,1,4,2,0,38,71,2,0,1,0,2,12,0,1,5,0,2,0,0,0,0,48,0,0,13,0,1,0,0,0,0,48,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,1,0,3,8,3,0,0,4,1,0,0,0,31,0,8,14,2,4,0,0,370,88,529,529,113,17,39,28,659,698
33.5,1,2,0,1,0,61,14,12,49,0,0,1,122,0,6,3,1,94,8,12,4,0,0,0,1,6,1,0,43,85,0,0,0,0,1,6,0,1,8,0,3,0,0,0,1,26,0,1,21,0,1,0,1,0,0,29,0,2,3,0,0,0,0,0,0,0,0,1,0,0,1,9,0,1,0,0,0,0,0,1,1,3,2,0,0,0,2,1,1,1,0,36,0,14,2,4,0,0,0,411,87,546,547,85,18,42,20,649,691
35.5,1,4,0,0,0,50,14,6,68,0,0,1,108,5,3,4,7,85,2,12,4,0,1,0,0,5,2,0,47,90,0,0,1,0,2,9,0,1,12,0,1,1,0,0,0,15,0,0,9,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,1,0,39,0,21,5,5,5,0,0,394,89,546,546,43,10,42,36,599,641
37.5,1,2,0,0,0,63,14,5,74,0,0,0,111,1,3,2,9,86,3,8,9,0,1,0,1,5,1,0,71,57,0,0,2,0,1,6,0,0,10,0,3,1,0,0,0,3,0,0,6,0,1,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,9,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,24,0,23,4,3,9,0,0,308,96,550,550,23,14,26,39,587,613
39.5,1,2,0,0,0,50,18,12,75,0,0,1,110,2,3,4,6,93,1,8,4,0,0,0,0,4,1,0,45,67,1,0,3,0,5,6,0,0,12,0,3,0,0,0,1,3,0,0,1,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,16,0,21,11,7,2,0,0,318,94,537,538,11,15,19,41,563,582
41.5,1,1,0,1,0,50,5,8,60,0,0,1,113,1,4,1,2,102,9,9,4,0,0,0,1,2,1,0,62,73,0,0,0,0,1,8,0,0,7,0,8,1,0,0,0,1,0,1,2,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,0,10,0,3,4,1,1,0,0,422,126,536,536,11,13,11,9,560,571
43.5,1,2,0,1,0,34,6,6,67,0,0,0,152,0,4,1,3,98,5,11,2,0,0,0,1,8,1,0,78,50,0,0,1,0,2,3,0,1,8,0,5,1,0,0,1,1,0,0,1,0,1,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,13,0,3,1,1,3,0,0,347,80,552,553,11,13,17,8,576,593
45.5,1,1,0,0,0,40,9,12,71,0,0,1,149,3,1,2,5,97,1,8,3,0,1,1,1,3,2,0,90,40,0,0,1,0,1,4,0,0,11,0,2,0,0,0,0,2,0,1,2,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,2,0,0,0,10,0,11,3,1,2,0,1,267,59,561,561,10,15,12,18,586,598
47.5,1,2,0,1,0,38,12,2,78,0,0,0,142,2,4,2,7,104,3,13,2,0,0,1,1,4,1,0,75,45,0,0,2,0,2,3,0,0,15,0,2,1,0,0,0,2,0,0,2,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,19,0,15,6,5,5,0,0,286,105,565,565,12,11,21,31,588,609
49.5,1,1,1,1,0,35,10,8,80,0,0,0,148,2,3,4,4,85,5,6,2,1,0,0,1,3,2,0,91,43,1,0,2,0,4,8,0,1,5,0,2,1,0,0,1,3,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,1,0,0,18,0,8,12,5,3,0,1,306,90,561,562,8,15,24,29,584,608
