# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = cal_g_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_101_sites_only_abies_new_species.dump
# init = 2 (Default)
# random
#   seed = 3703203998
# output
#   file = cal_g_101.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,psi,gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110
# Adaptation terminated
# Step size = 0.619439
# Diagonal elements of inverse mass matrix:
# 0.00884722, 0.00509496, 0.0234436, 0.0229117, 0.00643853, 0.00790392, 0.00664915, 0.00379913, 0.0237484, 0.00914115, 0.00583694, 0.00785478, 0.15395, 0.00724912, 0.00699226
-4226.91,0.756525,0.619439,2,3,0,4235.43,56.1921,26.4003,185.143,46.3654,66.1783,52.9787,17.5254,53.5056,18.7559,98.2761,100.77,27.4478,164.844,0.267439,0.145118,-35.9725,-38.0637,-33.4142,-49.5635,-39.9858,-37.7867,-40.715,-46.5561,-39.0914,-34.9186,-49.7872,-37.9546,-39.9051,-38.2971,-39.5176,-50.0075,-43.8622,-35.6036,-40.0682,-44.5616,-34.8376,-43.725,-43.2574,-39.8774,-39.2604,-33.9915,-33.66,-38.9716,-43.7188,-32.6526,-33.3389,-39.6573,-39.2357,-33.4962,-39.8694,-32.6704,-31.3137,-50.6598,-37.5241,-43.6048,-46.975,-40.9677,-35.4205,-39.1319,-34.8758,-33.4478,-29.7133,-39.8532,-38.0191,-36.4765,-46.2244,-46.4818,-34.5243,-35.0485,-32.5529,-36.1603,-40.1508,-46.9133,-45.4566,-42.4157,-41.515,-45.4836,-51.7856,-28.2424,-31.8733,-41.4337,-39.2754,-31.5665,-35.2661,-41.109,-34.0879,-30.212,-37.4425,-36.2723,-45.8209,-31.6419,-34.4682,-41.1389,-40.5332,-32.8202,-38.0285,-39.4517,-42.42,-26.7976,-42.9803,-53.2377,-43.0082,-43.4764,-39.1114,-37.0092,-40.2506,-44.2242,-43.065,-38.771,-41.4925,-37.7618,-34.4321,-35.6359,-39.5507,-33.7297,-38.3522,-32.0345,-30.5983,-33.6537,-30.6888,-41.0719,-38.2057,-33.4644,-41.762,-42.9696
-4233.33,0.675291,0.619439,3,7,0,4236.8,49.189,26.2567,173.388,52.2121,74.7984,52.2818,20.6625,57.1094,22.1606,89.8934,112.145,29.3177,121.842,0.276356,0.135387,-35.5728,-38.8253,-32.8045,-48.8169,-39.2498,-37.6709,-40.1882,-47.0012,-40.0503,-35.759,-49.6799,-38.1497,-39.4067,-37.9881,-40.3621,-50.649,-43.6816,-35.6269,-41.5068,-43.2088,-34.9467,-43.8589,-42.7511,-39.2273,-39.6831,-34.2462,-34.2584,-39.1906,-44.0199,-32.8287,-33.6589,-39.6563,-39.0355,-34.024,-39.5958,-33.3623,-31.2488,-51.6141,-37.5793,-43.8475,-46.5085,-41.7089,-35.8189,-38.6889,-34.7417,-33.9404,-29.408,-39.8117,-37.9969,-37.0336,-46.3556,-46.6524,-34.9299,-35.5985,-32.6426,-36.3843,-40.3141,-45.885,-45.96,-43.1928,-41.3342,-46.8593,-51.7165,-27.948,-31.9102,-42.4345,-39.3486,-31.5225,-35.3743,-40.1563,-34.0394,-30.5782,-37.3663,-36.1481,-45.2575,-32.5798,-34.6605,-40.837,-39.5362,-33.1835,-37.9419,-39.5214,-42.5334,-27.0629,-42.7152,-52.4543,-42.5581,-41.0412,-39.1882,-36.8517,-39.8799,-44.4284,-43.6507,-38.8778,-41.1912,-37.8952,-34.7686,-35.5957,-39.8235,-33.5941,-38.5882,-32.3677,-30.603,-33.8193,-30.9304,-41.3691,-38.3481,-33.7156,-41.9202,-43.4425
-4230.94,0.979967,0.619439,3,7,0,4240.21,67.6351,26.3669,184.043,46.8035,63.598,57.9757,20.3809,53.8699,12.3769,91.894,99.8173,28.5216,182.158,0.283866,0.158194,-36.1203,-37.788,-33.8605,-48.8215,-40.916,-37.9079,-40.3593,-47.3518,-39.5243,-35.4168,-49.759,-38.6804,-39.8262,-39.2707,-39.5929,-50.287,-44.0569,-35.5073,-40.6724,-43.9672,-35.2157,-43.8084,-43.4349,-40.592,-39.9841,-34.2736,-34.0357,-39.2092,-44.0277,-32.2909,-33.2635,-39.4404,-39.3878,-33.2189,-39.1521,-32.7283,-32.3867,-50.3045,-37.5243,-43.0821,-46.11,-40.7451,-35.3718,-39.4815,-34.9885,-33.2392,-30.0824,-39.6745,-37.8316,-36.4077,-46.0312,-46.542,-34.245,-35.6282,-32.7159,-36.0392,-39.9224,-47.0131,-45.8404,-42.2231,-41.2895,-45.1797,-51.4368,-27.9784,-32.21,-41.7983,-39.0466,-31.7331,-35.097,-42.0607,-33.7792,-30.2926,-37.1607,-35.9306,-45.9563,-31.2017,-35.4264,-40.8705,-40.5225,-32.79,-37.9638,-38.9933,-42.3755,-26.8525,-42.6883,-53.6496,-43.4718,-44.095,-39.1068,-37.0517,-40.4146,-43.828,-42.8895,-38.766,-41.4905,-37.7343,-34.0932,-35.4756,-39.3587,-33.7947,-38.1047,-32.132,-30.4867,-34.3676,-30.3614,-40.7627,-38.1145,-33.4012,-41.6775,-42.623
-4231.73,0.866634,0.619439,3,7,0,4238.53,67.6904,26.9488,175.034,44.7871,71.8384,55.3956,17.4012,55.5054,14.3404,87.3301,116.19,24.7057,173.041,0.290432,0.155508,-36.1052,-38.11,-32.5555,-48.2539,-40.4555,-37.3243,-39.2854,-46.9035,-39.6407,-35.97,-49.3222,-37.8845,-39.326,-38.9641,-40.2354,-50.251,-43.8681,-35.4156,-42.409,-42.9878,-34.6871,-44.6596,-42.6437,-40.7221,-40.1359,-34.3846,-33.8688,-39.2093,-44.8552,-32.5662,-33.7338,-39.493,-38.7942,-33.5414,-38.6103,-33.0386,-32.1774,-52.0325,-37.0747,-42.4848,-46.0384,-41.0844,-35.2661,-38.727,-35.1994,-33.8289,-29.677,-39.5563,-37.3623,-36.2654,-45.858,-46.7781,-34.8587,-35.2627,-32.8778,-36.0464,-40.2559,-45.8986,-46.489,-43.1359,-41.2129,-46.4989,-51.5669,-28.003,-32.28,-41.8551,-38.6669,-31.5454,-35.2209,-41.225,-34.2314,-30.9593,-36.9501,-35.7512,-44.5496,-31.9905,-36.6163,-40.3192,-39.8029,-33.4481,-37.2101,-39.5444,-43.4763,-26.9825,-42.0015,-52.323,-43.9654,-42.9157,-38.8896,-37.1899,-40.3482,-44.2518,-43.5671,-38.6354,-41.187,-37.4134,-34.5753,-35.4255,-40.2288,-33.5144,-38.4139,-32.0474,-30.7118,-34.1116,-29.959,-41.8184,-38.6065,-33.9045,-42.6307,-42.8709
-4229.68,0.944248,0.619439,3,7,0,4236.13,56.5182,24.8328,174.964,54.228,69.5342,57.3185,20.3884,52.0207,19.4265,98.7756,101.106,31.6582,117.69,0.259247,0.141975,-36.1939,-38.6877,-33.6535,-49.6611,-39.3037,-37.7748,-40.9859,-47.4035,-39.6391,-35.1033,-49.9862,-38.7544,-39.7593,-37.9731,-39.5936,-50.2496,-43.7435,-35.5141,-40.328,-43.8244,-35.0685,-43.648,-43.3223,-39.5246,-39.4242,-33.7666,-34.0431,-38.8174,-43.7684,-32.4983,-33.3441,-39.329,-38.8929,-33.6795,-39.825,-32.7999,-32.1558,-50.7315,-38.208,-43.603,-46.8508,-41.1814,-35.4531,-38.6576,-34.6034,-33.2478,-29.6309,-39.612,-38.0943,-36.8839,-46.4655,-46.3426,-34.4685,-35.8497,-32.2078,-36.2757,-39.8187,-47.0911,-45.299,-42.6666,-41.4482,-45.9124,-51.8687,-28.0553,-31.4828,-42.2253,-39.175,-31.6696,-35.1868,-41.786,-34.0541,-30.29,-37.7682,-35.8794,-46.0647,-32.1497,-34.5914,-41.0701,-40.3688,-32.5573,-37.7364,-39.2448,-42.0721,-27.1871,-42.9968,-53.5491,-42.8879,-41.8599,-39.1544,-36.5878,-39.8552,-44.201,-43.1531,-38.8117,-41.4242,-37.9626,-34.3665,-35.6037,-39.532,-33.5763,-38.3425,-31.9541,-30.622,-33.7499,-31.0786,-40.9841,-38.1645,-33.5435,-41.518,-43.5302
-4232.91,0.729622,0.619439,3,15,0,4240.19,69.199,31.3633,188.48,49.6983,79.5035,57.4415,18.048,59.4522,17.0261,103.047,124.652,27.4793,205.705,0.297101,0.146796,-35.9728,-37.9,-32.5489,-47.5711,-40.0019,-36.9013,-38.8218,-46.9899,-39.0896,-36.0677,-48.8926,-38.0612,-38.9507,-39.0534,-40.2765,-50.5748,-43.4749,-35.3972,-42.9926,-43.6229,-34.4468,-44.3541,-42.3498,-40.1644,-39.834,-34.6375,-34.2001,-38.965,-44.5654,-32.6073,-33.6458,-39.4534,-38.8551,-33.5905,-38.5617,-33.3705,-32.2017,-52.6535,-37.6199,-43.0717,-46.6792,-41.0785,-35.2684,-39.1582,-34.7057,-33.9993,-30.5729,-39.577,-37.2621,-36.1152,-45.8244,-46.5518,-34.7708,-35.3128,-32.8328,-35.9088,-40.2522,-46.4466,-47.0796,-43.1842,-41.1154,-46.6008,-51.2987,-28.6125,-32.1139,-41.6024,-38.7977,-31.6335,-35.2985,-40.6916,-34.7508,-31.2104,-36.7099,-35.735,-45.2086,-32.9189,-36.3695,-40.4766,-40.092,-33.5082,-37.3438,-39.2771,-43.2001,-27.0486,-42.5807,-52.3153,-43.6348,-44.5748,-38.6835,-36.9069,-40.2448,-44.483,-43.4674,-38.4998,-41.3424,-37.5215,-34.3022,-34.9492,-40.0449,-33.6244,-38.3903,-32.2394,-30.453,-34.0255,-29.7906,-41.6,-38.5054,-33.85,-42.5416,-42.57
